wspeed,wgust,temp,humid,dewp
4,4,35.1,89,32.2
0,0,35.1,89,32.2
0,0,35.1,89,32.2
0,3,35.1,89,32.2
0,2,35.2,89,32.4
0,2,35.2,89,32.4
0,0,35.2,89,32.4
0,1,35.4,89,32.5
0,0,35.6,89,32.7
0,3,35.8,89,32.9
0.9,3,35.8,89,32.9
0,4,35.8,89,32.9
0,4,35.8,90,33.1
0,0,35.8,90,33.1
0,0,36,90,33.3
0,3,36,90,33.3
2.9,4,36,90,33.3
0,0,36,90,33.3
0,3,36,90,33.3
0,0,36.1,90,33.4
0,3,36.1,90,33.4
2,3,36.1,90,33.4
2,4,36.1,90,33.4
0,2,36.1,90,33.4
0,3,36.1,90,33.4
0,3,36.1,90,33.4
0,0,36.3,90,33.6
0.9,2,36.3,90,33.6
0,2,36.3,90,33.6
0,2,36.3,90,33.6
2,5,36.3,90,33.6
0,9,36.3,90,33.6
0,2,36.5,90,33.8
0.9,3,36.5,90,33.8
0,0,36.7,90,34
2.9,3,36.7,90,34
0,0,36.7,90,34
0,6,36.7,90,34
0,2,36.7,90,34
0,0,36.9,90,34.2
0,3,36.9,90,34.2
0,2,36.9,90,34.2
0,3,36.9,90,34.2
0.9,2,37,90,34.3
0,0,37,90,34.3
0,1,37,91,34.7
0.9,1,37,90,34.3
0,3,37.2,90,34.5
0,2,37.2,91,34.9
0.9,1,37.2,90,34.5
2.9,4,37.2,91,34.9
0,3,37.2,91,34.9
4,4,37.4,91,35.1
2,4,37.6,91,35.2
0,2,37.6,91,35.2
0.9,4,37.6,91,35.2
0,4,37.6,91,35.2
0.9,5,37.8,91,35.4
0,4,37.8,91,35.4
0,4,37.9,91,35.6
0,3,38.1,91,35.8
0,2,38.1,91,35.8
0,0,38.3,91,36
0,3,38.3,91,36
2,2,38.3,91,36
0,1,38.5,91,36.1
0,3,38.5,91,36.1
0,2,38.5,91,36.1
0,2,38.5,91,36.1
2.9,3,38.5,91,36.1
0,4,38.5,91,36.1
2,3,38.5,91,36.1
0,4,38.5,91,36.1
0,4,38.7,91,36.3
0,0,38.7,91,36.3
0.9,1,38.5,91,36.1
0,2,38.5,91,36.1
0,3,38.5,91,36.1
0,0,38.5,91,36.1
2,3,38.5,91,36.1
0,0,38.5,91,36.1
0,3,38.5,91,36.1
0.9,5,38.5,91,36.1
0,0,38.5,91,36.1
0,2,38.5,91,36.1
0,2,38.5,91,36.1
0,0,38.5,91,36.1
0,4,38.5,91,36.1
0,3,38.5,91,36.1
2.9,3,38.5,91,36.1
0,2,38.5,91,36.1
4,4,38.5,91,36.1
0,3,38.5,91,36.1
0,2,38.5,91,36.1
0.9,3,38.3,91,36
0,0,38.3,91,36
0,2,38.3,91,36
2,2,38.3,91,36
2,4,38.3,91,36
0,3,38.3,91,36
0,2,38.1,91,35.8
0,3,38.1,91,35.8
2,3,38.1,91,35.8
2,4,38.1,91,35.8
0.9,2,38.1,91,35.8
0,2,38.1,91,35.8
0,2,38.1,91,35.8
2.9,3,38.1,91,35.8
0,2,38.3,91,36
0,0,38.3,91,36
0,6,38.3,91,36
0,1,38.3,91,36
0,2,38.3,91,36
0,3,38.3,91,36
2,4,38.3,91,36
2,5,38.5,91,36.1
0,3,38.5,91,36.1
0,0,38.5,91,36.1
0,2,38.5,91,36.1
0,0,38.5,91,36.1
2,2,38.5,91,36.1
2,3,38.7,91,36.3
0,2,38.7,91,36.3
0,2,38.7,91,36.3
0.9,2,38.7,91,36.3
0,4,38.7,91,36.3
2,3,38.7,91,36.3
2,3,38.7,91,36.3
0,3,38.7,92,36.5
0,0,38.7,92,36.5
0.9,4,38.7,92,36.5
0,5,38.7,92,36.5
0,2,38.8,92,36.7
0.9,3,38.8,92,36.7
0.9,1,38.8,92,36.7
0,1,38.8,92,36.7
0,3,38.8,92,36.7
0,1,38.8,92,36.7
0,0,38.8,92,36.7
0,3,38.8,92,36.7
0,1,38.8,92,36.7
0,0,38.8,92,36.7
0,0,38.8,92,36.7
0.9,3,38.8,92,36.7
0,0,38.8,92,36.7
0,0,38.8,92,36.7
0,0,39,92,36.9
0,2,39,92,36.9
0,0,39,92,36.9
0,2,39,92,36.9
2,3,39,92,36.9
0,3,39,92,36.9
2.9,5,39,92,36.9
0.9,2,39,92,36.9
0.9,1,39,92,36.9
2,3,39,92,36.9
0,2,39,92,36.9
2,3,39,92,36.9
0,1,39,92,36.9
0,0,39,92,36.9
0,3,39,92,36.9
0,2,39,92,36.9
0,1,39,92,36.9
0,0,39,92,36.9
0,2,39,92,36.9
0,1,39,92,36.9
0,2,39,92,36.9
0,0,39,92,36.9
0,3,39,92,36.9
0,0,39.2,92,37
0,0,39.2,92,37
0,2,39.2,92,37
0,3,39.2,92,37
0,3,39.2,92,37
0,2,39.4,92,37.2
0,3,39.2,92,37
0,0,39.2,92,37
0,0,39.2,92,37
0,2,39.2,92,37
0,2,39.2,92,37
0,0,39.2,92,37
0.9,1,39.2,92,37
0,2,39,92,36.9
0.9,3,39,92,36.9
0,0,39,92,36.9
0,2,39,92,36.9
0,4,39,92,36.9
0,3,38.8,92,36.7
0,2,38.8,92,36.7
2,3,38.8,92,36.7
0.9,3,38.7,92,36.5
0,4,38.7,92,36.5
0,0,38.7,92,36.5
0,0,38.5,92,36.3
0,0,38.5,92,36.3
2.9,3,38.5,92,36.3
0,2,38.3,92,36.1
0,5,38.1,92,36
0,3,38.1,92,36
0.9,4,37.9,92,35.8
0,0,37.9,92,35.8
2,2,37.8,92,35.6
2,3,37.8,92,35.6
6,9,37.8,92,35.6
0,2,37.8,92,35.6
0,3,37.8,92,35.6
0.9,5,37.8,92,35.6
0,1,37.8,92,35.6
0,0,37.8,92,35.6
0,2,37.8,92,35.6
0,0,37.8,92,35.6
0,3,37.8,92,35.6
0,1,37.8,92,35.6
0,0,37.8,92,35.6
0,3,37.9,92,35.8
0,0,37.9,92,35.8
0,3,37.9,92,35.8
2.9,4,37.9,92,35.8
0,0,37.9,92,35.8
0.9,4,37.9,92,35.8
0,3,37.9,92,35.8
0,5,37.9,92,35.8
0,2,37.9,92,35.8
0,1,38.1,92,36
0,4,38.1,92,36
2.9,3,38.1,92,36
0,0,38.1,92,36
0,1,38.1,92,36
0,3,38.1,92,36
0,0,38.1,92,36
0,0,38.1,92,36
0,0,38.1,92,36
0,3,38.1,92,36
0,0,38.3,92,36.1
0,2,38.3,92,36.1
0,0,38.3,92,36.1
0,0,38.3,92,36.1
0,0,38.3,92,36.1
0,3,38.3,92,36.1
0,0,38.3,92,36.1
2,2,38.3,92,36.1
0.9,2,38.3,92,36.1
0,0,38.3,92,36.1
0,0,38.3,92,36.1
6,7,38.3,92,36.1
0,4,38.3,92,36.1
0,0,38.3,92,36.1
0,3,38.3,92,36.1
0,4,38.5,92,36.3
0,3,38.3,92,36.1
0,2,38.5,92,36.3
0,0,38.5,92,36.3
0,0,38.3,93,36.5
0,0,38.5,93,36.7
0,0,38.5,93,36.7
0.9,3,38.5,93,36.7
0,2,38.5,93,36.7
0,0,38.5,93,36.7
0,0,38.5,93,36.7
0,0,38.5,93,36.7
0,0,38.5,93,36.7
0,0,38.7,93,36.9
0,0,38.7,93,36.9
0,3,38.7,93,36.9
0,4,38.7,93,36.9
0,0,38.8,93,37
0,6,38.8,93,37
0,5,39,93,37.2
0,1,39,93,37.2
0,0,39,93,37.2
0.9,1,39,92,36.9
0,2,39.2,92,37
0,0,39.2,93,37.4
2,2,39.4,93,37.6
0,3,39.4,93,37.6
0,2,39.4,93,37.6
0,0,39.4,93,37.6
0,0,39.4,93,37.6
0,2,39.4,93,37.6
0,2,39.6,93,37.8
0.9,3,39.6,93,37.8
2.9,3,39.6,93,37.8
2.9,3,39.7,93,37.9
0,1,39.7,93,37.9
0.9,2,39.7,93,37.9
0,0,39.7,93,37.9
0,2,39.7,93,37.9
0.9,2,39.7,93,37.9
0.9,3,39.9,93,38.1
0.9,3,39.9,93,38.1
0,4,39.9,93,38.1
0,2,40.1,93,38.3
0,0,40.3,93,38.5
0.9,2,40.3,93,38.5
0.9,2,40.5,93,38.7
2,3,40.5,93,38.7
2,3,40.6,93,38.8
2.9,3,40.6,93,38.8
0,2,40.6,93,38.8
0.9,1,40.6,93,38.8
0,1,40.6,93,38.8
0,3,40.6,93,38.8
0,2,40.6,93,38.8
0.9,1,40.6,93,38.8
0.9,6,40.6,93,38.8
0,0,40.6,93,38.8
0,3,40.8,93,39
0.9,1,40.8,93,39
0,3,40.8,93,39
0,3,41,93,39.2
0,5,41.2,93,39.4
2,2,41,93,39.2
0,4,41.2,93,39.4
0,3,41.2,93,39.4
0,4,41.2,93,39.4
0,2,41.4,93,39.6
0,3,41.5,93,39.7
0,1,41.5,93,39.7
0,0,41.5,93,39.7
0.9,3,41.7,93,39.9
0,3,41.7,93,39.9
2,2,41.7,93,39.9
0,0,41.7,93,39.9
0.9,3,41.7,93,39.9
0,0,41.7,93,39.9
0,2,41.7,93,39.9
2.9,4,41.7,93,39.9
2,2,41.7,93,39.9
0,1,41.7,93,39.9
0,2,41.7,93,39.9
0,0,41.9,93,40.1
0,2,41.9,93,40.1
0,0,41.9,93,40.1
0,3,41.9,93,40.1
0,1,41.9,93,40.1
2,3,41.9,93,40.1
0,3,41.9,93,40.1
0,0,42.1,93,40.3
0.9,4,42.1,93,40.3
0,0,41.9,93,40.1
0.9,2,41.9,93,40.1
0,0,42.1,93,40.3
0,0,42.1,93,40.3
0,0,41.9,93,40.1
0,0,42.1,93,40.3
0,0,41.9,93,40.1
0,0,41.9,93,40.1
0,0,41.9,93,40.1
0,3,41.9,93,40.1
0,0,41.9,93,40.1
0,2,41.9,93,40.1
0,0,41.7,93,39.9
0,1,41.7,93,39.9
0,0,41.7,93,39.9
0,0,41.7,93,39.9
0.9,2,41.7,93,39.9
4,5,41.7,93,39.9
0,0,41.7,93,39.9
0,3,41.7,93,39.9
0,0,41.7,93,39.9
0,0,41.7,93,39.9
0,0,41.7,93,39.9
0,2,41.7,93,39.9
0,0,41.5,93,39.7
0,0,41.5,93,39.7
0,0,41.5,93,39.7
2.9,3,41.5,93,39.7
0.9,2,41.5,93,39.7
0,3,41.5,93,39.7
0,0,41.4,93,39.6
0,1,41.4,93,39.6
0,4,41.4,93,39.6
0,3,41.2,93,39.4
0.9,1,41.2,93,39.4
0,2,41.2,93,39.4
0,0,41.2,93,39.4
0,0,41.2,93,39.4
2.9,5,41,98,40.5
4,5,41,93,39.2
2.9,3,40.8,93,39
0,0,40.8,93,39
0,2,40.6,93,38.8
0,1,40.6,93,38.8
0,3,40.6,93,38.8
2.9,3,40.6,93,38.8
0,5,40.5,93,38.7
0,2,40.5,93,38.7
0.9,1,40.5,93,38.7
2,5,40.5,93,38.7
0,4,40.3,93,38.5
0,3,40.3,93,38.5
2.9,4,40.1,93,38.3
0,4,40.1,93,38.3
0,4,39.9,93,38.1
0,2,39.9,93,38.1
0,1,39.9,93,38.1
0,1,39.9,93,38.1
0,4,39.9,93,38.1
0.9,3,39.7,93,37.9
0,0,39.7,93,37.9
0.9,2,39.7,93,37.9
2,5,39.7,93,37.9
2,2,39.7,93,37.9
0,1,39.7,93,37.9
0,5,39.7,93,37.9
0,4,39.7,93,37.9
0,2,39.6,93,37.8
0.9,3,39.6,92,37.4
0,2,39.6,93,37.8
0,2,39.6,92,37.4
4,5,39.4,92,37.2
0.9,5,39.4,93,37.6
0,1,39.2,93,37.4
0,2,39.2,93,37.4
0,2,39,93,37.2
0.9,3,39,93,37.2
0,0,39,93,37.2
0,1,39,93,37.2
0,3,39,92,36.9
0,3,39,92,36.9
0,4,39,92,36.9
0,0,38.8,92,36.7
0,4,38.8,92,36.7
0,6,38.8,92,36.7
2,3,38.8,92,36.7
0,5,38.8,92,36.7
0,7,38.8,92,36.7
2.9,3,38.8,92,36.7
0.9,4,38.8,92,36.7
2.9,7,38.8,92,36.7
2.9,5,38.8,93,37
0.9,6,38.8,93,37
0.9,5,38.8,93,37
4.9,10,38.8,93,37
4,6,38.8,92,36.7
0,5,38.8,93,37
4,5,38.8,93,37
4,10,38.8,93,37
4.9,10,39,93,37.2
0,4,39,93,37.2
0,3,39,93,37.2
0,0,39,93,37.2
0,0,39,93,37.2
2,3,39,93,37.2
2,4,39,93,37.2
2,2,39,93,37.2
0,3,39,93,37.2
0,0,39,93,37.2
0,2,39,93,37.2
0,0,39,93,37.2
2.9,3,39,93,37.2
0,3,39,93,37.2
0,0,39,93,37.2
0,0,39,93,37.2
0,0,39,93,37.2
0,0,39,93,37.2
0,0,39,93,37.2
0,0,39,93,37.2
0,0,39,93,37.2
0,0,39,93,37.2
0,0,39.2,93,37.4
0,0,39.2,93,37.4
0,1,39.4,93,37.6
0,0,39.4,93,37.6
0,6,39.4,93,37.6
0,1,39.4,93,37.6
0,0,39.4,93,37.6
0,0,39.4,93,37.6
0,0,39.4,93,37.6
0,2,39.4,93,37.6
0,2,39.4,93,37.6
0.9,2,39.4,93,37.6
0,0,39.6,93,37.8
0,0,39.6,93,37.8
0,0,39.6,93,37.8
0,0,39.6,93,37.8
0,0,39.6,93,37.8
0,0,39.6,93,37.8
0,0,39.6,93,37.8
0,0,39.6,93,37.8
0,0,39.6,93,37.8
0,0,39.6,93,37.8
0,0,39.6,93,37.8
0,0,39.6,93,37.8
0,0,39.6,93,37.8
0,0,39.6,93,37.8
0.9,1,39.7,93,37.9
0,0,39.7,93,37.9
0,0,39.7,93,37.9
0,0,39.7,93,37.9
0,0,39.7,93,37.9
0,0,39.7,93,37.9
0,0,39.7,93,37.9
0.9,2,39.7,93,37.9
0,0,39.7,93,37.9
0,0,39.7,93,37.9
0,0,39.9,93,38.1
0.9,2,39.9,93,38.1
0,5,39.9,93,38.1
2,3,39.9,93,38.1
0,4,39.9,93,38.1
0,0,39.9,93,38.1
0,0,39.7,93,37.9
2.9,4,39.7,93,37.9
0,4,39.7,93,37.9
0,2,39.7,93,37.9
0,2,39.7,93,37.9
4.9,6,39.6,93,37.8
2,6,39.6,93,37.8
2,6,39.6,93,37.8
0,0,39.6,93,37.8
2.9,6,39.4,93,37.6
0.9,3,39.4,93,37.6
0,5,39.4,93,37.6
0,7,39.4,93,37.6
0.9,6,39.4,93,37.6
0.9,5,39.4,93,37.6
2.9,6,39.4,93,37.6
2.9,5,39.4,93,37.6
4,5,39.2,93,37.4
2.9,5,39.2,93,37.4
2.9,4,39,93,37.2
2,2,39,93,37.2
0,6,39,93,37.2
0,2,39,93,37.2
0,3,39,93,37.2
0,4,39,93,37.2
4,6,39,93,37.2
0,6,39,93,37.2
2,5,39,93,37.2
0,9,39,93,37.2
2,4,38.8,93,37
6,6,38.8,93,37
2,5,38.7,93,36.9
2.9,4,38.5,93,36.7
0.9,5,38.5,93,36.7
0,2,38.5,93,36.7
0,2,38.5,93,36.7
2.9,3,38.5,93,36.7
0,0,38.5,93,36.7
0,2,38.5,93,36.7
0,4,38.5,93,36.7
2,5,38.7,93,36.9
2,2,38.7,93,36.9
0.9,2,38.8,93,37
4,10,38.8,93,37
8.1,8.1,39,93,37.2
4,7,39,93,37.2
2,4,39.2,93,37.4
0,11,39.4,93,37.6
0.9,10,39.4,93,37.6
4,7,39.6,93,37.8
2,5,39.6,93,37.8
4,8,39.7,93,37.9
0,11,39.9,93,38.1
0,6,39.9,93,38.1
2.9,5,40.3,93,38.5
0,6,40.3,93,38.5
2,5,40.5,93,38.7
0,3,40.6,93,38.8
2,4,41.2,93,39.4
2,5,41.5,93,39.7
2,4,41.9,93,40.1
0,3,42.4,93,40.6
0,3,43,92,40.8
0,5,43.2,92,41
0,1,43.2,92,41
0.9,5,43.3,91,40.8
0,7,43.5,91,41
0,7,43.5,90,40.8
8.9,9,43.3,90,40.6
2.9,5,43.5,90,40.8
2,6,43.9,89,40.8
0,3,43.9,89,40.8
0,4,44.1,89,41
0,4,43.9,88,40.6
2,3,44.4,88,41.2
6,6,44.6,88,41.2
2,5,45,87,41.4
0,4,45,87,41.4
0.9,6,45.1,86,41.2
0,6,45.5,86,41.5
0,2,45.7,86,41.7
0,2,45.5,85,41.2
0,3,46.8,86,42.8
0.9,4,47.3,83,42.4
0.9,5,47.1,82,41.9
2,2,47.1,82,41.9
0,1,47.7,81,42.1
0,3,48,80,42.1
2,4,47.8,79,41.7
2,3,48,80,42.1
0,4,48.6,79,42.3
0.9,4,49.5,78,42.8
0.9,4,50.4,77,43.3
4,5,50.4,76,43.2
0,5,50.4,75,42.8
4,4,50.9,77,43.9
0.9,6,51.4,75,43.7
2.9,3,52,74,43.9
0,4,51.8,72,43
0,5,52.9,75,45.1
0,1,52.9,71,43.7
0,4,53.2,71,44.1
2,3,53.4,70,43.9
0,3,54.3,70,44.8
0,2,54.9,68,44.4
0,3,54.9,65,43.3
2.9,3,55.2,65,43.7
2.9,4,55.8,64,43.7
2,5,55.9,64,43.9
4,6,56.5,63,44.1
0,4,56.3,62,43.5
0,2,56.5,63,44.1
2,4,56.8,60,43.2
0.9,4,57,61,43.7
2,3,57,58,42.4
2,3,57.6,60,43.7
0,0,57.6,59,43.3
2.9,5,57.7,59,43.5
0.9,6,58.3,58,43.5
0,5,58.3,59,44.1
0,5,58.8,58,44.1
0,0,58.5,56,42.8
0,2,59,57,43.7
0,4,58.8,56,43.2
2.9,3,59,59,44.8
0,3,59.2,58,44.4
0,1,59.2,57,43.9
0,3,59.5,57,44.2
0,2,59.7,59,45.3
0,2,60.1,56,44.4
0,3,60.1,58,45.3
2.9,4,59.7,56,44.1
0,3,59.7,56,44.1
0,3,59.4,59,45
0,0,59.5,58,44.8
0,0,59.7,57,44.4
0,0,59.4,56,43.7
0,0,59,60,45.1
0,0,59,58,44.2
0,0,58.6,61,45.3
0,0,57.6,65,45.9
0,1,56.8,66,45.7
0,0,56.3,69,46.2
0,0,56.7,70,46.9
0,0,56.1,70,46.4
0,0,55.6,73,47.1
0,0,54.7,72,45.9
0,0,54.3,73,45.9
0,2,55,70,45.5
0,0,55.6,67,44.8
0,3,55.8,66,44.6
0,0,55.2,66,44.1
0,0,54.1,69,44.2
0,0,53.1,71,43.9
0,0,52,74,43.9
0,0,51.1,76,43.7
0,0,50.5,77,43.5
0,0,49.6,78,43
0,0,48.9,80,43
0,0,48.6,81,43
0,0,47.8,82,42.6
0,0,47.8,83,43
0,0,47.1,83,42.3
0,0,47.1,84,42.6
0,0,46.8,85,42.4
0,0,46.2,85,41.9
0,0,45.9,86,41.9
0,0,45.7,87,42.1
0,0,45.3,86,41.4
0,0,45.1,87,41.5
0,0,45,88,41.5
0,0,44.8,88,41.4
0,0,44.4,88,41.2
0,0,44.2,88,41
0,0,44.1,88,40.8
0,0,43.9,89,40.8
0,0,43.7,89,40.6
0,0,43.5,89,40.5
0,0,43.3,89,40.3
0,0,43,89,39.9
0,0,43,90,40.3
0,0,42.6,90,39.9
0,0,42.4,90,39.7
0,0,42.3,90,39.6
0,0,42.3,90,39.6
0,0,41.9,90,39.2
0,0,41.7,90,39
0,0,41.7,90,39
0,0,41.5,90,38.8
0,0,41.4,91,39
0,0,41.2,90,38.5
0,0,41.2,91,38.8
0,0,40.8,91,38.5
0,0,40.8,91,38.5
0,0,40.6,91,38.3
0,0,40.3,91,37.9
0,0,40.1,91,37.8
0,0,40.1,91,37.8
0,0,40.1,91,37.8
0,0,40.1,91,37.8
0,0,39.7,91,37.4
0,0,39.6,91,37.2
0,0,39.4,91,37
0,0,39,91,36.7
0,0,39,91,36.7
0,0,39,91,36.7
0,0,38.8,92,36.7
0,0,38.8,92,36.7
0,0,38.8,92,36.7
0,0,38.8,92,36.7
0,0,38.8,92,36.7
0,0,38.8,92,36.7
0,0,39,92,36.9
0,0,38.8,92,36.7
0,0,38.7,92,36.5
0,0,38.7,92,36.5
0,0,38.5,92,36.3
0,0,38.3,92,36.1
0,0,38.1,92,36
0,0,37.9,92,35.8
0,0,37.8,92,35.6
0,0,37.8,92,35.6
0,0,37.8,92,35.6
0,0,37.8,92,35.6
0,0,37.9,92,35.8
0,0,37.9,92,35.8
0,0,37.9,92,35.8
0,0,37.9,92,35.8
0,0,37.9,92,35.8
0,0,37.9,92,35.8
0,0,37.9,92,35.8
0,0,37.9,92,35.8
0,1,37.9,92,35.8
0,0,37.8,92,35.6
0,0,37.9,92,35.8
0,0,37.9,92,35.8
0,0,37.9,92,35.8
0,0,37.9,92,35.8
0,0,37.9,92,35.8
0.9,2,37.9,92,35.8
0,2,37.9,92,35.8
0.9,3,37.9,92,35.8
0,1,38.1,93,36.3
0,0,38.5,92,36.3
0,0,38.5,92,36.3
0,0,38.5,93,36.7
0,0,38.7,93,36.9
0,0,38.5,92,36.3
0,0,38.5,92,36.3
0,0,38.3,92,36.1
0,0,38.1,92,36
0,0,37.9,92,35.8
0,0,37.8,92,35.6
0,0,37.8,92,35.6
0,0,37.6,92,35.4
0,0,37.4,92,35.2
0,0,37.2,92,35.1
0,0,37,92,34.9
0,0,36.9,92,34.7
0,0,36.9,92,34.7
0,0,36.7,92,34.5
0,0,36.5,92,34.3
0,0,36.3,92,34.2
0,2,36.3,92,34.2
0,0,36.1,92,34
0,0,36,92,33.8
0,0,36,92,33.8
0,3,36,92,33.8
0,0,36.3,93,34.5
0,5,37,93,35.2
0,3,37.4,93,35.6
2.9,5,38.1,93,36.3
2.9,6,38.5,93,36.7
2,5,39,93,37.2
2,6,39.2,93,37.4
4,9,39.4,93,37.6
0,3,39.6,93,37.8
4.9,5,39.6,93,37.8
2,5,39.6,93,37.8
0.9,4,39.4,93,37.6
2,3,39.4,92,37.2
0.9,3,39.4,92,37.2
0,7,39.4,92,37.2
2,4,39.6,92,37.4
0,2,39.6,92,37.4
2,2,39.6,92,37.4
0,7,39.4,92,37.2
0,5,39.4,92,37.2
0,4,39.4,92,37.2
0,6,39.4,92,37.2
4,5,39.4,91,37
0,3,39.4,91,37
0,4,39.2,91,36.9
0,10,39.2,91,36.9
0.9,1,39.2,90,36.5
0,6,39,90,36.3
6,6,39,90,36.3
0,3,39,90,36.3
0,8,39,89,36.1
0,3,39,89,36.1
0.9,6,39,89,36.1
0.9,4,39,88,35.8
0,2,39,87,35.4
2,4,39,87,35.4
0,7,39,87,35.4
0.9,5,38.8,86,35.1
0.9,2,38.8,86,35.1
4,6,38.8,86,35.1
0,3,38.8,85,34.7
2,4,38.8,85,34.7
0.9,6,38.8,84,34.3
0,6,38.8,84,34.3
0,2,38.8,84,34.3
2,3,38.8,83,34.2
0,2,38.8,83,34.2
2.9,3,38.7,83,34
0,5,38.7,82,33.6
0,2,38.7,83,34
0.9,3,38.7,82,33.6
0,1,38.7,82,33.6
0,2,38.7,82,33.6
0,3,38.7,82,33.6
4,4,38.7,82,33.6
2,4,38.8,82,33.8
0,0,38.8,82,33.8
0,7,39,82,34
2,5,39.4,82,34.3
4,6,39.6,82,34.5
0,7,39.7,81,34.3
2.9,5,39.9,81,34.5
2,13,40.1,81,34.7
0,11,40.3,80,34.5
2,5,40.3,80,34.5
0.9,6,40.5,80,34.7
2.9,10,40.6,79,34.7
4.9,9,40.8,80,35.1
2,6,41,79,35.1
2,2,41.5,79,35.6
4.9,7,42.4,78,36.1
4.9,7,43,76,36
0,7,43.2,75,35.8
2,11,43.3,74,35.6
0,11,43.9,73,35.8
2.9,11,44.1,73,36
0,7,44.2,72,35.8
2,6,44.8,71,36
2,9,44.8,71,36
0,6,45.1,70,36
4,6,45.3,70,36.1
0.9,7,45.7,69,36.1
0,5,46,69,36.5
4.9,10,46.4,67,36
0,12,46,67,35.8
11,13,46,66,35.2
2.9,10,46.2,67,36
0.9,8,46.2,66,35.4
2,12,46,66,35.2
12.1,13,46.4,65,35.2
0.9,6,46.6,65,35.4
0,7,46.8,61,34
0,7,47.1,60,34
0,5,47.8,60,34.7
4,6,48,58,34
0,9,48,60,34.9
2,3,48.2,61,35.4
2.9,13,47.8,62,35.4
2,10,48.2,60,34.9
2,12,47.8,60,34.7
0,6,48,60,34.9
2.9,13,47.5,59,33.8
0,13,47.3,59,33.6
0.9,6,47.5,58,33.4
4.9,7,47.7,57,33.3
0,15,47.5,56,32.5
2,7,47.8,56,32.9
6,10,47.5,55,32.2
0.9,11,46.9,55,31.6
0.9,5,47.8,56,32.9
4.9,6,47.3,56,32.4
4.9,6,47.3,56,32.4
10.1,10.1,47.1,54,31.3
0,6,47.5,54,31.6
0,8,47.8,52,31.1
2.9,8,47.7,53,31.3
4.9,7,48,53,31.6
2.9,6,48.6,54,32.7
0,7,48.4,53,32
0,7,47.8,54,32
0,11,47.7,54,31.8
0,7,48.2,54,32.4
2,7,48.7,53,32.4
