"Burlington","10 08 12 Jin  $60 Click to read Click to read Click to read Click to read Click to read Click to read sylverback 5 04 12 June $60 Click to read Click to read Click to read Click to read Click to read Click to read Bill72 4 28 11 Jessica $60 Click to read Click to read Click to read Click to read Click to read Click to read luvmyasians","Bennington, VT","Eunhwa Spa"
"Philadelphia","1 05 12 Don't Know $80 Click to read Click to read Click to read Click to read Click to read Click to read Ferris Bueller 3 01 11 Don't Know $80 Click to read Click to read Click to read Click to read Click to read Click to read spaghetti","VT 05201 MAJOR STREETS: Across from Dunkin Donuts","Bali Spa"
"Rutland","9 19 13 Blue $60 Click to read Click to read Click to read Click to read Click to read Click to read MRAMP 8 28 13 Blue $60 Click to read Click to read Click to read Click to read Click to read Click to read umali23 10 23 12 Bella $60 Click to read Click to read Click to read Click to read Click to read Click to read geishaguy 9 29 12 EVA $60 Click to read Click to read Click to read Click to read Click to read Click to read Turning Japanese 6 13 12 Sue $60 Click to read Click to read Click to read Click to read Click to read Click to read trailman 5 30 12 Sue $60 Click to read Click to read Click to read Click to read Click to read Click to read geishaguy 4 13 12 EVA $75 Click to read Click to read Click to read Click to read Click to read Click to read Turning Japanese 4 10 12 EVA $60 Click to read Click to read Click to read Click to read Click to read Click to read geishaguy 11 21 11 EVA $60 Click to read Click to read Click to read Click to read Click to read Click to read stellarunx 11 02 11 EVA $60 Click to read Click to read Click to read Click to read Click to read Click to read trailman 10 20 11 Eve $75 Click to read Click to read Click to read Click to read Click to read Click to read Sarge316 9 02 11 Shirley $60 Click to read Click to read Click to read Click to read Click to read Click to read Fusion 8 02 11 Shirley $60 Click to read Click to read Click to read Click to read Click to read Click to read bankla 6 26 11 Nichole $60 Click to read Click to read Click to read Click to read Click to read Click to read njman873 2 06 11 Don't remember $60 Click to read Click to read Click to read Click to read Click to read Click to read barfit","Bennington, VT","Far East Massage Therapy"
"Philadelphia","11 30 12 Grace $80 Click to read Click to read Click to read Click to read Click to read Click to read serchinginvt 4 09 11 Don't Know $80 Click to read Click to read Click to read Click to read Click to read Click to read spaghetti 3 20 11 Don't Know $80 Click to read Click to read Click to read Click to read Click to read Click to read Redbear","VT 05201 MAJOR STREETS: South St.","Cutie"
"Essex","11 30 12 Grace $80 Click to read Click to read Click to read Click to read Click to read Click to read serchinginvt 4 09 11 Don't Know $80 Click to read Click to read Click to read Click to read Click to read Click to read spaghetti 3 20 11 Don't Know $80 Click to read Click to read Click to read Click to read Click to read Click to read Redbear","Shelburne, VT","Evergreen Spa"
"Essex"," ","VT 05482","Evergreen Spa"
" "," ","Wilmington, DE"," "
" "," ","DE 19810 MAJOR STREETS: Foulk and Naamans"," "
" "," ","Burlington, VT"," "
" "," ","VT 05401"," "
" "," ","Philadelphia, PA"," "
" "," ","PA 19107 MAJOR STREETS: 8th St."," "
" "," ","Rutland, VT"," "
" "," ","VT 05701 NEIGHBORHOOD: Click to read MAJOR STREETS: Behind VT Legal Aid"," "
" "," ","Philadelphia, PA"," "
" "," ","PA 19107 MAJOR STREETS: Near Convention Center"," "
" "," ","Essex, VT"," "
" "," ","VT 05452"," "
" "," ","Essex, VT"," "
" "," ","VT 05452"," "
