"city","description","title","age","state","posting-date","location","review-id"
"SAN JUAN","CAROLIN THE SUPER VIP Service Exclusive erotic Presents CAROLIN 23 year old girl friendly and accommodating Venezuelan serves you no troubleHi I want to please all your sexual erotic desires as you wish Oral and vaginal sex as you prefer Just asking for more and more and I will give much more Caresses your whole body as you wish And massage Call me and discover your sexual fantasyI entertain men women and couples Ill residential and hotels","two sexy girls available now","22","MI","14 hour","SAN JUAN PR","2781371"
"SAN FRANCISCO","Hello Gentlemen I am Japanese Fiona 22 years oldI am 52 100 lbs with amazing measurement34D2434I provide meetings with the best girls at the most affordable rateI with a sexy body and soft smooth silky skin gorgeous long legsI am highly educated and sweet hottie Call Fiona to Outcall OnlyText","NEW GIRL CALL ME TODAY Outcall Only Sexy Asian Girl Fiona","22","CALIFORNIA","1 day","SAN FRANCISCO CA","2787320"
"SAN FRANCISCO","New GIRLS No Rush Always Give Extra Time Japanese Girl Cindy Kay Viet Girls WE Both Are OpenMinded College StudentsWE Both Are sexy work independently that love to have fun Come Sexy lingerie stocking SHOWER TOGETHER Nuru Massage Amazing Skill ASERVICE 100Real Pics or Text","SMOKING 4155494271ot ot Asian mtKAYNEW IN TOWNSHORT STAYINCALL","24","CA","23 hour","SAN FRANCISCO CA","2789091"
"BURLINGTON","Real woman can b hard 2find but i know my beauty alone would make u feel lucky more than any otherIm a 58Gorgeous redhead with baby blue eyes not to mention i have curves for u to love Im the very easy going down to earth typeIm lookin for serious enquiries only pleaseJust know that you can trust me You will never have to 2nd guess me My word is all I got to give ina situation like thisIll keep them allSo dont waste anymore of your time Callortext OUTCALLS","Always classy Fiv5estarUpscale","22","CALIFORNIA","2 day","BURLINGTON VT","2654545"
"SAN FRANCISCO","My name is Elma I m a 22year old nice curvy Asian cutie with a great attitude well educated and speak good EnglishI have a private place that makes visiting me nice and easy and pleasant this way you can be as a private and discreet as you choose I am based in Union square Stockton street area in the heart of San Francisco I am looking forward to see you","Taiwanese Girl","21","CA","1 day","SAN FRANCISCO CA","2789082"
"SAN FRANCISCO","Im Camilla Your New Sweet Addiction Sensual Exotic Playmate Quality at its finest COMPLETELY PROFESSIONAL Pleasure Im a Gentleman Dream Come True Im An Expert and My Regulars Love Me Serious Callers Only Please playful professional and discreetC A U T I O N EXTREMELY Addictive You wont regret your time with me Please dont text If not seriousXoxo CamillaCallText SFO SurroundingINOUT","Beautiful Indian Princess Guaranteed Companionship SFo INOUTCALLS","24","CALIFORNIA","23 hour","SAN FRANCISCO CA","2789089"
"PORTLAND","Cleanliness and Good Hygiene is REQUIRED I present myself to you as I would want you to present yourself to mekaci420 friendly","PortlandReal Pictures READ MY AD Sexy Ebony Princess","23","CA","7 hour","PORTLAND OR","2654916"
"SAN FRANCISCO","Jessica sexy body Perky Cs Silky Body Great Legs 36C2436 105 lbs 53She can satisfy any and every one of your cravings for pure satisfaction So please sit back and relax You will enjoy every bit of her Your time with her will be fulfilling and unforgettable You will not be disappointed terReview ID 251299Please call for an appointment between 10am to 12am UNLOCK YOUR NUMBER 120hhr 160HRSorry No AA","Real Photos 100Sexy Beautiful Asian HongKong Girl With Excellent Massage Skills","28","CALIFORNIA","1 day","SAN FRANCISCO CA","2789084"
"SAN FRANCISCO","Hello GentsAre you ready for an Unforgettable Experience GF Give me a call text are ok and let me show you the time of your life My pics are 100 me What you see is what you get I promise you will leave completely satisfied and asking for more No Negotiations My rates are final and Im more than worth it Come spend some time with this sexy spinner400Hr Available Today 914 Incall Limited OutKissesMaria","Exotic Filipina SpinnerDowntown 914 Incall Limited Outcall","23","CA","23 hour","SAN FRANCISCO CA","2789090"
"SAN FRANCISCO","Hey guys my names Erika a bombshell who satisfaction lies in making ALL of you desires a reality No games and no drama just a classy girl here to fulfill every fantasy 100 natural 100 real Im here to please not tease Reliable ready Very OpenMinded INDEPENDENT I To ParTy","Your Ultimate Dream Girl PLAYMATE With A Constant Craving For FUN INDEPENDENT"," ","PUERTO RICO","1 day","SAN FRANCISCO CA","2789087"
" "," "," "," ","PR"," "," "," "
" "," "," "," ","CALIFORNIA"," "," "," "
" "," "," "," ","CA"," "," "," "
" "," "," "," ","CALIFORNIA"," "," "," "
" "," "," "," ","CA"," "," "," "
" "," "," "," ","VERMONT"," "," "," "
" "," "," "," ","VT"," "," "," "
" "," "," "," ","CALIFORNIA"," "," "," "
" "," "," "," ","CA"," "," "," "
" "," "," "," ","CALIFORNIA"," "," "," "
" "," "," "," ","CA"," "," "," "
" "," "," "," ","OREGON"," "," "," "
" "," "," "," ","OR"," "," "," "
" "," "," "," ","CALIFORNIA"," "," "," "
" "," "," "," ","CA"," "," "," "
" "," "," "," ","CALIFORNIA"," "," "," "
" "," "," "," ","CA"," "," "," "
" "," "," "," ","CALIFORNIA"," "," "," "
" "," "," "," ","CA"," "," "," "
