"city","description","title","age","state","posting-date","location","review-id"
"NORFOLK","Ill leave you wanting MOREMORE 5 star NO RUSH ONE OF A KIND Experience pics are 1000 real im often imitatedSOFT SKINSexy Voice SEXY BODDYY Fun Flirty and Erotic100 Safe100 INDEPENDENTNO PIMPS heart breaker 100 real Sincere SweetSexy So much fun Youll Love Me VERY Friendly VERY clean HONEST DISCREET 100 me Im all YOURS I Cater To Upscale Gentlemen UnRushed AMAZING Experience","You Never had it like ME before2 Girl Specials","21","VA","1 day","NORFOLK VA","2800391"
"CHICAGO","Standing 59 36DD2739 with sparkling dark brown hair and hazel eyes Offering DominationFetish as well as nuru massage INCALLS YES MY PICTURES ARE REAL RECENT NO I WONT SEND MORE 100000 FUN I am independent No agencyLooking forward to hearing from youHolly","Naughty goddess on the prowl","29","IL","4 day","CHICAGO IL","2618287"
"DENVER","Gentlemen look no further your best kept secret Im everything you need in one LATIN BEAUTY An EXOTIC EROTICPASSIONATE SEXY Beauty Providing top of the line Companionship My services are for mature gentlemen only Bring true bliss to your life Wind down relax and release your stress while I cater to you 100 independent 100 Real JasmineCall me","100 special Puerto Rican Hottie ready to make all your dreams come true","21","CO","3 day","DENVER CO","2768907"
"NEWARK","Hey cuties hope i caught your eye I am 19 You have found yourself a TRIPLE threat smartspontaneous sexy Im home for the summer just wanna have some fun i love to please You will always feel comfortable with me Incalls only I will always make time to meet someone new YOU WILL BE SATISFIED NO DOUBT ABOUT IT CALL ME NOW QV DONATION 100 HH DONATION 150 WH DONATION 200 NO COPSNO EXPLICIT TALKNO PIMPSTHUGSBLACK GUYSINDEPENDENT","TINY baby Tina","19","DE","5 day","NEWARK DE","2675363"
"AUSTIN","Emonii Cash UpscaleSafeDiscreet ClassYReaL PiCs Make This Click Your Last A Tender Touch and AMAZING Will Relax You After A Stressful Day My Charming Seductive Personality Is Nonrushed DiscreteEmonii","pecials Cuban Goddess Emonii Cash let have fun 100Real Recent Piks","20","TX","8 day","AUSTIN TX","2626873"
"DURHAM","Hey my name is isabellaMy pictures are 100 percent real Hablo espaol amor Qv50 hh 90 Tengo especiales hoy Dont call to waist my timeNO AFRICAN American guys under 30 years old For more information call Dont be rude or you will get blocked Thanks","Isabella papi come make youre dreams come true","22","NC","1 day","DURHAM NC","2664345"
"VIRGINIA BEACH","Tired of fake pics rushed sessions and bad attitudesthen give me a call sarah im the girl for you come exsperience an unrushed never forgotten tantilizeing session that will have u coming back for more Im ready to turn any fantasy into reality so dont hesitate lets make it a date Ill b waitingNo law enforcement No text No hotelsSerious iquires only no pic collectors or game players u will b blocked All outcalls before 1am160hh200hrNo text please thank u","The nite is young so lets have some fun 5 foot bundle of Yum Yum dont miss out","28","VA","11 hour","VIRGINIA BEACH VA","2659809"
"HOUSTON","Hello Gentlemen My name is Julie 23 years oldI am a Chinese girl 53 105 lbs with amazing measurement 34C2334My gorgeous body with long hair and brown eyesTake time out of your busy day to rendezvous with a sexy upscale girl Feel free to call me I am friendly and open minded Please call me todayOutcall OnlyCall Me To","Houston Outcall Only Beautiful Asian Girl Julie With","23","TX","2 day","HOUSTON TX","2646615"
"AUSTIN","Hello Gentlemen SPECIALSLAST DAY 80SPEACIALNorth Austin Round RockIf you are looking for a beautiful classy companion to spend some quality time with then look no further My name is Alexis Im a upscale PUERTO RICAN companion Im sexypassionate openminded with a Real Naughty side I wanna play available all night day HIGH QUALITY NO BS Fetishes Role Plays OpenMind Hottest Puerto Rican girl in Town In outcalls","Parmer Ln NORTH AUSTIN LAST DAY HERE","23","TX","2 day","AUSTIN TX","2637105"
"AUSTIN","Im a perfect combination of SWEET SEXY mixed with an irresistible dose of CLASSY NAUGHTY My friends call me Melanie You can call me I bet Im the best decision you will make todayMy only focus is your pleasure it will show during every minute of our HOT sessionI dont have a boyfriend or husband and I see a limited amount of guys when doing this Ill definitely make you feel special and give you my undivided attentionMy pics are 100 me","Sweet petite treat ready too meet","21","TX","7 day","AUSTIN TX","2628493"
"DENVER","Yes I am British you will love me My pics speak for themselves and yes these are my real photos When you book me you will see for yourself I am the complete package from head to toe CALL ME OUTCALL ONLY Effy Available in Denver Lone Tree Castle Rock Littleton Westminster Golden Lakewood Arvada AuroraThronton Northglenn Downtown Englewood Greenwood Village DIA Parker Castle Rock","Petite Cute British Beauty Effy I am Really HOT","19","CO","18 hour","DENVER CO","2774634"
"TACOMA","Not just a gorgeous face and body that will drive you wild but a sweet girl with a naughty appetite A redhot experience from your America dream girl Our time together will relax and put you at ease Let meet soon Layla Inout","Nw Amrican Princss Rady to Plas","22","WA","10 hour","TACOMA WA","2788201"
"DURHAM","Hey Fellas Tight Juicey Ready Up All Night No Thugs No private calls Qv 50 hhr 80 hr 100Fetish friendly 420 friendly Party FriendlyCall me","OutcallsIncalls Big Booty MS Juicey One Call Away New New New","20","NC","6 hour","DURHAM NC","2665756"
"NEWARK","Hi Gentleman Do you Need to RELAX UNWiND Wanna have some HOT FUNMy erotic skills are AMAZiNG will drive you crazy MAGiC MOUTH even body to body Ur pleasure is 100 GUARANTEED UNRUSHED We are SAFE DiSCREET SeXy SWEET will ALWAyS make U feel comfortable I also LOVE to get nasty Fetishes are welcome just ask Open Daily 900 AM 1130 PM You wont be disappointPick up your phone right now in call","Full Hour Big Big BoobsASIAN NURU Massage","20","DE","10 day","NEWARK DE","2683613"
"NEWARK","NEW KOREAN GIRLS COMING Please Call All Korean Girls are new and Hot Clean Nice Private rooms Your Best ChoiceHot Stone Massage Swedish Massage Professional massage Deep Tissue Please Call 1710 philadelphia pikeWilmington 19809 Open 7 days 900AM1100PM","NEW YOUNG KOREAN GIRLs We UPSCALE Service","23","DE","23 hour","NEWARK DE","2701907"
"VIRGINIA BEACH","rates start at 150 half hour 220 hour ONLY call when readyNo black men Do not callUpscale MEN onlyNo explicit talk or service details no profanity4 read ad before contacting PICS ON AD DO NOT ASK ME TO SEND ANY INCALL ONLY","make a deposit in my box military special","22","VA","21 hour","VIRGINIA BEACH VA","2698588"
"DENVER","Hi guys I am Lisa 21 yrs Asian Girl 36C2536 53 108 lbsI have shoulder length silky brown hair and enchanting dark brown eyes I have a petite body with some perfect curvesIm your perfect example of the world Call me todayRate 15045minsIncall Only","Sexy Japanese Lisa Incall Only Petite Busty Body","21","CO","5 day","DENVER CO","2765377"
"ATLANTIC CITY","Hey alantic cityHollywood barbie is here to turn your dreams into realitylet me show you what a slice of heaven feels likeI specialize in the art of loveseeking respectable gentleman onlyno games please and no textsPARTY FAVORS AVAILABLE inOUT calls","splash Sunday 100specialsPARTY FAVORS","26","NJ","2 day","ATLANTIC CITY NJ","2691545"
"NEWARK","Hey papi come me 4some fun n relaxation Thick n all the right placesI offer a safe discreet locationPlease only SERIOUS phone callstexts be respectful no gamesvery clean Showers before and after each session both of our time is precious No need for endless textineverything is protected all timesshower b4 seeing me is a mustI ask 4 a pic upon arrival times 11pm530am INCALLS ONLY 420friendly","Spanish Thick bbwincalls only 11pm530am","24","DE","4 day","NEWARK DE","2695026"
"ROCHESTER","Sashay and nataliewe are both roomates and attending college and trying something new out to feed our naughty side at nightHERE TO SATISFY ALL YOUR NEEDSBoth shortpetitegorgeous outcall only No bare no dare Same day appt onlyCOME PLAY WITH US","2 dark and lovely italian vixens Come Play with us outcall only","21","NY","8 day","ROCHESTER NY","2658060"
"DURHAM","Hey Im Courtney A little about me Im really down to earth and a sweet girl I promise your time with me wont be wasted Nipple and tongue piercings will make you go crazy Classy nails and toes done pretty hands and feetIndependent100 REALDDD100 CLEAN ALL races welcome Incalls only NO PICS Qv60 HH100 Hr180TEXT OR CALL","Thick Young Big bootySnowbunny With DDD and nipple rings","21","NC","6 hour","DURHAM NC","2665751"
"DURHAM","Your barbie here need to unwind my skills I am Highly EXCLUSIVE Discreet Independent Always FIRM CleanGuaranteed To Relax Satisfy you Exotic Sweet please Be RespectfulIm available NOW No Rush No Explicit Talk Allowed INCALLS ONLYgt No Text No TextUpscaleClean Gentlemn onlyfreshly bathed Call me No Thugs NoDrama no law enforcement BUFFYMATURE MEN ONLY I DO NOT PLAY GAMESQV 60HALF 120HOUR 150","6060BUFFY NasTy Around And TownIm Your ChocoLate Dreams LoverBest Month PieCe And The Game","23","NC","6 hour","DURHAM NC","2665750"
"VIRGINIA BEACH","Hello Im Mia local beach girl 100 real pictures Not fake Caucasian 54 34D petite brunette The areas I travel to Norfolk Chesapeake Va Beach My donations 120quick 160half 240hourDont text me I wont reply You can call me though","OUT calls Im Mia and I love to have a good time","22","VA","21 hour","VIRGINIA BEACH VA","2698593"
"ALBUQUERQUE","ATTENTION Busty chick with a full figured body Bedroom eyes a ultimate pleaser My desire is to watch u enjoy me From my lips finger tips all way to my hips Dont be nervous to call me Im local and independent Real pics real women Lunch dates meet and greets and private residence Please do not discuss anything on the phone Alyze Rose","Call Me OutCALL SPECIALBusty Curvy Ready 4 You","20","NM","1 day","ALBUQUERQUE NM","2786219"
"BURLINGTON","50110lbs Brown hair green eyes Pretty Nice butt Lol text me and we can have some fun","Fun size petite female","40","VT","4 hour","BURLINGTON VT","2677774"
"AUSTIN","An absolute GENTLEMAN CHOICE Sexy easygoing intelligent Classy Upscale and undoubtedly sweet Clean Discreet I Have A Very Nicely Body A Sparkling Personality Even More Beautiful In Person 100 Independent Unrushed sessionsCall or text me Imani ABSOLUTELY NO AA","MORNING SPECIALSIMANI BIG BOOTY Sinfully Sexy Mixed Cuban Blonde BombShell","23","TX","6 day","AUSTIN TX","2630088"
"NEWARK","Im looking for a nice gentleman to spend a little time with today Are you ready to have some fun Im waiting for you Have some fun with an all natural FREAKy BombshellAsk for AutumnOutcalls only SERIOUS INQUIRIES ONLY PLEASE I wont waste uour timePLEASE DO NOT WASTE MINE","Pretty young thing Ready","24","DE","12 hour","NEWARK DE","2683610"
"ALBUQUERQUE","Asian Sindy23 54 34cd 105 lbsnice asian service queenfirst time in Albuquerque","Asian Sindy visiting Albuquerque","22","NM","12 hour","ALBUQUERQUE NM","2787888"
"SAN ANTONIO","Have You Ever Wanted To Do Something Exotic But No One To Share It With Unique Is Here For Limited Time No Rush No Worries Hit Me Up Ill Show You A Good Time Serious Callers OnlyAsk About My In Call Specials","Sweet Petite Unique","22","TX","2 hour","SAN ANTONIO TX","2788818"
"NEWARK","LIMITED TIME ONLY I AM YOUR PERFECTPLAYMATEMY Face is beautiful with an hour glass figureMy skills are A One of a kind EXPERINCE 32DDDs All Natural 120 51 Round Booty visiting for a short time so dont miss out 100 DISCREET serviceAVAILABLE NIGHT DAY100 ME 100 INDEPENDENT NO RUSH Serious Callers OnlyPlayful AffectionateCall me 247 CaLL NOW Stacii Dash LOOK ON NIGHTSHIFT for reviews Sexiistacii","32DDD ULTIMATE Puerto Rican petite BUBBLEbutt BODYgoddess","21","DE","10 day","NEWARK DE","2683609"
"DENVER","So bad but so good Naughty and playful Devilishly delicious Seductive and sinsual Krystal I know you tired of the disappointments time to feed your need and get pleased let me make you feel very important 55120lbs34CBubble buttTight body spinner Manicure and pedicure Sexy outfits and heels Krystal Outcall UPSCALEDisclaimer My donations set and are for my time the more you donate the more time will be allowed and the more fun we can have No details will be discussed over the phone please be respectful when contacting me as I see clean hygienic upscale men of all races but dont be one of the ones I dont see IM READY NOW YOU","Naughty little sensation yet sweetready to play","18","CO","3 day","DENVER CO","2768908"
"DURHAM","Hey Im Courtney A little about me Im really down to earth and a sweet girl I promise your time with me wont be wasted Nipple and tongue piercings will make you go crazy Classy nails and toes done pretty hands and feetIndependent100 REALDDD100 CLEAN ALL races welcome Incalls only NO PICS Qv60 HH100 Hr180TEXT OR CALL","Thick Young Big bootySnowbunny With DDD and nipple rings","21","NC","10 day","DURHAM NC","2665751"
"HOUSTON","Hey Guys it Alejandra also know as Alex I stand 54 with perfect voluptuous 38DDD 175 Pounds Hawaiian Puerto Rican Big BootyALWAYS 100 All Natural 100 INDEPENDENTGive me a call trust me you wont be disappointed Well reviewed so dont hesitate to ask for linksAlex","New New New Latina IN TOWN 100 REAL PIC 38 DDD with a Big Booty","24","TX","2 day","HOUSTON TX","2667405"
"DURHAM","Outcall OnlyCatering to Mature Men age 35Couples WelcomeFemale friendlyNo Police or AffiliatesNo Pimps or Drug DealersNo Block Call I wont answerNo FetishesRates 1530min803060min120Travel Area Raleigh KnightdaleWakeforestGarnerAdditional Travel Areas OxfordSmithfieldWendell1201530minRates Posted So dont call askingAbsolutely No Texting Call","60 Morning g time SpecialExacting Standards Thick Coffeee Brown60Outcall","26","NC","6 hour","DURHAM NC","2665752"
"OAKLAND","The name is kayla it my pleasure to please you If your looking to add some fun to your day then Im your girl Blonde hair and blue eyes Im every man dream I have a great personalitycharming Im gods gift to earth lol 54 115lbs Ill keep you occupied the whole time Call at your own risk KNOWN TO BE ADDICTINGINCALLS ONLYREAL PICTURESNO DRAMAINDEPENDENTNO AA KAYLA","New hot blonde in your city give me a call","23","CA","1 day","OAKLAND CA","2666570"
"ATLANTIC CITY","Im Ivy im pure fresh soft tan and here to cater and fulfill the fantasies of any professional generous respectable man 53 130lbsslim waist perky and a fat assIm outgoing open minded down to earth and love to pleaseI offer full body rubs lap dances short staysAsk about my 2GirlSpecial We love to have fun Party 420 friendly Real Pics Clean Professional Discreet SERIOUS CALLERS ONLY iDrive seaside jerseyshore","LimitedTime 2girls Young Sexy a Pretty Faced Exotic Panamanian Egyptian Fat Ass in","19","NJ","3 day","ATLANTIC CITY NJ","2688862"
"DURHAM","Hey gentlemen sassie hereSexy thick booty Princess ready to cater to clean discrete gentleman So stop the search Im the girl you need Come enjoy the ultimate safe experience with me I promise Im worth it CleanClassy DicteSuper Freak No Extra Pics No Explicit LanguageRates 60QV 100HH 200HR NO YOUNG Gentleman 40NO Thugs No law INCALLS ONLY","New In Town Thick Girls Do it BEST Available NOW","19","NC","6 hour","DURHAM NC","2665754"
"NEWARK","m an independent safe clean Professional Massage Come Experience The Time Of Your Life With Us Come Relax after a long day of work with a massage No Rush Service Amazing BODY 38D Slim Tel 2304 Carpenter Station Rd WE open 7days a week 900 am 1100 pm Cash only Please make an appointment 2304 Carpenter Station Rd Wilmington De 19810","Rainbow Spa 100 Hot Sexy New Here Asian Girls Free Table Shower","23","DE","2 day","NEWARK DE","2699977"
"TACOMA","56 135 lbs Long Brown Hair 34 DD Hot Steamy Reviews On TNA P411 More 34 DD Chest 25 in Trim Waist 36 in Feminine HipsIm the beautiful independent confident sexy woman that will Play your momentary girlfriend for a bit of fun you wont soon forget I Have A Submissive Side But Also In Touch With My Deviant No Drama ALL Of My Pictures Are 100 AUTHENTICMis Fotos Son Reales","PERFECT T N A APPR0VED P L A Y M A T E NICE H0TEL","22","WA","10 hour","TACOMA WA","2788198"
"HOUSTON","Hello Gentlemen My name is Julie 23 years oldI am a Chinese girl 53 105 lbs with amazing measurement 34C2334My gorgeous body with long hair and brown eyesTake time out of your busy day to rendezvous with a sexy upscale girl Feel free to call me I am friendly and open minded Please call me todayOutcall OnlyCall Me To","Houston Outcall Only Beautiful Asian Girl Julie With","23","TX","1 day","HOUSTON TX","2648255"
"ALBUQUERQUE","Catering to RESPECTFUL Gentlemen Superior Hygiene INDEPENDENT SAFE pics Always clean Drama Free Available 247 with notice This Is The Ultimate Experience I am EXACTLY what youre looking for New to Your Area Accommodating Sexy Sensual an green hazel eyes Sweetheart Im ready to show you I provide an UNRUSHED session I promise youll enjoy your experience with me 100qk150hh200hrID267985 NO AA men 420 Friendly","AsianLatinNow available","22","NM","13 hour","ALBUQUERQUE NM","2787886"
"SEATTLE","Hi Im DaisyI am 21 years old JAPANESE 53 36D Natural 106 lbsIm a sexy petite Asian girl with a beautiful face YOUNG AND sexyGIRLI have perky natural breast and a very nice complexion with a kindly personality and very playfulDaisy NO BLACK MEN NO TEXT NO BLOCK","Asian Natural Sexy Body NEW in Town INCALL ONLY Young Petite","21","WA","1 day","SEATTLE WA","2677487"
"NEWARK","HEY BOYS It Nicole your East Indian MIXXED PRINCESS Here from Cali only for a few days Im sexy sweet spicy honest girl Real pics No bait switch 54130pounds 38DDEVERYTHING YOU WANT NICOLE","Exotic MIXXED PrinceSs DrPpnG BuSty SeXY FeAKY AvAiLaBLe NoW C PlAy WiTh M","25","DE","12 hour","NEWARK DE","2683604"
"NEWARK","Hi Gentleman ImSweet AllieAre you ready for a MEMORABLE Then here let me send you awayWith aTreat yourself to exotic beautyReal PicturesAmanda Call f gf ff g eng gg Incall or Outcalls Available NOW Sweet Allie 1 Ask about 2girl special","You Deserve The BestSweet Allie 1 call me now","21","DE","4 day","NEWARK DE","2676953"
"BURLINGTON","Single white female looking for clean respectful man to have fun and play with this summer55 long brown hair brown eyes slender build was professional dancer for many yearsBONUSDonations are 80hh 150hr Call or text Serious inquiries only please","Sexy Summer Fun","30","VT","3 day","BURLINGTON VT","2671634"
"DENVER","Hi my name is Mya and I love to going to the movies dinner and shopping I am always laughing so we will have a blast but when its time to be Sexy nobody does it better Good conversation and foreplay turns me on and once I am on there is no turning me off lol Call me if you want me to come over you will be happy you did My pics are 100 Real and taken March of this YearMyaWill travel to Boulder DTC Westminster Highlands Ranch Littleton Lakewood Centennial Greenwood Village Downtown Glendale Cherry Creek Castle Rock Parker Aurora Lone Tree Brighton Golden","Exotic Beauty Classy Fun Wild Streak Shapely long Legs Mya New Video","25","CO","11 day","DENVER CO","2754570"
"HOUSTON","Hello gentleman my name is Natalie 36DDD Natural boobs smooth soft skin tight in all the right places If you are looking for a relaxing and stimulating time Im your girl Im fun freaky and always ready so let me show you an extraordinary time Im available 247 ready and waiting for you call me lets play Let me fulfill your every desireNatalie","36DDD Natural Kinky Chocolate Freaky Playmate","26","TX","2 day","HOUSTON TX","2646616"
"DETROIT","we have NEW SWEET YOUNG GIRL available for u Busty ASIAN girl with striking eyes luscious lipsa petite slender waist sexy long legs and soft silky luminous skin Please come by and let me give u the best serviceXXOO best atmosphere best girl make urself like at home Now pick up ur phone and call Today we have HOT Asian girls 160Hr 2Girls 300Hr","Asian","21","MI","2 day","DETROIT MI","2690304"
"ALBUQUERQUE","Hey boys My name is Delilah Give me a call if your looking for a stunning bright girl to have the time of your life with Please no blocked callsDONATIONS120Half 180FullDELILAHReviews TER 295755P411 224046 ECCIE AdoreDelilahI DO NOT SEND PICTURES MY PICTURES ARE 100 REAL AND RECENT","12OHHR OTOT OT OT OT","24","NM","13 hour","ALBUQUERQUE NM","2787887"
"NEWARK","I know exactly what You need 100 me or it FREE Pics are 100 me I have the tattoos to prove it Gentleman 1 Choice Guarantee I can satisfy you your needs What she wont do I will come sneak away have some fun let me show you all my skillsA1 limited textingTime wasters will be blockedSerious inquiries only NO LAW ENFORCEMENT","60ss100hh160hr Available all Night day","20","DE","12 hour","NEWARK DE","2683611"
"NEWARK","IN TOWN A FEW DAYSHEYY BABE IM LUNAMY PICS ARE VERY REAL RECENT Available For DayNight AppointmentsIm Exactly What Youve Been Craving Passionate Sexy Amazingly TalentedI NEVER Rush Allowing You To Relax I Enjoy What I Do And I Am DEDICATED To Making You Happy LunaNO TEXTI CATER 2 ALL RACES","60Haitian MXED Race D0ll Face Unmatched M0UTHPECE","21","DE","5 day","NEWARK DE","2693425"
"TULSA","Hello Its Chanel AsiaFun Flirty100 SafeSOFT SKIN SEXY BODDYY Discreet and Reliable Fetish CLEAN CLASSY100 INDEPENDENTAVAILABLE ALL HOURS of DAYNo BlockedExplicit Calls Pics are real and recent READY 2 RELAXVB 24 7 ipy aaZinG u","BFFS R MOrE FUN2 GIRL SPEACiAL2 GiRLs R BetteR ThaN 1DOUbLe FUN","99","OK","3 day","TULSA OK","2674377"
"AUSTIN","Hello Gentlemen my name is Polly For those who seek the complete packagelook no furtherFinger tips are magic skins as smooth as silkMy bubbly personality my down to earth character will have you inquiring for more Call me Dont miss out on our special time together Book now Polly please NO texting Pics 100 ME Authenticated INDEPENDENT DISCRETE CLEANNO GAMES NO DRAMA NO STRESS please NO AA Men","SEXY DELICIOUS VERY ADDICTIVE Top notch Pleaser 100 ME","22","TX","7 day","AUSTIN TX","2628497"
"DURHAM","Outcall OnlyCatering to Mature Men age 35Couples WelcomeFemale friendlyNo Police or AffiliatesNo Pimps or Drug DealersNo Block Call I wont answerNo FetishesRates 1530min803060min120Travel Area Raleigh KnightdaleWakeforestGarnerAdditional Travel Areas OxfordSmithfieldWendell1201530minRates Posted So dont call askingAbsolutely No Texting Call","60 Morning g time SpecialExacting Standards Thick Coffeee Brown60Outcall","26","NC","10 day","DURHAM NC","2665752"
"SIOUX FALLS","Hey guys new girl in town Come get the time you ever had i can promise you nothing but fun and satisfaction No LE NO BS So give me call or a text In or out call im your girl","cHoCoLaTe DrOp MaKe ThAt StOp","22","SD","1 day","SIOUX FALLS SD","2688142"
"ALBUQUERQUE","New to town BRITTANY Available INCALL OUTCALL247 Ask About My 2Girl Special","New In town Sexy Puerto Rican Call NOW","19","NM","13 hour","ALBUQUERQUE NM","2787885"
"WILMINGTON","Available for outcalls I offer legit real services just call for appt ahead of timeexclusive services for the upscale gentleman Party girl No games or excessive texting Im independent and drive alone no drama or games Great intimate services and amazing personality Up Late","Exotic doll very sweet and irresistebly sexy","24","NC","22 hour","WILMINGTON NC","2784647"
"ALBUQUERQUE","If youre looking for an upscale companion who funcompassionateand exceptionally generouslook no furtherMy 5 star service will leave you panting for moreIll promise you an unforgettable experience that will make your toes curl and your mouth waterI am a very open mindedtalented individual with delicate curvesflawless featuresand a passion for what I doNO TEXTINIn and out boundLoyalty Real PIctures No rushNo dramaNo disappointment","Play With Chocolate","24","NM","12 hour","ALBUQUERQUE NM","2787894"
"AUSTIN","Hello Gentlemen my name is Polly For those who seek the complete packagelook no furtherFinger tips are magic skins as smooth as silkMy bubbly personality my down to earth character will have you inquiring for more Call me Dont miss out on our special time together Book now Polly please NO texting Pics 100 ME Authenticated INDEPENDENT DISCRETE CLEANNO GAMES NO DRAMA NO STRESS please NO AA Men","Ssshh Your NaUgHTy SeCReT is here HoTSeXy Ready2Play New In TownSpECiaLs","22","TX","6 day","AUSTIN TX","2630085"
"PORTLAND","Hey Boys Hot naughty blonde hee ready to please ALL your fantasies UP late located downtown Vancouver 120hh 220 hrAniyah Dior","Naughty BLOND 1OO RAL","24","OR","4 hour","PORTLAND OR","2702995"
"AUSTIN","Im a perfect combination of SWEET SEXY mixed with an irresistible dose of CLASSY NAUGHTY My friends call me Melanie You can call me I bet Im the best decision you will make todayMy only focus is your pleasure it will show during every minute of our HOT sessionI dont have a boyfriend or husband and I see a limited amount of guys when doing this Ill definitely make you feel special and give you my undivided attentionMy pics are 100 me","Sweet petite treat ready too meet","21","TX","7 day","AUSTIN TX","2628493"
"SIOUX FALLS","Sexy little lady looking to spice up life today with some playful fun with you 55125lbs36c Call for my donations please Jazz mature men onlyI enjoy the company of older men","New Independent hot young lady in town that kiss and love to be kissed all over","21","SD","1 day","SIOUX FALLS SD","2688141"
"NEWARK","Hi Cutie Im Carmen with an Addictive Tongue game Let Me Show U what A Tightan Beautiful Service is all about 100 DiscreetPRETTY FACECLEAN COZYALWAYS LOOKINGSMELLING AMAZING GREAT PERSONALITY 100ME full Body Massage 40xtraRECENT REAL PHOTOSSO PICK UP UR PHONE AN CALL ME NOW GUARANTY U WONT REGRET OUTCALLS NO THUGGSNO PIMPS Private or blocked calls","The NEW Girl You Wish Lived Next DoorExotic Curvy Mixed Bombshell","23","DE","3 day","NEWARK DE","2678721"
"PORTLAND","its Friday and im eager to please I am a professional at what i do and i love doing it i know exactly how to make you explode i promise you that my skills are something that you have never experienced before i will make trembles go through your body until you cant resist no longer let me show you how a king is supposed to be treatedAsk about my 2 girl specialTNA VERIFIEDPictures are recent so dont ask for moreIncall OnlySatisfaction GuaranteedNo Times For GamesQV80HH130HR170Strawberry","Professional","21","OR","4 hour","PORTLAND OR","2702999"
"DURHAM","Dont Miss Out On The BEST My Name Is Cherry Im Ready For Fun 24 Yr Old White Doll Baby Very Sliippeery Addictive 53 150lbs Beautiful Green Eyes Red Hair Always Clean Discrete Please No Police No Thugs Or Pimps Gentlemen Only Call Now Cherry Incall Outcall","c c 1 c CDscr","24","NC","1 day","DURHAM NC","2664346"
