"name","service","title","gender","price","posting-date","location","review-id","age","ethnicity","description"
"Casandracobra","Escorting Strip-tease Domination Casting adult  A  Levels Role play & Fantasy DUO PSE Quickie OW FETISH GFE BDSM WS Dinner Date Tantric Massage","EVELINE NEW IN TOWN","Female","40 60 120 240 - -","03 05 2016","West Yorkshire","133794955","20","Caucasian","Hi Gents, My name is Jojo, from Southern China. 23 years old, dress size 8 and my height is 165cm. I have long and skinny leg, my breast is all nature and size 34D. I am sensual and feminine, a typical Chinese girl, just right for your pleasure. I live in Central Bradford and my place is very neat, tidy and discreet, as I clean it on daily basis. I will light up candles for us just to be romantic! ---my price--- 60  30 mins 100 hr 500 overnight ---location--- City centre Bradford BD1 Keywords: Oriental,Japanese,escorts,Bradford,Asian,independent,passion,girl,BD1."
"Lolo","Escorting Strip-tease Domination Casting adult  A  Levels Role play & Fantasy DUO PSE Quickie French Kiss OW OWO FETISH GFE BDSM WS Dinner Date Tantric Massage","JUST ARRIVED TODAY YOUNG BETTY GFE ALL SERVICE IN THE PRICE","Female","- - 150 300 - -","09 09 2016","Holbeck - LS11","139108532","18","Caucasian"," "
"Blondagirla","Escorting Strip-tease Domination Role play & Fantasy PSE Quickie French Kiss FETISH GFE BDSM Dinner Date","NEW YOUNG ITALIAN HERE TO MAKE YOUR DREAMS COME TRUE! :D XX","Female","- 60 100 - - -","03 06 2016","Yorkshire and the Humber","135178347","24","Other"," "
"Debra","Escorting Strip-tease Domination Casting adult Role play & Fantasy PSE Quickie French Kiss OW OWO FETISH GFE BDSM WS Dinner Date Tantric Massage","Debra Xxxx","Female","- - 130 - - -","28 06 2016","West Yorkshire","136376630","40","Caucasian"," "
"Tonyumtree","Escorting Strip-tease Domination Casting adult  A  Levels Role play & Fantasy DUO PSE Quickie French Kiss OW OWO FETISH GFE BDSM WS Dinner Date Tantric Massage","Horny sweetlips Tina","Female","- 60 100 - - -","06 05 2015","Bristol city centre - BS1","117952787","39","Caucasian"," "
"Amber","Escorting OW OWO Tantric Massage","Oriental sexy escort - London, Ealing new","Female","- - - - - -","08 09 2016","South West","139067576","22","Asian"," "
"Amber","Escorting OW OWO Tantric Massage","Chinese escort sexy kitten in Bradford city centre","Female","- 80 120 240 480 800","08 04 2016","Bristol","132782470","23","Asian"," "
" "," "," "," ","- - 150 300 550 800"," ","South Kensington - SW7"," "," "," "," "
" "," "," "," ","- - - - - -"," ","London"," "," "," "," "
" "," "," "," ","- - 100 200 380 -"," ","South West London"," "," "," "," "
" "," "," "," ","35 50 100 200 400 800"," ","East Cliff - BH1"," "," "," "," "
" "," "," "," ","- 65 120 220 400 800"," ","South West"," "," "," "," "
" "," "," "," ","- 80 150 300 550 1,300"," ","Dorset"," "," "," "," "
" "," "," "," ","- - 250 450 800 1,400"," ","Clifton - BS8"," "," "," "," "
" "," "," "," ","- - 150 - - -"," ","South West"," "," "," "," "
" "," "," "," ","- - - - - -"," ","Bristol"," "," "," "," "
" "," "," "," ","- - - - - -"," ","Belfast - BT1"," "," "," "," "
" "," "," "," ","- - 110 210 410 610"," ","Northern Ireland"," "," "," "," "
" "," "," "," ","40 50 80 - - 600"," ","Belfast"," "," "," "," "
" "," "," "," ","- 100 150 - - 900"," ","Manchester City Centre - M4"," "," "," "," "
" "," "," "," ","35 50 100 200 400 800"," ","North West"," "," "," "," "
" "," "," "," ","- 65 120 220 400 800"," ","Manchester County"," "," "," "," "
" "," "," "," ","30 50 80 - - 500"," ","Stratford - E15"," "," "," "," "
" "," "," "," ","- - 120 - - 600"," ","London"," "," "," "," "
" "," "," "," ","50 70 100 - - -"," ","East London"," "," "," "," "
" "," "," "," ","50 70 120 - - -"," ","Harpurhey - M9"," "," "," "," "
" "," "," "," ","40 60 90 160 - -"," ","North West"," "," "," "," "
" "," "," "," ","- - - - - -"," ","Manchester County"," "," "," "," "
" "," "," "," ","30 55 100 - - 450"," ","South Kensington - SW7"," "," "," "," "
" "," "," "," ","- - - - - -"," ","London"," "," "," "," "
" "," "," "," ","- 60 100 - - -"," ","South West London"," "," "," "," "
" "," "," "," ","- - 150 - - -"," ","Manchester City Centre - M4"," "," "," "," "
" "," "," "," ","- 60 100 - - 500"," ","North West"," "," "," "," "
" "," "," "," ","- - - - - -"," ","Manchester County"," "," "," "," "
" "," "," "," "," "," ","Camberwell - SE5"," "," "," "," "
" "," "," "," "," "," ","London"," "," "," "," "
" "," "," "," "," "," ","South East London"," "," "," "," "
" "," "," "," "," "," ","Smethwick - B66"," "," "," "," "
" "," "," "," "," "," ","West Midlands"," "," "," "," "
" "," "," "," "," "," ","West Midlands"," "," "," "," "
" "," "," "," "," "," ","Harpurhey - M9"," "," "," "," "
" "," "," "," "," "," ","North West"," "," "," "," "
" "," "," "," "," "," ","Manchester County"," "," "," "," "
" "," "," "," "," "," ","Holbeck - LS11"," "," "," "," "
" "," "," "," "," "," ","Yorkshire and the Humber"," "," "," "," "
" "," "," "," "," "," ","West Yorkshire"," "," "," "," "
" "," "," "," "," "," ","Cheetham Hill - M8"," "," "," "," "
" "," "," "," "," "," ","North West"," "," "," "," "
" "," "," "," "," "," ","Manchester County"," "," "," "," "
" "," "," "," "," "," ","Manchester City Centre - M4"," "," "," "," "
" "," "," "," "," "," ","North West"," "," "," "," "
" "," "," "," "," "," ","Manchester County"," "," "," "," "
" "," "," "," "," "," ","Stoneyford - BT28"," "," "," "," "
" "," "," "," "," "," ","Northern Ireland"," "," "," "," "
" "," "," "," "," "," ","Antrim"," "," "," "," "
" "," "," "," "," "," ","West Ealing - W13"," "," "," "," "
" "," "," "," "," "," ","London"," "," "," "," "
" "," "," "," "," "," ","West London"," "," "," "," "
" "," "," "," "," "," ","Little Germany - BD1"," "," "," "," "
" "," "," "," "," "," ","Yorkshire and the Humber"," "," "," "," "
" "," "," "," "," "," ","West Yorkshire"," "," "," "," "
