"junk","description","weight","eye-color","price","hair-color","height","posting-date","location","review-id","age","ethnicity","name"
"Female","Heyyyy, I'm Iris im 21 cool, calm, sweet, wild, blunt, sexual, beautiful, drama free ,bullshit free im str8 real. A lady in the street's and a freak in the sheets, im looking for a man that know how's to spoil his trust her with the up most respect and give her the world so any men out there thats ready for a young women me call me! Donations does apply if just want to get it... four6nine,three2four,six7five6 1 Comments 1 Comments","140","Brown","$120","Black","5' 4 ","Oct 13th 2013, 04:25 pm","Additional Location: Oklahoma City, OK 73127 Additional Location: Yukon, OK 73099","576769","24","African American","iris4706"
"Straight","HI GUYS IM MISS LOVELY GIVE ME AN CALL SOMETIMES IM SURE I,LL MAKE UR DAY 313 989 7924 LOVELY 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments","126","Grey","$175","Black","4' 11 ","Sep 1st 2010, 04:36 pm","Waco, Houston - 76706","147320","30","African American","misslovely"
"Female","Hey guys this is MYIAH. I am a well reviewed exotic REAL woman. I love what I do and always aim to please. Pics are real...check the reviews..I cant think of a better way to enjoy your day can you  Let me spoil you with pure pleasure 100% INDEPENDENT (((( no rush ))) 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments 0 Comments","130","Brown","Not Specified VIP Disount $20 per hour off regular rate","Auburn","5' 4 ","May 17th 2009, 11:09 am","Additional Location: Humble, TX 77338 Additional Location: Houston, TX 77049","81062","29","African American","msmyiah3805"
"Straight","I'm looking for a great guy.I am a girl with curves in all the right places. I don't have time for games or drama. If our friendship evolves into more, that would be awesome. I'm looking for a man who is tall, clean cut, between the ages of late 20 to early 40's. I'm taking this slow, so please no pressure. I love to laugh and someone that can make me laugh as well. If you have tattoos, that's another huge turn on. http:  escortkeydirectory.com","122","Grey-Blue","Not Specified","Blonde","5' 3 ","Nov 13th 2010, 03:28 pm","Iowa City - 52244","157731","30","Caucasian","wetforyou247"
"Female","In Northplatte for the Day TEXT or CALL (402)909.5850 ask for Lynn 0 Comments 0 Comments","144","Not Set","$80","Not Set","5' 5 ","Jul 12th 2016, 12:17 pm","Portland - 97201","695959","23","Mixed","laneo12"
"Straight","I love making your fantasies cum Everything thing you want babe I can definitely give to you. If you like it babe I love it! What are you waiting for! Give me a call 0 Comments","120","Grey-Blue","Not Specified","Blonde","5' 3 ","Jan 11th 2011, 02:33 pm","Additional Location: Portland, OR 97211","163377","29","Caucasian","wetforyou2473113"
"Female","Hello boys, welcome to Holly''s world. I'm a young, seductive blond that stands at 5'5. I have beautiful hazel eyes that will absolutely stun you. I'm classy, intelligent and very sexual. I'm also down to earth and completely drama and hassle free. Your time with me will be amazing and unforgettable. Give me a call and enjoy a private, sensual one on one experience with me. I never rush, I want to enjoy our time just as much as you! 0 Comments 0 Comments 0 Comments 1 Comments 0 Comments 2 Comments","116","Blue","$200","Blonde","5' 5 ","Apr 13th 2010, 10:48 pm","Dallas - 75234","129537","25","Caucasian","hollyprice"
"Bisexual","I have a touch of class and Im down to earth available by appointment only! Please Only Serious Gentlemen ! Please Only Serious Gentlemen ! 2 Comments","128","Grey-Blue","Not Specified","Brown","5' 5 ","Mar 18th 2011, 09:48 am","pasadena - 21122","183652","34","Caucasian","sexylady2620"
"Female","I love making your fantasies cum Everything thing you want babe I can definitely give to you. If you like it babe I love it! What are you waiting for! Give me a call 0 Comments","120","Grey-Blue","Not Specified","Blonde","5' 3 ","Jan 11th 2011, 02:33 pm","portland - 97202","163377","29","Caucasian","wetforyou2473113"
"Bisexual","Let's get kinky baby! I want to be your no limits girl Call me anytime you want No restrictions-Talk about anything! 0 Comments","126","Brown","Not Specified","Brown","5' 4 ","Jan 11th 2011, 02:28 pm","Shreveport - 71109","163375","32","Caucasian","sandy5366"
"Female","NaomiStar1 - naomi@daedetroit.net - More Detroit Independent Escorts - Send to Friend I'm an erotic and curvy treat that you all have been waiting for! I'm African American Spanish mix and my talented bedroom skills are what every man here has been looking for! I am 5ft 11in, 334C-24-34 and a whole lot of fun to be around. That means you can expect a no-attitude, no-rushing session. A session focused on your happiness and contentment. You will always feel relaxed around me. I am easy to talk to and be with and have the repeating friends to show for it! .......................................... 125  30min end of summer SPECIAL 200  60mn end of summer SPECIAL NAOMI great reviews, more on request 0 Comments 0 Comments 0 Comments","130","Hazel","$125","Chestnut","5' 11 ","Aug 15th 2008, 01:53 pm","west Memphis - 72301","33406","31","Mixed","naomistar1798"
"Straight","Hello Gentlemen! For those of you who do not know me, my name is Rebecca_Baby, but you can call me Becca. I am in my mid 20's and stand 5' 6 1 2''. I weigh 150 lbs and have an athletic body with 36 Perky B's ~ 32 Hips ~ 42 Unbelievable butt! I wear a size 9.5 shoe and a size 10 jeans. I have baby soft skin, silky smooth shoulder length caramel brown hair with red and blond highlights, hypnotizing hazel eyes, and a smile that appears better than the sunrise.[ b][ color] FS 120-15 Mins 160-30 Mins 240-60 Mins 350-90 Mins 400-120 Mins 800-4 HR Dinner Date 1700-10 HR Over Night or All Day Adventure Fetish Sessions +50 Domination, Submissive, Golden Shower, Role Play, Prostate Massage, Bondage (On you not me), Foot Fetish (Worship Jobs), Strap-On (I know how to work my hips ;) ), Spanking What's on my menu To make it short and sweet I am a safety woman I am not GFE sorry fellas I do not kiss Kissing It's a little too personal  wink wink  as stated in the movie Pretty Woman Sorry I just love that quote Many who have experienced me conclude that they believe I am GFE, I guess to them it is more about the experience than the actual services provided, so to start off I want to be very clear No Kissing, Nothing un-Safe   I am new to this site, but I am well reviewed on other sites. If you would like links to these reviews please e-mail me and I will be happy to provide them   Rebecca_Baby Phone: 503-704-7535 (No Blocked Calls or Text Messages) Website:beccababy.escortsite.com 1 Comments","150","Hazel","Not Specified","Brown","5' 7 ","Oct 29th 2008, 10:50 pm","Des Moines - 50266","38657","31","Caucasian","rebeccababy"
"Female"," "," "," "," "," "," "," ","Additional Location: Papillion, NE 68046 Additional Location: Middleton, WI 53562"," "," "," "," "
"Bisexual"," "," "," "," "," "," "," ","Dallas - 75236"," "," "," "," "
"Female"," "," "," "," "," "," "," ","DETROIT - 48235"," "," "," "," "
"Straight"," "," "," "," "," "," "," ","Sioux City - 51101"," "," "," "," "
"Female"," "," "," "," "," "," "," ","Burlington - 05403"," "," "," "," "
"Straight"," "," "," "," "," "," "," ","North platte - 96103"," "," "," "," "
"Female"," "," "," "," "," "," "," ","Additional Location: Lincoln, NE 68503"," "," "," "," "
"Bisexual"," "," "," "," "," "," "," ","Burlington - 05403"," "," "," "," "
"Female"," "," "," "," "," "," "," ","Dallas - 75243"," "," "," "," "
"Straight"," "," "," "," "," "," "," ","Wilmington - 19897"," "," "," "," "
"Female"," "," "," "," "," "," "," ","Burlington - 05403"," "," "," "," "
"Straight"," "," "," "," "," "," "," ","Portland - 04107"," "," "," "," "
"Female"," "," "," "," "," "," "," ","Detroit - 48224"," "," "," "," "
"Straight"," "," "," "," "," "," "," ","Portland - 97217"," "," "," "," "
"Female"," "," "," "," "," "," "," "," "," "," "," "," "
"Straight"," "," "," "," "," "," "," "," "," "," "," "," "
"Female"," "," "," "," "," "," "," "," "," "," "," "," "
"Bisexual"," "," "," "," "," "," "," "," "," "," "," "," "
"Female"," "," "," "," "," "," "," "," "," "," "," "," "
"Straight"," "," "," "," "," "," "," "," "," "," "," "," "
"Female"," "," "," "," "," "," "," "," "," "," "," "," "
"Straight"," "," "," "," "," "," "," "," "," "," "," "," "
"Female"," "," "," "," "," "," "," "," "," "," "," "," "
"Straight"," "," "," "," "," "," "," "," "," "," "," "," "
"Female"," "," "," "," "," "," "," "," "," "," "," "," "
"Bisexual"," "," "," "," "," "," "," "," "," "," "," "," "
"Female"," "," "," "," "," "," "," "," "," "," "," "," "
"Bisexual"," "," "," "," "," "," "," "," "," "," "," "," "
"Female"," "," "," "," "," "," "," "," "," "," "," "," "
"Straight"," "," "," "," "," "," "," "," "," "," "," "," "
"Female"," "," "," "," "," "," "," "," "," "," "," "," "
"Straight"," "," "," "," "," "," "," "," "," "," "," "," "
"Female"," "," "," "," "," "," "," "," "," "," "," "," "
"Bisexual"," "," "," "," "," "," "," "," "," "," "," "," "
"Female"," "," "," "," "," "," "," "," "," "," "," "," "
"Bisexual"," "," "," "," "," "," "," "," "," "," "," "," "
"Female"," "," "," "," "," "," "," "," "," "," "," "," "
"Straight"," "," "," "," "," "," "," "," "," "," "," "," "
"Female"," "," "," "," "," "," "," "," "," "," "," "," "
"Straight"," "," "," "," "," "," "," "," "," "," "," "," "
