"junk","description","weight","title","age","posting-date","location","ethnicity","name"
"Gay","I&#039;m a smart guy, bottom, hot, atractive, available to travel.. Contact me 0115216221236953 call me or send me a whatsapp","200lbs - 90","BottomHere","29","Jan 24, 2012","Tucson, AZ","Caucasian","SonorenseGuay"
"5","Hello, My name is Evan. I am young, fun, and enjoy what I do. If you like what you see just shoot me a message :)","180lbs - 78","Hi, I&#039;m Evan.","31","Oct 16, 2014","Medford, OR","Latin","EvanJaymes"
"Athletic","30 yo m, 7&quot; cut and very thick - ready to please! Hospitality to be experienced.","145lbs - 58","The ultimate satisfaction provider","22","Jul 08, 2013","Tucson, AZ","Caucasian","Muncydm"
"Gay","I&#039;m Sexy top with a thick cut dick and know how to use it. str8 looking, masculine, handsome, discreet, nice guy, great smile. when we meet, you&#039;ll realize that I have a lot more to offer than what you see in these pictures. whatsapp me+79632476130","160lbs - 65","looking for daddy","30","Jun 17, 2013","Beirut, Lebanon","Caucasian","EricPERFECT"
"6","Young, freaky and ambitious guy looking to make you shake and get a few dollars at the same time. Almost anything goes. Very open minded and VERY nasty.","190lbs - 85","Looking foward to hearing from you.","24","May 23, 2014","Medford, OR","Mediterranean","Debinaire"
"Athletic","Kansas guy born and raised. Love outdoors, lifting and making people happy. Nice Masc guy always smiling. Professional guy here who is confident that every client leaves satisfied. Hope to see you soon :). Non judge mental guy here and aim to make my company just as happy!","175lbs - 73","Dustin Tyler Massage","20","Nov 26, 2013","Kansas City, MO","Mixed","DustinTyler"
"Ask me","YOUNG AND HOT BRAZILIAN BI MONARC VISITING TOWN 587 288 7883","210lbs - 95","HOT BRAZILIAN BI MONARC VISITING TOWN 587 288 7883","24","Nov 06, 2015","Edmonton, Alberta","Caucasian","Aaronkensington"
"6","Hey, just looking to make some extra cash asap. I am a good looking thin top with a large dick and will make sure you enjoy the time spent with myself. nsa discreet are totally doable","190lbs - 85","Hey Guys you can stop looking","25","Oct 26, 2015","Edmonton, Alberta","Latin","AceDanvers"
"Muscular",":::::: PHONE NUMBERS LISTED BELOW :::::: ...You may have heard about me. Work worldwide. Voted &quot;One of Top 50 Escorts In USA&quot; for the last 5 years. My goal is simple: To give you one of the BEST EXPERIENCES OF YOUR LIFE. I&#039;m a VERY energetic, creative, and flexible TOP, with real stamina. Want a BOTTOM  I can do that, too - at the drop of a hat (or your pants.) Also mentally versatile. Role play, WS, toys... I&#039;m there - top or bottom. Ask about my Naked Massage Offering. I use my entire body to massage yours. It&#039;s sensual - erotic - and fukkin&#039; hot. FYI my MINIMUM appt is 90 minutes; that rate is $300. 2 hours= $350, 3 hours= $530, overnight= $900, 24 hours= $1,200. Find out much more about me on my site. Photos, a greater description of me, and enough reviews from others (200+!) to get you in trouble at work, reading through them all. http:  TheLegendaryDave.com Based in Bali. Work worldwide, often in USA. Usually can host; happy to travel, too. See http:  TheLegendaryDave.com when for upcoming locales where I&#039;ll be working. If not listed in your city, I can travel nationally internationally at your expense. Fastest, most effective way to get me is by email. Phone works, but check my locale (link above) before calling. IF I&#039;M IN THE USA: call 540-270-4770. Sorry, no texts. IF I&#039;M IN ASIA: call +62 8 5953 705451. (By the way - many more reviews on my website than on RM)","190lbs - 85","- - - THE LEGENDARY DAVE - - -","22","Jun 08, 2013","Denpasar, Indonesia","Caucasian","LegendaryDAVE"
"Gay","I WANT COCK AND ASS AND SUCK AND FUCK","170lbs - 70","WHAT\&#039;S QUP","46","Oct 03, 2008","Tucson, AZ","Caucasian","Mamamelaverga"
"6","I am a sultry hot Cuban-American man, who loves oral, anal, kissing and a lot of body contact and who will give you a great passionate time. I`m 6, 185 lbs with a athletes body. I am mostly smooth which shows off my well defined chest and hot pecs, 6 pack abs, muscular arms, and strong legs. I have a sexy muscular butt that will love your attention and my hard 8.6 x 6 cock will impress you! I`m friendly, handsome, polite, discreet and have a great attitude and I want to make sure you have a great timeI know we will have a lot of fun together! Send me a text, if you are looking for a one of a kind experience, but please no private calls and serious inquiries only","215lbs - 98","Low rate this week ","37","Nov 20, 2009","Naples, FL","Asian","Meguel"
"Muscular","The name is Junior. Im very well educated, both submissive and dominant, yet charming. The guy who usually gets along with everyone and the one who&#039;s body you&#039;ve been fantasizing about.","180lbs - 78","The freak in bed that you won&#039;t forget","29","Dec 29, 2015","Edmonton, Alberta","Latin","Sosatony"
"Bisexual","I tend to be very verbal and aggressive but I can be the strong silent type if you prefer. I am truly a Mans Man. I walk the walk and talk the talk. I clean up well in my black tie and can socialize with the best of them. I am a non smoker but I love a good cigar and my pipe at times. I don&#039;t have a six pack and never will. I don&#039;t wear cologne and never have. My musk is supposedly tranquilizing and have been told I need to bottle it. If its role play you like, that&#039;s my specialty!!! I have a Vivid imagination and I wear a lot of hats. Weather I am your hunky coach, sexy construction worker, nasty uncle or your hot cigar smoking Daddy... I will play out your hottest fantasies and take you beyond your wildest dreams. I have been around the block and know how to please a man. Weather I am on Top or Bottom I am equally verbal and aggressive naturally. I can go from mild to wild, compassionate and caring, loving and nurturing. I look forward to our time together... Sincerely! MY RATES: $250 for 1st hour, $50.00 off for 2nd hour, $100 off for 3rd hour. Currently unable to host but will offer incall service in October...    Disclaimer: The services that I provide are for legitimate bodywork, fitness trainer, social escort, and fantasy companion, The fees rate associated with any of those services are for my time and in full observance of US federal and state laws. I do not accept any compensation, financial or material, for acts that would be considered sexual in any way. Upon contacting me I will assume you have read and understand this disclaimer and ask that you please communicate in language or phrasing, that reflects that you understand this and understand my profile was created to satisfy the desires and fantasies of 2 adults and any transaction is only for time spent together. Regards, Wolf Dad","170lbs - 70","Wolf Daddy is here to take care of all your needs.","24","Jun 08, 02:13","New York City, NY","Mediterranean","WOLFDAD"
"5","100% Masculine Stud available for deep tissue erotic massage. CALL or TXT, you won&#039;t be disappointed! Thanks for checking me out gents, Justin Sax~ My rates: $75 per hour in   $125 per hour out","235lbs - 107","Best Massage Around","54","Jul 06, 22:39","Tucson, AZ","Caucasian","StraightStud"
"Athletic","Hello im new to the city and give amazing massages and more. Very discrete and professional. Able to host or travel i have a condo down town.","140lbs - 56","The Ultimate Experience","30","Sep 26, 2012","Edmonton, Alberta","Caucasian","Babyblue"
"Bisexual","Hi, I&#039;m an athlete, Mixed Martial Arts fighter and male model that is visiting your city. I love playing music, travelling, fast cars, riding motorcycles, and meeting new people. I am an experienced traveler and visit most major cities in the U.S. I can always arrange private trips as well. I am professional companion, on PrEP, and always strive to provide the best experience. Contact me in advance, I prefer texts but can accept calls and emails as well.","190lbs - 85","Rich, Athlete and model","30","Mar 22, 15:12","Kansas City, MO","Caucasian","RichReynolds"
"5","I am new to this and am merely checking this out for the time being. However if I see promise I might be persuaded to pursue something here.","195lbs - 88","New to this","24","Jan 17, 19:13","Flint, MI","Caucasian","Gbbtmboy"
"Athletic","Chill laid back","130lbs - 52","Hello","20","Sep 23, 2012","Tucson, AZ","Caucasian","KiloRX"
"Bisexual","New to this, travel for work. Looking to try something new and fun.","220lbs - 100","Looking to have some fun","25","Dec 30, 2015","Medford, OR","Latin","Bakerb"
"5","I live in Tucson, AZ. I&#039;m a bottom. Definitely interested in meeting with Top Muscle Men. Very new to this scene. :) Enjoy kissing making out; receiving massages; foreplay; licking tongues; sensual nipple play; mutual oral; bottoming. Safe only. Prefer &#039;scorts who do in-calls.","160lbs - 65","Bttm in Tucson always up 4 Muscle Tops","28","Apr 25, 06:37","Palm Springs, CA","Caucasian","DaneScottUSA"
"Athletic","Fun, Sexy, Italian with brown hair, brown eyes. Tight Muscled Body. Completely Versatile and a Champion Kisser. Im comfortable with all body types and ages. Very discreet and always professional. Drug and Disease Free. Couples and First Timers are always welcome. Shoot me an email and tell me whats on your mind. Best to call or email since texts have a habit of getting lost. If you are interested in Massage please put that in the subject line. Im also available for extended appointments to Los Angeles and San Diego with some notice. Thanks for checking out my ad. Check out my reviews here - http:  www.daddysreviews.com review dane_scott_nyc","195lbs - 88","2nd Runner Up Escort of the Year-Daddy&#039;s Reviews","46","Mar 13, 2010","Atlantic city, NJ","Latin","NJDISCREETBTTM"
"Ask me","http:  bangingfrankiel.webs.com  Thank you for taking the time out to visit Frankie L&#039;s page, he is currently available for in house services (In-Calls) Frankie gets into everything from mild-to-hardcore sexual sessions however if you are just looking to relax and receive a nice erotic body rub Frankie will ensure to help relieve all of your tension both physically, mentally and seductively. Frankie L possess 6+yrs of experience with both erotic and non-erotic body rubs and over 11 years of experience providing 100% client satisfaction; Frankie L enjoys mentally and physically fulfilling all of his clients needs and requirements, Hus services include and are not limited to BONDAGE, STRIPPING, SUCKING, RECEIVING and or GIVING, GROUP FUN, THREESOME, VERBAL, LEATHER ETC. Frankie L is guaranteed to satisfy all of your needs. He is also 420 friendly.","150lbs - 60","Discreet Freak","50","Jan 20, 2014","Edmonton, Alberta","Caucasian","Samuelfondle"
"6","Hey I&#039;m Samuel, Please keep your messages short and simple and to the point, long unnesscerry messages will be deleted ! I&#039;m a Jamaican native living in Edmonton, I&#039;m fit football player currently playing for the Eskimos as a reaciver. I am dominant, I&#039;m blessed down there and I promise it&#039;s something you will come back for.","145lbs - 58","Bbc ready to explore","26","May 05, 2014","Edmonton, Alberta","Other","Behrboy"
"Muscular","Well this is it. I have finally decided to take the plunge and become a escort. You may wonder why someone would do this and you would be right. The fact is I&#039;m bored. I need some excitement.I like meeting new like mined people and this is seems to be a interesting way to try. little about my physical appearance. I would call myself average to stocky. I have recently lost alot of weight but im no Adonis. I have been described as handsome with a good body but I&#039;m definitely not chiseled. I am also older. Over 30. But that means experienced as well. I consider myself to be very open minded. Almost any kind of feitsh or kink that you would be afraid to share with anyone else, I would be happy to explore with you. When I am with a client, i am uninhibited and not judgemental. This is about you and exploring your fantasies. I can do leather, latex, WS, toys etc,etc,etc ASK ME WHAT YOU WANT AND I&#039;LL PROBABLY BE UP FOR IT. Some rules: no scat, no blood, no blades, no wired play, no bareback NOT ALWAYS WORKING. GIMME A MESSAGE AND WE COULD WORK SOMETHING OUT. Kisses, B.","190lbs - 85","rookie looking to meet some nice me","22","Oct 13, 2015","Edmonton, Alberta","Black","Danyella"
"Bisexual","I am new to this but I&#039;m told that I&#039;m a natural so give me a chance. It will be well worth it promise.","230lbs - 105","Hey there I&#039;m kinda shy","36","Apr 23, 17:38","Tucson, AZ","Caucasian","Prestonbanks"
"5","Hey Guys My name is Preston im 23, Very Open minded Bottom, Clean, Fun and very out going. Our time together can be , Erotic, Sensual. No rush I love what I do and enjoy every second and I assured you will too. I Always bend over backwards to make sure your satisfied... I aim to Please and I NEVER miss","250lbs - 113","Eager to Please","22","Mar 21, 02:31","Tucson, AZ","Caucasian","Bently"
"Athletic","Tall, muscular, red hair, country dude, green eyes, love oral, giving anal, tie downs, bondage. Call me and we&#039;ll work out the details.","150lbs - 60","Ready to fulfill you Darkest Fantasy","23","Apr 06, 2014","Edmonton, Alberta","Latin","YoungBlackStud"
"Gay","Young guy visiting and looking to Provide pleasure to males. I&#039;m into anything from mild to wild . out calls only and will travel within Calgary as well as just outside the city limits . I want to ensure 100% satisfaction .","190lbs - 85","Hey guys looking to please in anyway !","20","Aug 14, 2014","Tucson, AZ","Caucasian","DesertSon"
"6","&quot;Handsome,&quot; masculine, versatile, &amp; healthy &quot;HIV+&quot; long-term survivor to meet all your companionship needs with NO &quot;attitude.&quot; Professional, personable, conscientious, reliable, prompt and always available. I&#039;m also interested in doing a special niche &quot;taboo&quot; porn in the very near future. Idea, creative content and fee are negotiable. Your investment will be well spent with me, just ask for John ;0)~","180lbs - 78","Poz Good Guy, Gone Bad ","25","Feb 16, 08:13","Tucson, AZ","Black","Tucsonfinest"
"Athletic","Young Masculine Hung College Student. 6ft 138lbs. 8 inches  nice bubble I provide a fun &amp; AMAZING private session. IM INTO ALL KINDS OF GUYS SO DONT BE SHY  out calls only available at the moment  DOMINANT and AGGRESSIVE BF EXPERIENCE OVERNIGHT WEEKENDS AVAILABLE Serious Generous Men Only MASSAGE THERAPY BODY CONTACT &amp; SO MUCH MORE PLEASE BE STRAIGHT FORWARD&amp; RESPECTFUL WHEN CONTACTING. HYGIENE IS A MUST","145lbs - 58","The stress reliever is in town","43","Feb 05, 2011","Tucson, AZ","Caucasian","BABYBLAIR"
"Gay","EXPERINCED ESCORT!!! I&#039;M BLAIR I&#039;M 6&#039;1 165.I&#039;M INTO ALL TYPES OF FUN FROM MILD TO WILD.I&#039;M NATURALLY MASCULINE AND ATTITUDE TO FREE. I OFFER A CLEAN,SAFE,DISREET LOCATION. I WAS DESIGHNED WITH YOU IN MIND. SO CALL FOR FASTEST REPLY","140lbs - 56","LOOKS COUNT!!","21","Jul 27, 19:05","Dallas, TX","Mixed","SexyGinger"
"5","I&#039;m looking to have a good time with a nice guy.","165lbs - 67","Muscle Worship","25","Jul 14, 2007","New Orleans, LA","Mixed","Jake_haartman"
"Muscular","Hello, my name is Jeremy. I am a mature, charming college guy providing exclusive upscale services with a sincerity. I understand that many of my client&#039;s needs go beyond the physical aspect when it comes to my services. It is more about receiving genuine attention and engaging in activities with a safe, charming, non-judgmental gentleman with whom you can be yourself, discover, learn new things and most importantly, enjoy your time together safely either out &amp; about on the town or in a more discreet environment. I provide a variety of services depending on the clients needs and desires. My services range from an all day tour outing around the city, meeting up for drinks, relaxed dinner conversation or business social event companion to something more like a sensual deep tissue massage, an evening in just to relax and let off some steam or an entire night, day or weekend dedicated just to you. About Me Im a ginger, with the Boy Next Door type look. I am 20, 6&#039;1&quot; tall, and 180 pounds. Naturally masculine, athletic, intelligent, friendly, attentive &amp; have impeccable hygiene (except after a workout - I sweat like there&#039;s no tomorrow). STD HIV neg (tested this month).From my clean cut looks, to my charming personality, I deliver 100% satisfaction with no rush, no fuss, just a mutual fun time. Well spoken &amp; well traveled. Safety &amp; discretion are top priority. I&#039;m comfortable in any type of crowd setting. Suit &amp; tie, professional or cuddling up in casual attire. It is best to either call or text me. I will respond (903) 662-1499 www.jeremytheginger.com Massage Rate - jeremytheginger.com massage 175 hour Extra 25 outcalls Boyfriend Experience - jeremytheginger.com boyfriendexperience 200 hour Extra 25 outcalls Domination Kink - jeremytheginger.com 50shades 300 hour Date Nights - jeremytheginger.com datenight Vacations - jeremytheginger.com vacation Fitness Training ginger.fitness Wish List - https:  amzn.com w 1NS5IJVMCG00","150lbs - 60","IN DALLAS NOW! - (903) 662-1499","25","Dec 23, 2015","Edmonton, Alberta","Latin","France"
"Gay","In-shape educated guy living in New Orleans. I enjoy going on dinner dates, craft cocktails and travel in good company. Always a gentleman, and a respectful companion. I&#039;m very passionate. Whether a no chat hard and rough or a slower sensual experience. Dominant and experienced guaranteed to leave a smile on your face. Ask me about my sling. HIV- as of 09 2015 and on PrEP","180lbs - 78","Furry Fun","20","Feb 08, 2015","Edmonton, Alberta","Caucasian","Maxdollar"
"6","I get wild when I&#039;m with a man who enjoys intense oral as much as I do. I have a deep throat and a nice ass. I enjoy kissing and all that follows. If you can give as much, we will have a great time. I really enjoy meeting the same man more than once. Sex is like fine wine, it only gets better. Hope to hear from you. I&#039;m 6&#039;, bwn bwn, 192, clean cut professional, 55 y o.","170lbs - 77","Clean cut professional....but","29","Dec 16, 2015","Vancouver, British Columbia","Caucasian","Queenbee"
"Athletic","Hi, I am an elite masculine masseur who loves to offer erotic services. I have the superb ability to make people comfortable and calm and will treat you just as I treat my best friend and lover. I am hung, I am a gentleman and I am educated. Give me a call or text and see for yourself!  Safe  Clean  Unrushed  Discrete  100% Real Pics 100 for 45 minutes 140 hour 200 Full Serv. 800 overnight Check my web site: http:  gerardbliss.com Incalls and Outcalls. Serious inquiries: (587).215 zero eight seven eight","190lbs - 85","Loving Sensual Oil Massage","55","Jan 11, 2013","Flint, MI","Caucasian","Flushingtwink"
"Gay","Young attractive guy here visiting Edmonton looking to make your fantasystay come true","180lbs - 78","Young Hung and full of ..... ;)","34","Nov 22, 2015","Caracas, Venezuela","Caucasian","Nelsona"
"6","Nanaimo Hasting&#039;s Area 100 %real pics! TOTAL DOM TOP  BOTTOM! Mixed, 25, 5&#039;6, Red, 7x4.5 uncut candy, bubble ass, smooth touchable legs, and dominate T-GURL. I am a total DOM top. My services are non rushed. Come over and let&#039;s have some hot fun bois :), if you know what I mean. I definitely like to have fun a lot underneath the covers. Let&#039;s explore together. 200 in calls &amp; 300 out calls &amp; 2000 all night Call text 24 7 @ 6043773570c. Annabelle. str8, bi, curious, married, FIRST TIMER FRIENDLY! excepting etransfers PROVIDING P&amp;P I also do Skype sessions for $150 if you&#039;d prefer if you&#039;re far aways from me :) Please call texted me before you want to have an Skype session with me Thank-you. Skype name annabelle.peeteetuce3","165lbs - 67","Best Of Both Worlds! Let&#039; Explore EachOther&#039;sPOLES","26","Dec 20, 2015","Tucson, AZ","Caucasian","GuyNextDoor"
"Muscular","Young happy twink ready to hang out with you at events and other things I love Adventures and going out to the movies","135lbs - 54","Pick me up and take me out in a blast to hang with","25","Dec 16, 2015","Tucson, AZ","Mixed","Prestonbankss"
"Gay","Activazo con v i h ,trabajo de todo tipo,21 cm de soberbia dotacin ,cascada de leche asegurada,todo bareback,hago pissing y skatt,me gusta que me carguen en la boca y tragarlo,mecos en el ano","125lbs - 50","Nelson Manzano Parra v i h","21","Jul 15, 07:19","Flint, MI","Caucasian","Teama"
