"Wilmington","Ying Li","50","401-781-0899","1021 Broad St., 2nd Floor","RI 02907"
"Brattleboro","Chinese Bodywork","35","302-854-8385","214 N. Maryland Ave.","DE 19804"
"Providence","Japan Spa","40","302-525-9440","212 W. 7th St.","DE 19801"
"Wilmington","Best Bodywork","60","302-897-8455","3209 Miller Road","DE 19802"
"Wilmington","Asian Bodywork","50","714-891-2100","12921 Fern St., H","CA 92841"
"Wilmington","Asian Bodywork Red Sun","40","802-862-1332","200 Battery St.","VT 05401"
"Garden Grove","Rest Area Massage","60","302-477-1122","4 Garden of Eden Rd.","DE 19803"
"Burlington","Eunhwa Spa","60","215-829-8109","426 N. 9th St.","PA 19104"
"Wilmington","JJ Massage Therapy","65","302-525-9440","212 W. 7th St.","DE 19801"
"Philadelphia","Apple Spa","60","703-206-8300","8300 Arlington Blvd., E3","VA 22031"
"Wilmington","Asian Bodywork","50","404-874-7737","1916 Piedmont Rd. NE","GA 30324"
"Fairfax","Merrifield Wellness Center","60","802-876-7284","111 Center Rd.","VT 05452"
"Atlanta","Gold Spa","40","802-282-1956","3762 Shelburne Rd. , 5","VT 05482"
"Essex Junction","Evergreen Spa","60","802-490-2421","801 Putney Rd.","VT 05301"
"Shelburne","Stress Away Health Spa","80","302-897-0901","155 S. Dupont Hwy.","DE 19720"
"Brattleboro","Rainbow Therapeutic Wellness","80","630-323-3020","10S648 Illinois Route 83","IL 60527"
"New Castle","Sun Reflexology Spa","40","302-428-0606","30A Trolley Square","DE 19806"
"Willowbrook","Pine Tree","70","916-743-3909","4737 s 96 street","NE 68127"
"Wilmington","Oriental Acupressure Massage","40","510-277-6777","3170 Telegraph Ave.","CA 94609"
"Omaha","VIP Massage","40","302-252-1733","201 S. Maryland Ave.","DE 19804"
"San Francisco","Pine Tree Therapy","60","212-759-0292","301 E. 54th St.","NY 10022"
"Wilmington","Zen Therapy & Bodywork","40","858-278-0911","8055 Clairemont Mesa Blvd., 102","CA 92111"
"New York City","Oriental Bodywork","70","215-755-2088","930 Washington Ave., D","PA 19147"
"San Diego","Hana Spa","60","561-689-8999","5093 Okeechobee Blvd.","FL 33417"
"Philadelphia","2050's Skin Care & Spa","30","860-289-0698","205 Burnside Ave.","CT 06108"
"West Palm Beach","Lucky Spa","60","802-733-5085","412 Main St.","VT 05201"
"Philadelphia","Allure Spa","50","703-206-8300","8300 Arlington Blvd., E3","VA 22031"
"East Hartford","Golden Lily","60","401-274-1565","55 Bradford St., 3rd Floor","RI 02903"
"Bennington","Green Spa","60","215-569-8905","1819 Ranstead St.","PA 19103"
"Fairfax","Merrifield Wellness Center","60","802-747-0350","10 Burnham Ave.","VT 05701"
"Providence","One Spa","60","215-988-0065","1207 Race St.","PA 19107"
"Philadelphia","Japan Studio","60"," "," "," "
"Rutland","Far East Massage Therapy","70"," "," "," "
"Philadelphia","Pink Asian Spa","60"," "," "," "
