,OBJECTID,the_geom,LeftFrom,LeftTo,RightFrom,RightTo,LParity,RParity,PreDir,PostType,PostDir,LeftZip,RightZip,LLegalCom,RLegalComm,AddrName,ZIPC,PCITY1,PCITY2,PCITY3,Shape_Leng
10,11,"MULTILINESTRING ((-118.2912431281425 33.75379570243483, -118.29123750728607 33.7535968501393, -118.29121986845834 33.75325376165086, -118.29120775120116 33.75307964979048, -118.2912059992334 33.753048740492844, -118.29120249888176 33.752987954113394, -118.29119383903945 33.7528619202123, -118.29118866060492 33.75279152063072, -118.29115817499329 33.7520637718213, -118.29111124619223 33.75133674980752, -118.29108981513578 33.75084803776576, -118.29107559061468 33.75054031981375, -118.2910490200344 33.74999254279558, -118.29102607821876 33.74954195915371, -118.29100131591696 33.749040890230376, -118.2909889282269 33.748788125471876, -118.29098361334256 33.74867822950196, -118.2909784304827 33.74860611620253, -118.29097814358427 33.74852332625667, -118.29098114391289 33.748440546392665, -118.29098588862551 33.74838591812346, -118.29099072750823 33.748358776522146, -118.29102799172577 33.74819657321717, -118.29104425802572 33.74814328105773, -118.29108171981325 33.74803843913834, -118.29111109978717 33.747974130405794, -118.29116337960093 33.7478730299191, -118.29119934749488 33.74781111765267, -118.29123861166366 33.74775091386352, -118.2913188371751 33.74764631363824, -118.29141712775788 33.74753547717118, -118.29152855766357 33.747417378719966, -118.29170561322606 33.74725380603088, -118.29240272525404 33.74671731772276, -118.29236628049466 33.74664219281124, -118.29233963883229 33.7465481458217, -118.29232121794911 33.746453391909206, -118.29231435260802 33.74637131753808, -118.29231372965519 33.74619236940073, -118.29231668995313 33.74609756264594, -118.29223195662031 33.74632411834945, -118.2921814777622 33.74646918672108, -118.29215070555632 33.74660596476674, -118.29213933299546 33.746646179672105, -118.29211812970166 33.74669706521855, -118.29207885948163 33.74675520665961, -118.2920051091014 33.746829233350915, -118.29184769035754 33.74696391428974, -118.29177062406013 33.747030390662395, -118.2915443397302 33.74722568860139, -118.29133938094634 33.747405135607245, -118.29126232955741 33.74747676462384, -118.29118203974203 33.74756248384052, -118.2910886903491 33.74767674379799, -118.29101829792087 33.74777136837206, -118.29096267170604 33.74785634174599, -118.2909283516144 33.747918592529466, -118.29089732230142 33.747982210143434, -118.29086798626909 33.74805956349773, -118.29084528233727 33.7481523562208, -118.29082921301136 33.74826162053454, -118.29080869597301 33.74851068931443, -118.29079906590205 33.74857940729048, -118.29081648930483 33.74886169951395, -118.29082166707768 33.748931756501285, -118.29084252621215 33.74925594600694, -118.29087468261689 33.749992620877144, -118.29089438420597 33.75045729392401, -118.29091547248596 33.75084742986905, -118.2909683605672 33.75187051179517, -118.29097929318237 33.75217789430302, -118.29098117825309 33.75224692885773, -118.29099931965487 33.75273599244217, -118.29100797907783 33.752861681980114, -118.29103237704908 33.7532573056136, -118.29105153973482 33.753566043968064, -118.2910605672651 33.75379787413304))",0,0,0,0,Even,Even,,FREEWAY,,90731.0,90731.0,LOS ANGELES,LOS ANGELES,HARBOR,90731.0,TERMINAL ISLAND,SAN PEDRO,FORT MACARTHUR,5912.50729182
11,12,"MULTILINESTRING ((-118.27867760231034 33.77033321169419, -118.27880582462497 33.770304059283085, -118.27890281553395 33.77028424390511, -118.27899650677962 33.770259647289116, -118.27907374271746 33.77023507433195, -118.27919861648454 33.77018911434551, -118.27922327163725 33.770179773423834, -118.27934154455325 33.770129013650184, -118.27938424715367 33.77010831057598, -118.27952218617637 33.77003344463518, -118.27961576833273 33.76997655939263, -118.279692914449 33.76992451190006, -118.27973066316638 33.76989763677415, -118.2798258260426 33.769821851193434, -118.27990126039536 33.76974988963819, -118.27999141322589 33.769651781629, -118.28014546586859 33.769475915850045, -118.28036175299926 33.769217125792856, -118.28075170563308 33.76874598324926, -118.28079427486851 33.76868475452003, -118.28094330846652 33.76848519069851, -118.28102516334752 33.768366157473224, -118.28106279715237 33.768305619010256, -118.28112818042298 33.76818009636607, -118.28115103856621 33.76812852632786, -118.2811869223955 33.768036724031305, -118.28120972984486 33.76797004303361, -118.28125525260407 33.76780953414916, -118.28127627463896 33.76770164039423, -118.28128110140887 33.767668648366914, -118.28128911714266 33.76760611820864, -118.28130497009732 33.767427473612415, -118.28132895619498 33.76722201901179, -118.28140613639424 33.7666901403798, -118.28152948189583 33.76619009505515, -118.28164813177146 33.765761848540905, -118.28173762580562 33.7654689981286, -118.28177345954742 33.76536312417825, -118.28185171579047 33.765153420762985, -118.28192677618502 33.76497154710011, -118.28202963248067 33.76473946102823, -118.28213742782278 33.76450907886376, -118.28228773891638 33.764203376950924, -118.2823858006348 33.76401423701163, -118.28249534297595 33.763814420546574, -118.28258038275364 33.76366618354412, -118.28267690100067 33.76350692835107, -118.28280780215323 33.7633001919596, -118.28293381411727 33.76310720588935, -118.28316133364842 33.76277212699331, -118.28327921427248 33.76260698200705, -118.28339220268386 33.762455243917955, -118.28350030567782 33.76231794224396, -118.28360351869904 33.76219370491503, -118.28380670397611 33.76196034869468, -118.28408365973205 33.761652973799116, -118.28419676158859 33.761535237730726, -118.28433612021009 33.76139957887321, -118.28448372256426 33.76126905338101, -118.28470186923778 33.76108340499481, -118.28483145939917 33.76097799439306, -118.28508410553184 33.76077989859437, -118.28595166034803 33.760097496702656))",1302,1498,1301,1499,Even,Odd,,BOULEVARD,,90731.0,90731.0,LOS ANGELES,LOS ANGELES,JOHN S GIBSON,90731.0,TERMINAL ISLAND,SAN PEDRO,FORT MACARTHUR,4498.62552615
12,13,"MULTILINESTRING ((-118.28100831865099 33.74957332739491, -118.28096207564134 33.7495164187838, -118.28089268636904 33.749422813431295, -118.28076873701914 33.74924450192577, -118.2807439278776 33.749202992312526, -118.28067116945681 33.74908569412932, -118.28046585663759 33.74867537773454, -118.28044763797463 33.74863729555039, -118.28040624958402 33.74855633859213, -118.28014464872165 33.74803520012252, -118.280113196093 33.747972764796856, -118.27995429026154 33.74766744241247, -118.27989141937894 33.747555616357374, -118.27983188252382 33.74745683450529, -118.27978553955522 33.7473690130945, -118.27975736660358 33.747304504709156, -118.27972749992678 33.74722557617812, -118.27967931813774 33.74707971110951, -118.27964767177033 33.74695889106556, -118.27963419348822 33.74686376134701, -118.27963058398866 33.74676760622071, -118.27963012646421 33.74663021795811, -118.2796265478287 33.746543326625925, -118.2796174757008 33.746286768645305, -118.27961975762047 33.7459858843486, -118.27962352709999 33.74563621979799, -118.27962431279872 33.74537861302926, -118.27962366743895 33.74419706393996, -118.27962394153387 33.743290979273134, -118.27962483472078 33.743065658814814, -118.27964063843667 33.74237936098466, -118.27964881390557 33.741871000903906, -118.27964799149481 33.741624043871695, -118.27964259909919 33.741485630448985, -118.27963725398426 33.74136303020203, -118.2796365698931 33.74115695066598, -118.2796379409993 33.741074517554814, -118.27964113853783 33.741047034082825, -118.27964081827731 33.740950861475014, -118.27964542832265 33.74085467831085, -118.27965182230473 33.740800037715196, -118.27966955257311 33.74069111916021, -118.27970349714263 33.74051483408648, -118.27974553436172 33.740297321544205, -118.27976650986375 33.7401750026942, -118.27979853144569 33.739915261746866, -118.27982379271018 33.73959989750772, -118.27985005618636 33.73909217978246, -118.27985387019118 33.73875625708163, -118.27985495367604 33.73858759222607, -118.2798521166783 33.73823039330579, -118.27985650064556 33.7380655161162, -118.279874712565 33.73783814428135, -118.27988176112693 33.73775014924369, -118.27992173327533 33.737408299839736, -118.27993242119726 33.73716131798691, -118.27994525181151 33.736570513047994, -118.27995045554655 33.73615833266178, -118.27995346522546 33.7355812904711, -118.27995636429581 33.734205903477836, -118.27996047001194 33.732256450392306, -118.27997083542131 33.73191295457027, -118.27996868282474 33.73126722843035, -118.27998114702568 33.73056685890654, -118.27997955429758 33.73008909054306, -118.27997940544597 33.730044439464315, -118.27997570464429 33.72992079797832, -118.27996880908147 33.729824985201, -118.27996204984778 33.7297703888056, -118.27994697869978 33.729688676525264, -118.27991697622 33.72956749965256, -118.27989702258637 33.72950056984836, -118.2798820934841 33.72946144872048, -118.27983904330965 33.72937224512708, -118.27982256381026 33.72936129324268, -118.27978942403075 33.729285119435744, -118.27973159486432 33.729201445737374, -118.27971343223167 33.729178818787204, -118.27963093325629 33.729093485939416, -118.27949405322062 33.72897255916038, -118.27945116586373 33.72893144119915, -118.27933731650866 33.728813550193166, -118.27905015321564 33.728495474240226, -118.27900392427912 33.72843890851767, -118.27895271798346 33.72836827195102, -118.27892295688817 33.72831888003043, -118.2788766242895 33.72823071504045, -118.27879048170524 33.72803788231891, -118.27872912200638 33.72788105852585, -118.27862115934488 33.727554322026776, -118.27810190215142 33.726164457042714))",633,689,632,688,Odd,Even,N,BOULEVARD,,90731.0,90731.0,LOS ANGELES,LOS ANGELES,HARBOR,90731.0,TERMINAL ISLAND,SAN PEDRO,FORT MACARTHUR,8751.56352671
13,34,"MULTILINESTRING ((-118.24173337729331 33.781159032031226, -118.24136923196826 33.77754261841077, -118.24134893641413 33.77734929022575, -118.24131626465197 33.77700714524667, -118.24129187868436 33.77675176007728, -118.24129067993462 33.7767392089876, -118.2412861731665 33.77669200516992, -118.24126923636587 33.776523055137986, -118.24126079047986 33.77644508986326, -118.24125569349309 33.776390839243625), (-118.24125569349309 33.776390839243625, -118.2412225622458 33.776311904739316, -118.24119609677741 33.77626249836891, -118.24116305534898 33.77621516511326, -118.24107885490236 33.776112290578524, -118.24098808953734 33.77601526999749, -118.24091055884159 33.775943980732315), (-118.24125569349309 33.776390839243625, -118.24105927742663 33.77449999195504, -118.24100527936152 33.77398014496245, -118.24060378299417 33.77011991011068, -118.24035564684823 33.76773398179812, -118.24034694952464 33.76756947424057, -118.24035007832619 33.76751313826441, -118.24035493584454 33.76748565064785, -118.24036308510793 33.767459872925436, -118.24037127694578 33.7674478349769, -118.24039426712524 33.76743370843))",301,499,300,498,Odd,Even,,AVENUE,,90744.0,90744.0,LOS ANGELES,LOS ANGELES,HENRY FORD,90744.0,WILMINGTON,,,5212.93735177
14,14,"MULTILINESTRING ((-118.23941684958213 33.79502942214057, -118.23959813157745 33.79454751293235, -118.24001948854324 33.7934272863836, -118.24031018264328 33.79265389384054, -118.24068471223646 33.79165802810492, -118.24081643515738 33.791307829444854, -118.24113977420737 33.790445059964085, -118.24147453341892 33.789552724338115, -118.24180112160006 33.788682391182924, -118.24195135545939 33.78828434449044, -118.24228772578421 33.78738683973418, -118.24258486564587 33.78657976509728, -118.24292117891946 33.78566612906237, -118.24327055420767 33.78472052353417, -118.24339461855112 33.78438091880253, -118.24384459407997 33.783518571745084, -118.24458416761154 33.782102647126884, -118.24519611113337 33.780933585765915, -118.24524356435337 33.78084212305038, -118.24579560129233 33.780013909395436, -118.24602496947809 33.779680599545685, -118.24628714114486 33.77931495628446, -118.2465395228658 33.77897679605445, -118.24678210861735 33.77866614867645, -118.24710669812512 33.778268430749044, -118.24726737197645 33.778077129878724, -118.24748872753582 33.77782077474823, -118.24768550754276 33.777600549933574, -118.24784622734326 33.777426421029105, -118.24811357870615 33.77714765502553, -118.24848101518045 33.776777318565756, -118.24891572387712 33.776346389497064, -118.24901907863094 33.77624725418264, -118.2494390394873 33.77584385875038, -118.24973435385411 33.77556019013563, -118.2499247401959 33.77540729775109, -118.25000557054143 33.77534118460982, -118.25054675149185 33.774897662524864, -118.25069118683201 33.77478367086926, -118.25087009353939 33.77464349683698, -118.2511393034833 33.77444201014539, -118.25162357592811 33.77409030241079, -118.25192565258159 33.77387741060124, -118.25223102718914 33.77366828213074, -118.25246253042026 33.773514260142804, -118.25268419828637 33.773370913275215, -118.25275152331862 33.7733288680501, -118.25292065614772 33.77322272087342, -118.25317355013439 33.77306968750128, -118.25346915047982 33.77289492388891, -118.25421474679271 33.772464344820584, -118.25442823634206 33.772338531915246, -118.25459247445156 33.772247158529524, -118.25475836353836 33.77215853823496, -118.25559764426662 33.77170302393823, -118.25566827659364 33.77166784405452, -118.25569452173998 33.771658188151086, -118.25571429081313 33.77165092598013, -118.25579319673447 33.77163116044638, -118.25588856221992 33.77161448088677, -118.25600203550415 33.771600844090045, -118.25608427039421 33.7715938068779, -118.25626521443932 33.77158551103021, -118.25630961454029 33.771582337840165, -118.25652014854894 33.771567460695415, -118.25784261910647 33.77149800087654, -118.25915192868892 33.77142889112323, -118.26014542366357 33.77137660154314, -118.26045629974006 33.77135944244913, -118.26176065681491 33.77128653590753))",0,0,1422,1498,Even,Even,,STREET,,90744.0,90744.0,LOS ANGELES,LOS ANGELES,ALAMEDA,90744.0,WILMINGTON,,,11986.750124099999
15,15,"MULTILINESTRING ((-118.28797722190315 33.72424731171612, -118.28797905983454 33.72334535636554, -118.28798100869295 33.72295310370855, -118.28798069779745 33.72286242778729, -118.28798036791316 33.72282725738285, -118.28797031779949 33.72175405797147, -118.2879598083821 33.72060722878666, -118.28795484557693 33.72007440187071, -118.28794420529223 33.71893175895549, -118.2879421085526 33.71880129058684, -118.28793931286884 33.71846503819137, -118.28793751937131 33.71698261482996, -118.28793456634814 33.71516221648892, -118.28793167339981 33.713358992989264, -118.2879307130946 33.71259889149507, -118.28793201683246 33.71154133101404, -118.28793203513256 33.71058648350178, -118.2879320086164 33.710099440876085, -118.28793206430468 33.7096357523509, -118.28793217552293 33.70918889473098, -118.28793170122418 33.70905082933508, -118.28793148224857 33.708986941455265, -118.28793231453177 33.70874857204809, -118.28793571599458 33.70830306427017, -118.28793914673575 33.7078654797344, -118.2879425736875 33.7074261706675, -118.287943400546 33.707187805837265, -118.28794649666293 33.707132845704145, -118.28794471137186 33.70709127010564, -118.28794621731964 33.70705040331981, -118.28793713277948 33.70679796818627, -118.28793519591912 33.70671279642741))",3700,3722,3701,3723,Even,Odd,S,AVENUE,,90731.0,90731.0,LOS ANGELES,LOS ANGELES,PACIFIC,90731.0,TERMINAL ISLAND,SAN PEDRO,FORT MACARTHUR,6381.51581324
16,16,"MULTILINESTRING ((-118.22746789873635 33.782159212581874, -118.2283348245068 33.78209747224301, -118.22937611822061 33.78202301041204, -118.23037134949256 33.78195207239475, -118.23141428601637 33.78187759789687, -118.23241444884009 33.78180628912568, -118.23335539125097 33.781738865079554, -118.23340967291658 33.78173497440622, -118.23436048467495 33.78166718619967, -118.23599232130384 33.781550652370676, -118.23627690641113 33.78153017258507, -118.23731818897146 33.78145667968771, -118.23914248419177 33.78132770194427, -118.24076940220282 33.78122175991646, -118.24173337729331 33.781159032031226))",2301,2399,2300,2398,Odd,Even,E,STREET,,90744.0,90744.0,LOS ANGELES,LOS ANGELES,ANAHEIM,90744.0,WILMINGTON,,,4350.43449078
17,17,"MULTILINESTRING ((-118.26303643382832 33.74896788146877, -118.26298845862213 33.74887833980962, -118.2628941079955 33.74871273945169, -118.26285946354355 33.74865192841876, -118.26183413546283 33.74684783563807, -118.26117761759727 33.745692442278276, -118.26107178171138 33.74550582260053, -118.26012417819469 33.74388794880399))",214,398,215,399,Even,Odd,,STREET,,90731.0,90731.0,LOS ANGELES,LOS ANGELES,FERRY,90731.0,TERMINAL ISLAND,SAN PEDRO,FORT MACARTHUR,2049.85777827
18,18,"MULTILINESTRING ((-118.27970349714263 33.74051483408648, -118.27955383315438 33.74051003433522, -118.27947157926127 33.74050163949972, -118.27940247000205 33.74048977845219, -118.27937449632363 33.740485034788286, -118.27931194683569 33.74046766288873, -118.27925266119 33.74044238260076, -118.27919500080328 33.74041194822024, -118.27916201479871 33.74038317212635, -118.27914709095465 33.74034611166806, -118.27913347140209 33.7402066932291, -118.27912997167208 33.739648555951504, -118.27914223133922 33.739378901234346, -118.27914168445585 33.73921437805859, -118.27913629541648 33.73907700138454, -118.27912587947829 33.73891215854088, -118.27910562414706 33.73875558187644, -118.27908874787882 33.73862544388696, -118.27907687247085 33.73851590267252, -118.27897532272935 33.73783122889279, -118.27891706721496 33.737438454439165, -118.27886145914852 33.7370343149002, -118.27884300766063 33.73692513330525, -118.27882442051252 33.7367750778561, -118.27881921352964 33.73669265734781, -118.27881720310428 33.73658274980423, -118.27882159123376 33.736418215257444, -118.27882931158844 33.7362670684308, -118.27884658025185 33.736020071470335, -118.27887673266483 33.73569129813235, -118.27889080350357 33.7354717855171, -118.27890830566943 33.735295200849, -118.27890816421939 33.73525260965444, -118.2789401430422 33.73497878683749, -118.27895444183451 33.734828311726154, -118.27895768499187 33.734814566198715, -118.2790318297556 33.7338684686246, -118.27905598524548 33.7337148803105, -118.27905421640752 33.73367710151783, -118.27911712663834 33.733309783301934, -118.27912201413211 33.733296375627525, -118.27916865939137 33.732982676870456, -118.27917665403419 33.732914649834946, -118.27920726193739 33.73272360802054, -118.27921685628472 33.7326418401703, -118.2792262666848 33.73250442747866, -118.27922731727337 33.73232616275508, -118.27921229205774 33.73225818915046, -118.27921051177019 33.732216978373046, -118.27920712145162 33.732186416278545, -118.2791803232782 33.732039472198885, -118.27915698968864 33.73194541395403, -118.27912877457644 33.73186716767254, -118.27907577229661 33.73175188384985, -118.27896488646002 33.73153644025311, -118.27889531021947 33.73138203801579, -118.27884733505518 33.73129490719687, -118.27880603192654 33.73123626911917, -118.27854686481946 33.73093323884248, -118.27843460134477 33.73079782707537, -118.27838010899447 33.73072891520649, -118.27821822768531 33.730506375129906, -118.27813069590215 33.73039082729637, -118.27788302685336 33.73008227349527, -118.27775752264434 33.7299204443217, -118.27767004542062 33.72982069577319, -118.27762715409794 33.729778891123374, -118.27753481471994 33.72970079246486, -118.27747382482963 33.7296549069426, -118.27738482655587 33.72959294457148, -118.2772299274985 33.72949197635825, -118.2771360181855 33.729436206725126, -118.27687078820554 33.72928534519663, -118.2758014094827 33.728607037505206, -118.27563496367247 33.728493730530516, -118.2755986973294 33.728465991455835, -118.27555417017605 33.728425908090145, -118.27552607615642 33.7283950292734, -118.27551456567839 33.728382376907504, -118.27547824084392 33.72833677826928, -118.27528989023845 33.728061400225535, -118.27523699135142 33.72797565317867, -118.27522706721231 33.727957472751136, -118.27519230814976 33.7278874830097, -118.27514090853329 33.727757081089266, -118.27504959704235 33.72748938057781, -118.2748441835203 33.72702375723267, -118.27286878847711 33.721765219662444, -118.27228168584625 33.72020065861287))",2500,2598,2501,2599,Even,Odd,,STREET,,90731.0,90731.0,LOS ANGELES,LOS ANGELES,SIGNAL,90731.0,TERMINAL ISLAND,SAN PEDRO,FORT MACARTHUR,8142.60078826
19,19,"MULTILINESTRING ((-118.24091055884159 33.775943980732315, -118.24085283691151 33.77589497941732, -118.24072092029155 33.77579082711275, -118.24069618705704 33.77577198638767, -118.24063518373892 33.77572642537342, -118.24058994430666 33.775695349794404, -118.24043077690582 33.7755860084752, -118.24035658763128 33.77553223117756, -118.24027413620804 33.77546541920552, -118.24020815353826 33.7754044124749, -118.24014545240472 33.7753406513672, -118.24006458866549 33.77525322672687, -118.23992924728829 33.775100992193785), (-118.23982848949609 33.77496105638817, -118.23979037349645 33.774864616055126, -118.23978038575292 33.77482341903863, -118.23977364805177 33.774768475674776, -118.23977353228364 33.774727946842404, -118.23978152672264 33.77464652661261, -118.23979123971559 33.774591551379515, -118.239807497285 33.77452316761081, -118.23982379486525 33.77446955315403, -118.23985318225432 33.77439049461493, -118.23992352891248 33.77425227776115, -118.23998247534014 33.774153584038935, -118.24010530287103 33.773957556958095, -118.24021495676541 33.77375743706159, -118.24027385708055 33.77364362862465, -118.24030983126467 33.77356696205328, -118.24032617170212 33.773528116840346, -118.24036371127566 33.77342362481491, -118.24039956035955 33.77330333724303, -118.24043207566223 33.77316828693064))",0,0,0,0,,,,,,90744.0,90744.0,LOS ANGELES,LOS ANGELES,,90744.0,WILMINGTON,,,1122.70439379
20,20,"MULTILINESTRING ((-118.26827258052442 33.77093457662728, -118.26824970646909 33.7705464204713, -118.26820996139344 33.769871997614295, -118.26819084280193 33.76955226475078, -118.26818390258796 33.76943962065116, -118.26817176493594 33.76924489688122, -118.26813465731814 33.76895783507282, -118.26812612483947 33.76886202386321, -118.26812079472485 33.76873838500784, -118.26812026815341 33.76857351764322, -118.26812338384202 33.76851889920006, -118.26813788543146 33.76842338105627, -118.26816061337679 33.768328874104384, -118.26817689489899 33.768275598420345, -118.2682584329374 33.76805215936724, -118.2683057583553 33.7679328674213, -118.26830989954739 33.76792153706298, -118.26879535779027 33.766593136172716))",121,199,120,198,Odd,Even,N,AVENUE,,90744.0,90744.0,LOS ANGELES,LOS ANGELES,NEPTUNE,90744.0,WILMINGTON,,,1611.29809789
21,21,"MULTILINESTRING ((-118.24258486564587 33.78657976509728, -118.24256453238542 33.78647037733441, -118.24255812315904 33.78643590303258, -118.24254973820867 33.786381650905724, -118.24253642119649 33.7863280956652, -118.24249161218916 33.78619560465745, -118.2424333176762 33.785951510582755, -118.24235858246307 33.785711915662624, -118.242217409619 33.78525675044315, -118.24216088680373 33.7850559314248, -118.24210929732565 33.784854414612695, -118.24210590947912 33.78482076180269, -118.24208234023716 33.784635675415466, -118.24205349424557 33.78433244523428, -118.24198406259136 33.78364872487851, -118.24185360143015 33.78234137631631, -118.24184515517472 33.78226479844292, -118.24183500632489 33.78216796710092, -118.24173337729331 33.781159032031226))",1039,1099,1038,1098,Odd,Even,,AVENUE,,90744.0,90744.0,LOS ANGELES,LOS ANGELES,HENRY FORD,90744.0,WILMINGTON,,,1994.48193629
22,22,"MULTILINESTRING ((-118.25071633643219 33.75150290180749, -118.25077254873325 33.75120478419252, -118.2510015238158 33.750849075197465, -118.25124519230931 33.75060329341808, -118.25153822972943 33.750329375675804, -118.25184935810809 33.75005546984767, -118.25210956534714 33.74971351888487, -118.25256759316517 33.748899048867465, -118.25257583146922 33.7488846264363, -118.25406025317649 33.746240674466875, -118.25426409939043 33.74587378067005, -118.25427277915578 33.74585815639129, -118.25428760772532 33.74582999993071, -118.25433562310918 33.74548859713547, -118.25436740908366 33.744914978692435, -118.25449770939005 33.74451866888596, -118.25457677060231 33.74439506141242, -118.25474147950654 33.744136169614684, -118.25505090877574 33.74388905106536, -118.25531600704227 33.743743793861576))",0,0,0,0,Even,Even,,WAY,,90731.0,90731.0,LOS ANGELES,LOS ANGELES,TERMINAL,90731.0,TERMINAL ISLAND,SAN PEDRO,FORT MACARTHUR,3220.16485806
23,23,"MULTILINESTRING ((-118.23864295113593 33.758406906274, -118.23899706022824 33.7583035878966, -118.2402880933905 33.757926890496854, -118.2408090771126 33.75777472076476, -118.24219289145732 33.757373513547954, -118.24253473016458 33.75727287430179, -118.2428333401018 33.75718303120537, -118.24313457429045 33.75709134119209, -118.2432735748602 33.757044614726205, -118.2443850861968 33.756674569216315, -118.24490600395622 33.75650349804805, -118.24513440840254 33.7564261030526, -118.24554355184112 33.756281698809005, -118.24599704303611 33.75611828894812, -118.24662796753772 33.75588344551177, -118.24668382645451 33.75586134871682, -118.2469072639168 33.755773304747606, -118.24740013299547 33.755578220058624, -118.24765479804536 33.75548187614963, -118.24860777256144 33.755139524457135, -118.2491235454818 33.75494799862307, -118.24913773944849 33.75494272698555, -118.24981044703708 33.75469292535228, -118.25000556989283 33.754619280057234, -118.2502441851584 33.75452921865436, -118.25059086008768 33.75440278505411, -118.25081925463647 33.7543253720771, -118.25098851077607 33.75427246683788, -118.25170174072188 33.75406935821714, -118.25172474488885 33.75406175278116))",2101,2197,2100,2196,Odd,Even,,BOULEVARD,,90802.0,90802.0,LONG BEACH,LONG BEACH,OCEAN,90802.0,LONG BEACH,,,4282.60977197
24,24,"MULTILINESTRING ((-118.2660045412167 33.7415251482759, -118.26541587951738 33.74051079709046, -118.26398894318687 33.738056726542254, -118.26356732185597 33.73733051915629, -118.26342700425899 33.73715874574245, -118.26339884729991 33.73709457799541, -118.26334910156496 33.73696313595108, -118.26331916675086 33.73685638146601, -118.26330570972954 33.7367605820398, -118.26329878847213 33.73665068593057, -118.26329701373409 33.73660947219232, -118.26329792804854 33.73637625315253, -118.26330719686304 33.73461215390092, -118.2632919246096 33.734461401965504, -118.26327526644654 33.73439343085293, -118.26325890160987 33.734353280374194, -118.26320942318038 33.73241613425261, -118.2639360001831 33.73166108105005))",600,698,601,699,Even,Odd,,STREET,,90731.0,90731.0,LOS ANGELES,LOS ANGELES,BARRACUDA,90731.0,TERMINAL ISLAND,SAN PEDRO,FORT MACARTHUR,3858.06844991
25,25,"MULTILINESTRING ((-118.26012417819469 33.74388794880399, -118.2648843877462 33.74197619701654, -118.26505027554296 33.74190954141583, -118.2660045412167 33.7415251482759, -118.26779808938247 33.74080674502818, -118.26957844533251 33.740086282869605, -118.27025510983631 33.7398141081913, -118.27094816612639 33.739527466032285, -118.27123231961167 33.73942000571754, -118.27137847124965 33.73935544672163, -118.27146384563297 33.73931231911149, -118.27151636360134 33.73927957158251, -118.2715885408532 33.73922342259777, -118.27168037294055 33.73914352865945, -118.27175578115805 33.739069855162754, -118.27182460018733 33.73899241920631, -118.27185898742796 33.73894700219074, -118.27190644480343 33.73887510911923, -118.27194566418963 33.73879876860149, -118.27197829887942 33.73871969607572, -118.27201084231321 33.73861280244725, -118.27202218003427 33.73855919414794, -118.27203338089352 33.73846334080062, -118.27203648957618 33.73840769026995, -118.27203430885943 33.738242485668145, -118.27202422064727 33.73817381391177, -118.2720025812178 33.73809314672184, -118.2719710828696 33.73801490612568, -118.27193629900115 33.73793770246535, -118.27191478761237 33.73789653434676, -118.27188996735165 33.73784953466451, -118.27184035352889 33.737763090725636, -118.27177591081677 33.73766740740174, -118.2716536892702 33.73750350343233, -118.27142568976862 33.737174626719906, -118.2710425331422 33.736665432574455, -118.27091371014771 33.736492955035395, -118.26935945091599 33.73436072819978, -118.26884893852345 33.73361378500637, -118.26876803014484 33.73350955012376, -118.26871846937946 33.733438218540215, -118.26870523528805 33.733413174602326, -118.26867045742661 33.73333631351902, -118.26864558207826 33.733270765810396, -118.26860901937454 33.73315028858444, -118.2685956941859 33.73309673661773, -118.26858063460143 33.73301536724606, -118.26856886266194 33.73293364616027, -118.26855358127183 33.732782895831036, -118.26854856034113 33.73275542923665, -118.26853487836337 33.73259093643795, -118.26845108168867 33.731582686406135, -118.26843822737064 33.73064743781594, -118.26844467507686 33.73060689278131, -118.2684576550335 33.7305525951746, -118.26847377423098 33.73045089046655, -118.26869849930308 33.72925201269182, -118.26871783841648 33.729129349865275, -118.2687241517969 33.72904690149791, -118.26872726562654 33.72899228334105, -118.26872526856913 33.72888203137804, -118.26871847278551 33.728814039937426, -118.26870008134281 33.72871893918211, -118.26867675931409 33.728624535480606, -118.26864533681272 33.72856759015168, -118.26864183183442 33.72849993303042, -118.26836656372585 33.72777513212781, -118.26819576072535 33.727323160068345, -118.26792548012361 33.726612773011894, -118.26745953447917 33.72538486279997, -118.26682447800988 33.7237108125706, -118.26643151091068 33.72267233631956))",101,199,100,198,Odd,Even,,WAY,,90731.0,90731.0,LOS ANGELES,LOS ANGELES,TERMINAL,90731.0,TERMINAL ISLAND,SAN PEDRO,FORT MACARTHUR,10338.302380399999
