,PPDNUM,the_geom,PPDNAME
89,105,"MULTIPOLYGON (((-118.47090758045869 34.12695816306164, -118.47050919048591 34.12692960763825, -118.47087017655008 34.12567374918417, -118.47088171835551 34.125621370747716, -118.47089101983612 34.12556868549959, -118.47089807052113 34.125515758392005, -118.47090285887137 34.12546265708575, -118.47090538092571 34.12540944740898, -118.47090563273328 34.12535619699265, -118.47090361467922 34.125302973450864, -118.47089932930164 34.12524984168441, -118.47089278024285 34.12519687019587, -118.47088397763923 34.125144125659354, -118.47087293161684 34.125091672945814, -118.47069873803731 34.12415903894183, -118.47068312720374 34.12415180087239, -118.47066646876277 34.12414641233193, -118.47064907983517 34.12414297666379, -118.4706312881584 34.12414155750226, -118.47061342993878 34.12414218238741, -118.47059584441145 34.12414483917978, -118.47057886409421 34.12414947790171, -118.4705628093629 34.12415600985688, -118.47054798414537 34.12416431305601, -118.47053466940267 34.1241742295379, -118.47052311666008 34.12418557170521, -118.4705135458549 34.12419812503733, -118.47050613559988 34.124211651734505, -118.47050102755034 34.12422589611014, -118.47049831884087 34.12424058912745, -118.47049805993765 34.124255452014545, -118.47050025576294 34.12427020347193, -118.47048863045575 34.12429138351777, -118.47047468187277 34.124311570995665, -118.47045853151256 34.12433058873008, -118.47044032046261 34.124348272992364, -118.47042020828478 34.12436446809575, -118.47039836764094 34.12437903453013, -118.47037498968785 34.12439184443366, -118.4703502786872 34.12440278702267, -118.47032444874355 34.12441176680151, -118.47029772598763 34.124418706258744, -118.4702703409726 34.124423543192044, -118.47024253305092 34.12442623790356, -118.47021454382433 34.12442676511144, -118.47018661826847 34.12442512115796, -118.47015899820826 34.12442132042862, -118.470131923402 34.124415395348095, -118.470105631546 34.12440739728142, -118.47008034960284 34.12439739656809, -118.47005629812676 34.1243854807018, -118.47003368691264 34.124371751642954, -118.47001271285313 34.12435633033447, -118.46999355774005 34.12433935130125, -118.46997638825461 34.12432096084704, -118.46996135489809 34.12430131976293, -118.46994858763597 34.12428059973849, -118.46993819696145 34.12425897975117, -118.46993027499482 34.12423664876676, -118.46992489003301 34.1242138003511, -118.46992208764891 34.12419063537067, -118.4699218938928 34.12416735296462, -118.46992430990782 34.12414415687646, -118.46992931406272 34.12412124913494, -118.46993686411477 34.12409882914419, -118.46994689286377 34.12407709189753, -118.46995931356201 34.12405622615353, -118.4699740188304 34.12403641443982, -118.46999606633184 34.12400562046814, -118.47002014156196 34.12397589594663, -118.4700461680613 34.1239473313253, -118.47007406719787 34.12392001616121, -118.47010375055342 34.12389403464011, -118.47013512752696 34.12386946825159, -118.47016809989422 34.123846392204285, -118.47020256616408 34.12382487901485, -118.47023841938524 34.123804994009, -118.47027554717152 34.123786799829, -118.47031383493342 34.12377035281501, -118.47035316479955 34.123755703910895, -118.4703934145321 34.12374289866833, -118.47043445861128 34.12373197724271, -118.47047617039284 34.12372297258164, -118.4705184199503 34.12371591223638, -118.470561076248 34.12371081925512, -118.47060400820975 34.12370770947389, -118.4706470803829 34.123706591533804, -118.47069016162541 34.12370746955157, -118.47107052139253 34.12375114849883, -118.47101202515584 34.12407753365153, -118.4726169194297 34.12407126864213, -118.47261998326512 34.12461318024492, -118.4711538476293 34.124618904425404, -118.47125318462548 34.12511527988325, -118.47126123467366 34.12516409841847, -118.47126718283484 34.12521312438895, -118.47127102008753 34.12526229652559, -118.47127274173098 34.1253115508375, -118.4712723463268 34.125360825124154, -118.47126983351033 34.12541005537765, -118.47126520726839 34.125459180277616, -118.47125847266173 34.12550813669621, -118.47124964017115 34.12555686148455, -118.47102508733195 34.12639571063941, -118.47100385163623 34.126456726653124, -118.47098479768985 34.12651823902357, -118.47096793928004 34.12658019270427, -118.47095329237251 34.1266425344431, -118.47094087075992 34.12670521009469, -118.47093068388364 34.126768162826025, -118.47092274120537 34.12683133940996, -118.47091704999858 34.12689468302166, -118.47091361429983 34.12695813955332, -118.47090758045869 34.12695816306164)))",PPD 105
90,106,"MULTIPOLYGON (((-118.28950760475387 34.10481668322049, -118.28755760744268 34.104821339410925, -118.28755554266961 34.10422095771912, -118.28950552597922 34.104216301562204, -118.28950760475387 34.10481668322049)))",PPD 106
91,107,"MULTIPOLYGON (((-118.4312112667073 34.16485762624118, -118.43157429712745 34.16485633112766, -118.4315833546112 34.16660983577625, -118.43091615005632 34.166612215194, -118.43090878905605 34.16518494430197, -118.43023178500873 34.165187354904155, -118.43022909727866 34.16466538170084, -118.42901245944917 34.164669704245625, -118.42901560022914 34.16528139155489, -118.42852501693712 34.16528313106582, -118.42853953227241 34.16811320675775, -118.42777419606988 34.16811591651358, -118.4277660952429 34.16653368454557, -118.42674566658121 34.166537289949105, -118.42674320885824 34.166056094314875, -118.42367212793427 34.16606689317622, -118.4236693157325 34.16551229643107, -118.42445425108691 34.16550954377795, -118.4244525938006 34.165183309880796, -118.42373634291208 34.16518582187097, -118.423733323505 34.16459044567068, -118.42439070025036 34.16458814032024, -118.42438415510404 34.16329951780056, -118.42371697677947 34.16330185749698, -118.42371399893828 34.16271463738488, -118.42438117257412 34.162712297704935, -118.42437856042156 34.161523866507295, -118.42372189210582 34.161526169393696, -118.42371896801906 34.16094954398754, -118.42436638213188 34.1609472735797, -118.42435720624587 34.15914051201169, -118.42646588382041 34.159133093086055, -118.42645972330732 34.157926022481455, -118.42587707042456 34.157928076096326, -118.4258743900569 34.157234703348365, -118.42654296002632 34.157232346668394, -118.42653731709797 34.156126865931896, -118.42716179594838 34.156124661331994, -118.42716747836157 34.15723624985187, -118.42783604830687 34.15723388602196, -118.42783898783276 34.15780800326016, -118.43117058356924 34.15780201075923, -118.4312112667073 34.16485762624118)))",PPD 107
92,109,"MULTIPOLYGON (((-118.36403453827377 34.16479468098274, -118.36227766735429 34.1647999572244, -118.36226275431066 34.16136035902029, -118.36359195292296 34.161365977188, -118.36378835329393 34.161346170220774, -118.3640195110508 34.16134547454863, -118.36403453827377 34.16479468098274)))",PPD 109
93,110,"MULTIPOLYGON (((-118.33449973916471 34.08335731485847, -118.33386781286718 34.083359062953924, -118.33386739591548 34.08325461514707, -118.33275990254168 34.08325683961498, -118.33275483490817 34.08251390441719, -118.33318485121453 34.08169983267628, -118.33386600938017 34.08169809180344, -118.3338608423334 34.080403678181305, -118.33450758856338 34.08040188902414, -118.33451276614953 34.08169643514243, -118.33511265725087 34.081694896019805, -118.33511505010061 34.08214688217911, -118.33449490495516 34.08214860089812, -118.33449973916471 34.08335731485847)))",PPD 110
94,111,"MULTIPOLYGON (((-118.39243956310774 34.13121237497497, -118.39220617797976 34.132599049510056, -118.3915872633816 34.13254855963058, -118.39156378247309 34.13292661306758, -118.39075542940985 34.132866232236346, -118.39048959829908 34.132720100246765, -118.39053779588288 34.13222647402635, -118.39128281842449 34.13224506412882, -118.39182629544803 34.129670956294326, -118.39171153469218 34.12942984265468, -118.39229195797836 34.129354465200926, -118.39269606915414 34.129374151563894, -118.3927857793582 34.1296573428683, -118.39278617404926 34.12974133685541, -118.39261287010345 34.130476856032836, -118.395920963896 34.130508062809966, -118.39694128946614 34.13001124581604, -118.39697951483811 34.12998877749215, -118.3970162067524 34.12996460578062, -118.39705125496873 34.1299388022664, -118.39708455469336 34.129911443925806, -118.39711600658339 34.12988261402802, -118.39714551780968 34.129852397624, -118.39717299882136 34.129820885163085, -118.3971983676739 34.12978817067581, -118.39722154786506 34.129754352682355, -118.39724247265832 34.129719531474, -118.39726107641897 34.12968381094431, -118.39727730545889 34.12964729945532, -118.39729111041815 34.129610103551514, -118.39730245172822 34.12957233695741, -118.39731129306023 34.12953411068222, -118.39731760894776 34.129495540206946, -118.3974156662798 34.12887575476566, -118.39742806674637 34.128833915140326, -118.39744291882185 34.12879263181456, -118.3974601850274 34.1287520031781, -118.39747982571197 34.12871212672632, -118.39750179254786 34.12867309908141, -118.39752603394257 34.12863501417163, -118.39755249070254 34.12859796324544, -118.39758109928549 34.12856203486105, -118.39761179180458 34.12852731578774, -118.39764449276777 34.12849388921368, -118.39767912558648 34.128461835626005, -118.397715604987 34.12843123283577, -118.39775384458648 34.128402153248544, -118.39779375257326 34.128374667484685, -118.39783523277866 34.12834884167123, -118.39787818467653 34.12832473744203, -118.39792250555584 34.12830241283191, -118.39796808943662 34.128281922280614, -118.39801482488883 34.12826331393513, -118.39806260263387 34.12824663232917, -118.39811130579197 34.12823191931726, -118.39816081636096 34.12821920864391, -118.39821101741023 34.12820853134552, -118.39826178764726 34.12819991306402, -118.39831300466989 34.12819337403578, -118.39836454605897 34.128188930891454, -118.39841628611748 34.128186594863394, -118.39846810236193 34.12818636905975, -118.39851987014086 34.12818825659599, -118.39857146367561 34.12819225157626, -118.3986227604268 34.12819834538953, -118.39867363565256 34.12820652221999, -118.39872396784993 34.128216763536685, -118.39877363656566 34.12822904359314, -118.39882252132907 34.128243333036984, -118.39887050489976 34.128259597997705, -118.3989174732679 34.128277800086515, -118.3989633113048 34.12829789370634, -118.39900791038148 34.12831983233706, -118.39905116291835 34.12834356224308, -118.39909296457465 34.128369026973495, -118.39913321531976 34.12839616465411, -118.3991718172734 34.12842490979756, -118.3992086801349 34.128455195088435, -118.39924371248031 34.12848694510117, -118.3992768315664 34.12852008618464, -118.39930795786299 34.12855453656333, -118.39966357412713 34.128994335373115, -118.39909733922138 34.12939518236547, -118.39880505181792 34.128997171052106, -118.3987899282901 34.12897528745975, -118.39877263226298 34.12895454606792, -118.39875328803669 34.1289350961207, -118.39873203612497 34.12891707689175, -118.39870902674613 34.128900616804394, -118.39868442524798 34.12888583431507, -118.39865840883826 34.12887283431816, -118.39863116334953 34.12886171176273, -118.39860288429776 34.128852546240026, -118.39857377471397 34.12884540199043, -118.3985440419051 34.128840330618935, -118.39851390069757 34.12883736928132, -118.39848356584044 34.12883653890621, -118.39845325526169 34.128837845085755, -118.3984231857366 34.12884127899164, -118.39839357396319 34.12884681556822, -118.39836463115036 34.12885441535374, -118.39833656409795 34.128864023574884, -118.39830957628949 34.12887557194649, -118.39828385921078 34.12888897689686, -118.39825959778338 34.12890414225466, -118.3982369660371 34.128920961066, -118.39821612600403 34.12893931109051, -118.39819722774907 34.128959061111914, -118.39818040502463 34.12898006914921, -118.3981657807086 34.12900218604495, -118.39815345703416 34.129025252792616, -118.39814352427148 34.12904910231133, -118.39813605317326 34.12907356668275, -118.3981310970998 34.129098468128845, -118.39812869206193 34.129123628026996, -118.39812885455719 34.12914886781878, -118.39813158372475 34.12917400629802, -118.39813686027438 34.12919886231933, -118.39813655211782 34.12926185281218, -118.39813379477532 34.12932480268948, -118.39812858900767 34.12938764523474, -118.39812094100051 34.129450314615056, -118.39811085802354 34.12951274499388, -118.39809835277563 34.129574872319594, -118.3980834357748 34.1296366298431, -118.39806612406075 34.12969795439969, -118.39804643574901 34.12975878101812, -118.39802439112769 34.129819045621204, -118.39800001374616 34.12987868592419, -118.39797332823352 34.12993763873681, -118.3979443624804 34.12999584266123, -118.39791314871802 34.13005323718677, -118.39787971701001 34.13010976180971, -118.39784410392892 34.130165356906424, -118.39780634605648 34.13021996465616, -118.3977664843153 34.130273528125414, -118.39772455854859 34.13032599128573, -118.3976806140248 34.13037729899228, -118.39763469601687 34.13042739700165, -118.39758685197938 34.13047623376793, -118.39753713370374 34.13052375773091, -118.39605055155312 34.13121109662777, -118.39243956310774 34.13121237497497)))",PPD 111
95,112,"MULTIPOLYGON (((-118.35428849213638 34.10352405989649, -118.35403035693064 34.10352481647704, -118.35384204525047 34.10338871974248, -118.35331942423464 34.103388303504616, -118.35332004417604 34.10353501564229, -118.35362339800848 34.103534128254935, -118.35362739390828 34.10447895377907, -118.3531899963261 34.10448023303604, -118.35318664986349 34.10368798765326, -118.35215369403716 34.1036910024549, -118.35215164263116 34.103203918282404, -118.35250028629751 34.103202901712585, -118.35249410138928 34.10173578034123, -118.35318544953431 34.10173376154388, -118.35318616837931 34.10190394754309, -118.35366587987363 34.101902544418714, -118.35366533380343 34.10177343814265, -118.35402496859137 34.10173717374676, -118.35427893349816 34.101736429388964, -118.35428849213638 34.10352405989649)))",PPD 112
96,113,"MULTIPOLYGON (((-118.42502795086563 34.21332920204059, -118.42433380445374 34.213331638469604, -118.42431016415232 34.208679187502554, -118.42499325318727 34.208823403554526, -118.42502795086563 34.21332920204059)))",PPD 113
97,114,"MULTIPOLYGON (((-118.34400632101557 34.06890265637908, -118.33859591548268 34.068917944556574, -118.3385684244408 34.06212579963163, -118.34397891665617 34.06223842520369, -118.34400632101557 34.06890265637908)))",PPD 114
98,115,"MULTIPOLYGON (((-118.32522487501052 34.083410821120395, -118.32444111251712 34.08341292857196, -118.32443567357177 34.08201084638909, -118.3238210696048 34.08200200790008, -118.32380705969058 34.08168314705585, -118.32364094167484 34.0816729622367, -118.32363045303369 34.07896235728832, -118.32396665604415 34.07895792660462, -118.32395481495392 34.07927315863682, -118.32446423510095 34.07927179142346, -118.32446578625276 34.0763045610003, -118.3251972361073 34.076302594054084, -118.32522487501052 34.083410821120395)))",PPD 115
99,145,"MULTIPOLYGON (((-118.31669780190009 34.11129701453404, -118.31668206937137 34.10992744383324, -118.31706700527576 34.10992633439067, -118.3170317601245 34.10970410232169, -118.31667711941361 34.10970824436269, -118.31662072034523 34.105375644633526, -118.31722190940191 34.10537406788763, -118.31723212930237 34.108067730872285, -118.31791532071597 34.108065935426836, -118.31791596895891 34.108236420064664, -118.31790282385185 34.1083728440826, -118.31790347207513 34.108543329623636, -118.31720678393044 34.108541356850345, -118.31721051680248 34.109525261159895, -118.31765756555741 34.10930437764953, -118.317908619247 34.1088834052719, -118.3179057624763 34.109145709531816, -118.31801663050794 34.10955458613799, -118.3180173222028 34.10973643720749, -118.31740364599408 34.11005629205396, -118.31728135810363 34.11023846607656, -118.31728536935103 34.111295473280876, -118.31669780190009 34.11129701453404)))",PPD 145
100,118,"MULTIPOLYGON (((-118.25064064478066 34.081633821036625, -118.25146654109528 34.080532482704356, -118.25160211119581 34.080375882123576, -118.25152983089248 34.08003644298101, -118.25153054573248 34.08003131809099, -118.25153138737981 34.08002620736138, -118.25153235583451 34.08002111079218, -118.25153345002663 34.08001603289341, -118.25153466995886 34.080010974566406, -118.25153601455585 34.08000593851816, -118.25153748382031 34.08000092565011, -118.25153907776573 34.07999594046984, -118.25154079422524 34.07999098298197, -118.25154263320691 34.079986055890956, -118.25154459471621 34.07998116099993, -118.25154667659697 34.079976301919466, -118.25154887776574 34.07997147865179, -118.25155119931689 34.0799666948008, -118.25155363800262 34.079961951274704, -118.25155619383118 34.079957250778165, -118.25155886572443 34.07995259511638, -118.25156165260705 34.07994798699629, -118.25156455339558 34.07994342642003, -118.25156756593668 34.07993891789982, -118.25157069023037 34.079934461435585, -118.25157392303161 34.07993005883723, -118.25157726543476 34.07992571370845, -118.25158071419216 34.079921426957654, -118.25158426930646 34.07991719948625, -118.2515879275355 34.079913034005735, -118.25159168888464 34.079908932318965, -118.25159555119245 34.079904896233664, -118.2515995122974 34.07990092755726, -118.25160357111875 34.079897027193574, -118.25160772549776 34.07989319785168, -118.25161197435094 34.079889439533815, -118.25161631552223 34.079885755850626, -118.251620745764 34.079882147710386, -118.25162526616245 34.07987861601228, -118.25162987238912 34.079875162568484, -118.25163456336334 34.079871788282695, -118.25163933692629 34.079868495864055, -118.25164419091386 34.07986528621854, -118.25164912316185 34.079862160252176, -118.25165413259215 34.079859119770276, -118.2516592159572 34.07985616568116, -118.25166437109554 34.079853299792354, -118.25166959692369 34.07985052210612, -118.25167489019948 34.079847835333766, -118.25168024875873 34.07984524038137, -118.25168567043453 34.07984273725337, -118.2516911530654 34.07984032775738, -118.25169669340372 34.07983801280167, -118.25170229145488 34.07983579418936, -118.25170794288525 34.079833671929336, -118.25171364552781 34.079831646026165, -118.25171939722384 34.07982971918895, -118.25172519472298 34.07982789142443, -118.25173103694456 34.07982616363644, -118.251736920641 34.079824536733206, -118.25174284364529 34.07982301071927, -118.2517488027099 34.07982158650289, -118.2517274161381 34.07970092416167, -118.25173480794493 34.07970000001475, -118.25174221848769 34.079699181307525, -118.25174964452157 34.0796984698497, -118.25175708387691 34.079697864744375, -118.25176453439228 34.07969736779909, -118.25177199497878 34.07969697721301, -118.25177946238894 34.07969669389447, -118.25178693445577 34.079696517847964, -118.25179440901513 34.07969644997957, -118.25180188389747 34.07969648939218, -118.25180935693595 34.07969663609041, -118.2518168259636 34.07969689007872, -118.25182428773023 34.07969725136398, -118.25183174223574 34.079697719946104, -118.25183918514642 34.079698295834085, -118.25184661429272 34.07969897813105, -118.2518540296773 34.07969976773845, -118.2518614258803 34.079700663766054, -118.25186880398249 34.07970166531009, -118.25187615965272 34.07970277328114, -118.25188349072424 34.0797039876837, -118.25189079610539 34.07970530581546, -118.25189807255128 34.07970672948628, -118.25190531789241 34.07970825779911, -118.25191253104258 34.07970988985478, -118.25191970983217 34.07971162475618, -118.25192685101358 34.07971346341166, -118.25193395241455 34.07971540402272, -118.25194101295163 34.079717446591594, -118.25194802937182 34.079719590223604, -118.25195500167504 34.079721834918686, -118.25196192552218 34.07972417888289, -118.25196879874632 34.07972662212068, -118.2519756213475 34.079729164632106, -118.25198239006721 34.07973180371938, -118.25198910274129 34.079734540288584, -118.25199575719746 34.079737372541146, -118.25200235235222 34.07974030047935, -118.25200888603608 34.0797433232062, -118.25201535607657 34.079746438923166, -118.25202175922078 34.07974964673556, -118.25202809546869 34.079752946643374, -118.25203436264792 34.07975633684805, -118.25204055859164 34.07975981735417, -118.25204668112478 34.07976338546161, -118.25205272808317 34.07976704207657, -118.25205869837527 34.07977078449658, -118.2520645909148 34.079774611822494, -118.25207040245154 34.0797785240611, -118.25207613189383 34.079782518510044, -118.25208177707482 34.07978659517392, -118.25208733690559 34.079790752251895, -118.25209281029998 34.07979498884473, -118.25209819400219 34.0797993031562, -118.25210348801225 34.079803695186285, -118.25210869015243 34.07980816133343, -118.2521137982584 34.079812702503695, -118.25211881232221 34.07981731599251, -118.2523065364391 34.08001985151085, -118.25296365169746 34.07896516789722, -118.2531044457375 34.07902787107743, -118.25328304092335 34.079072494870154, -118.25343463775098 34.07913067547362, -118.2522936849902 34.080960010415694, -118.2515586334117 34.08110553949414, -118.25127324095763 34.0815156215538, -118.25092783081399 34.08175033284919, -118.25064064478066 34.081633821036625)))",PPD 118
