Moeneeb Josephs
Michael Beauchamp
Brett Emerton
Luke Wilkshire
Joshua Kennedy
Harry Kewell
Scott Chipperfield
Adam Federici
Vince Grella
Brett Holman
Mile Jedinak
Carl Valeri
Nikita Rukavytsya
Richard Garcia
Mark Milligan
David Carney
Mark Bresciano
Antonio Rukavina
Aleksandar Kolarov
Gojko Kaar
Daniel Adjei
Hans Sarpei
Asamoah Gyan
John Paintsil
John Mensah
Anthony Annan
Samuel Inkoom
Jonathan Mensah
Derek Boateng
Stephen Appiah
Sulley Muntari
Prince Tagoe
Matthew Amoah
Isaac Vorsah
Stephen Ahorlu
Abdul Rahim Ayew
Dominic Adiyiah
Lee Addy
Quincy Owusu-Abeyie
Kwadwo Asamoah
Richard Kingson
Kevin-Prince Boateng
Maarten Stekelenburg
Gregory van der Wiel
John Heitinga
Joris Mathijsen
Giovanni van Bronckhorst
Mark van Bommel
Dirk Kuyt
Nigel de Jong
Robin van Persie
Wesley Sneijder
Arjen Robben
Khalid Boulahrouz
Demy de Zeeuw
Edson Braafheid
Michel Vorm
Eljero Elia
Stijn Schaars
Ryan Babel
Ibrahim Afellay
Klaas-Jan Huntelaar
Sander Boschker
Rafael van der Vaart
Christian Poulsen
Daniel Agger
William Kvist
Lars Jacobsen
Daniel Jensen
Jon Dahl Tomasson
Nicklas Bendtner
Thomas Kahlenberg
Jakob Poulsen
Simon Poulsen
Stephan Andersen
Mikkel Beckmann
Dennis Rommedahl
Thomas Enevoldsen
Christian Eriksen
Jesper Christiansen
Patrick Mtiliga
Seigo Narazaki
Yuki Abe
Marcus Tulio Tanaka
Yuto Nagatomo
Atsuto Uchida
Yasuhito End
Daisuke Matsui
Shinji Okazaki
Shunsuke Nakamura
Keiji Tamada
Kisho Yano
Daiki Iwamasa
Kengo Nakamura
Yasuyuki Konno
Yoshito kubo
Makoto Hasebe
Keisuke Honda
Takayuki Morimoto
Junichi Inamoto
Eiji Kawashima
Yuji Nakazawa
Yoshikatsu Kawaguchi
Idriss Carlos Kameni
Nicolas N'Koulou
Rigobert Song
Alex Song
Geremi Njitap
Samuel Eto'o
Achille Emana
Jean Makoun
Eric Maxim Choupo-Moting
Souleymanou Hamidou
Mohammadou Idrissou
Eyong Enoh
Georges Mandjeck
Vincent Aboubakar
Gianluigi Buffon
Christian Maggio
Domenico Criscito
Giorgio Chiellini
Fabio Cannavaro
Daniele De Rossi
Simone Pepe
Gennaro Gattuso
Vincenzo Iaquinta
Antonio Di Natale
Alberto Gilardino
Federico Marchetti
Salvatore Bocchetti
Morgan De Sanctis
Claudio Marchisio
Mauro Camoranesi
Angelo Palombo
Fabio Quagliarella
Gianluca Zambrotta
Giampaolo Pazzini
Andrea Pirlo
Riccardo Montolivo
Leonardo Bonucci
Justo Villar
Denis Caniza
Carlos Bonet
Roque Santa Cruz
Jonathan Santana
Diego Barreto
Enrique Vera
Paulo da Silva
Cristian Riveros
Aureliano Torres
Nelson Haedo Valdez
Lucas Barrios
Aldo Bobadilla
Rodolfo Gamarra
Mark Paston
Ben Sigmund
Tony Lochhead
Winston Reid (footballer)
Ivan Vicelich
Ryan Nelsen
Simon Elliott
Tim Brown (footballer)
Shane Smeltz
Chris Killen
Leo Bertos
Glen Moss
Andrew Barron
Rory Fallon
Michael McGlinchey
Aaron Clapham
David Mulligan
Andrew Boyens
Tommy Smith (footballer born 1990)
Chris Wood (footballer born 1991)
Jeremy Christie
Jeremy Brockie
James Bannatyne
Marek ech (Slovak footballer)
Marek Sapara
Martin Jakubko
Miroslav Stoch
Juraj Kucka
Kamil Kopnek
Maicon Sisenando
Lcio
Juan Silveira dos Santos
Felipe Melo
Michel Bastos
Elano
Gilberto Silva
Robinho
Heurelho Gomes
Daniel Alves
Thiago Silva (footballer)
Gilberto da Silva Melo
Ramires
Jlio Baptista
Nilmar
Grafite
Ri Myong-Guk
Cha Jong-Hyok
Ri Jun-Il
Pak Nam-Chol (footballer born 1985)
Ri Kwang-Chon
Kim Kum-Il
An Chol-Hyok
Ji Yun-Nam
Jong Tae-Se
Hong Yong-Jo
Mun In-Guk
Choe Kum-Chol
Pak Chol-Jin
Pak Nam-Chol (footballer born 1988)
Kim Yong-Jun
Nam Song-Chol
An Yong-Hak
Kim Myong-Gil
Ri Chol-Myong
Kim Myong-Won ref Kim Myong-Won, a Striker (association football)
Ri Kwang-Hyok
Kim Kyong-Il
Pak Sung-Hyok
Boubacar Barry
Benjamin Angoua
Arthur Boka
Didier Zokora
Steve Gohouri
Seydou Doumbia
Salomon Kalou
Gervais Yao Kouassi
Didier Drogba
Jean-Jacques Gosso
Romaric (footballer)
Aruna Dindane
Guy Demel
Sol Bamba
Daniel Yeboah
Eduardo dos Reis Carvalho
Bruno Alves
Paulo Ferreira
Rolando (Portuguese footballer)
Duda (Portuguese footballer)
Ricardo Carvalho
Cristiano Ronaldo
Pedro Miguel da Silva Mendes
Danny (footballer)
Beto (Portuguese footballer born 1982)
Miguel Monteiro
Miguel Veloso
Pepe (footballer born 1983)
Raul Meireles
Hugo Almeida
Tiago Mendes
Deco
Ricardo Costa (Portuguese footballer)
Daniel Fernandes (footballer)
Iker Casillas
Ral Albiol
Carlos Marchena
Carles Puyol
David Villa
Xavi
Fernando Torres
Joan Capdevila
Juan Manuel Mata
Xabi Alonso
Sergio Ramos
Sergio Busquets
lvaro Arbeloa
Fernando Llorente
David Silva
Jess Navas
Diego Benaglio
Stephan Lichtsteiner
Ludovic Magnin
Philippe Senderos
Steve von Bergen
Benjamin Huggel
Tranquillo Barnetta
Alexander Frei
Blaise Nkufo
Valon Behrami
Marco Padalino
Hakan Yakin
Gelson Fernandes
Reto Ziegler
Albert Bunjaku (footballer)
Eren Derdiyok
Pirmin Schwegler
Johnny Leoni
Mario Eggimann
Xherdan Shaqiri
Ricardo Canales
Maynor Figueroa
Johnny Palacios
Hendry Thomas
Wilson Palacios
David Suazo
Georgie Welcome
Roger Espinoza
Edgar lvarez
Noel Valladares
Danilo Turcios
Amado Guevara
Emilio Izaguirre
Donis Escober
Sergio Mendoza
Claudio Bravo (footballer)
Ismael Fuentes
Waldo Ponce
Mauricio Isla
Pablo Contreras
Carlos Carmona
Arturo Vidal
Humberto Suazo
Jorge Valdivia
Miguel Pinto
Marco Estrada (footballer)
Jean Beausejour
Gary Medel
Gonzalo Jara
Gonzalo Fierro
Rodrigo Millar
Rodrigo Tello
Esteban Paredes
