Gbor Kirly
Kwame Quansah
Steven Whittaker
Ryan Stevenson
Seydou Keita
Logan Bailly
Owen Hargreaves
Birger Maertens
Kevin Roelandts
Jimmy Hempte
Philipp Heerwagen
Maximillian Nicu
Benjamin De Ceulaer
Bram Verbist
Arouna Kon
Stefan Lexa
Markus Heikkinen
Sanharib Malki
Antoni ukasiewicz
Jermaine Pennant
Mancini
Sascha Rsler
Marco Borriello
Christian Obodo
Michael Agazzi
Stefano Lucchini
Hugo Campagnaro
Giandomenico Mesto
Andrea Mantovani
Alberto Maria Fontana
Giuseppe Gemiti
Sulley Muntari
Franco Semioli
Mario Santana
Francesco Totti
John Arne Riise
Mario Haas
Franck Queudrue
Hasan Kabze
Mehmet Topal
Xavier Margairaz
Nicolas Gillet
Altin Lala
Felipe
Mohamed Adama Sarr
Filip Daems
Stephan Andersen
Clarence Seedorf
Umut Bulut
Andr Lenz
Marcel Schied
Peguy Luyindula
Jan Schlaudraff
Arne Friedrich
Ian Bennett
Petter Hansson
Mimoun Azaouagh
Milorad Pekovi
Sebastien Frey
Henri Sillanp
Emanuel Pogatetz
Paul McShane
Skerdilaid Curri
Puyol
Morn
Orbaiz
Leon Andreasen
Cristiano Zanetti
Casper Ankergren
Bruno Amaro
Wes Brown
Rasmus Wrtz
Timo Achenbach
Jesper Hansen
Delroy Facey
Kieron Dyer
Alan Maybury
Grant Brebner
David Connolly
Gunnar Heiar orvaldsson
Mingo
Juanito
Varela
Capi
Doblas
Melli
Maldonado
Marcos Assuno
Lewis Hunt
Izale McLeod
Daniel rlund
Atiba Hutchinson
Kaspars Gorks
Duan Djuri
Grgory Bourillon
Jimmy Briand
Bjrn Vleminckx
Marco N
Dean Bowditch
Malik Fathi
Sofian Chahed
Alexander Ludwig
Ryan Jarvis
Scott Brown
Stephen Dobbie
Craig Beattie
Kirk Broadfoot
David Preece
Marouane Chamakh
Steve Sidwell
Ron Stam
Lorik Cana
Benni McCarthy
Angel
Martn Demichelis
Jan Frederiksen
Doni
Patrick Milchraum
Niki Zimling
Anders Lindegaard
Chris Millar
Martin Lanig
Rubinho
Fabinho
Fabrcio
Anderson
Renato Abreu
Klber
Marc Planus
Michael Liendl
Damien Perquis
David Suarez
Carlos Alberto
Junior Cesar
Rodolfo
Diego
Cssio
Andrezinho
Jnatas
Fbio
Jefferson
Daniel
Cicinho
Andr Luiz
Fbio Jnior
Gomes
Eric Marester
Maicon
Edu Dracena
Artur Moraes
Deivid
Mota
Cris
Dagoberto
Gilberto
Tinga
Adriano
Gabriel Tama
Nilmar
Daniel Carvalho
Thomas Srensen
Pablo Ibez
Pablo Garca
Ayoze
Veljko Paunovic
Sergio Garca
Francisco Palencia
Ricardo
Rivera
Alexis
Geijo
David Garca
Mainz
Iriney
Tote
Juanlu
Anthony Rveillre
Hctor Font
Marcos Senna
Gerard
Andy Gray
Simon Francis
Killian Overmeire
Tore Andr Flo
Lus Alberto
Jonas Ivens
Wes Morgan
Gregor Robertson
Stefan Reisinger
Jlio Srgio
Alex
Pereira
Elano
Diego
Robinho
Marcelo Mattos
Marcinho
Lo Moura
Fbio Simplcio
Julio Baptista
Lus Fabiano
Tom Muyters
Han Jae Woong
Choi Won Kwon
Jeong Shung Hoon
Kim Gi Dong
Jo Gook Jung
Lee Jong Min
Son Seung Jun
Hyun Young Min
Choi Hyun
Choi Tae Uk
Park Yong Ho
Kim Dong Jin
Cho Sung Hwan
Namkung Do
Namkung Woong
Lee Dong Gook
Ko Chang Hyun
Kim Byung Ji
Kim Yong Dae
Kim Chi Gon
Josh Wolff
Kim Young Kwang
Khalid Boulahrouz
Jason Oost
Joost Broerse
Martin Jrgensen
Ramon Zomer
Bogdan Lobon
Denis Berger
Andrew Johnson
Srgio Pinto
Gbor Gyepes
Szabolcs Huszti
Zoltn Gera
Stijn Schaars
Michal Ciani
Marek Mintl
Francesco Antonioli
Paolo Acerbis
Giuseppe Biava
Riccardo Colombo
Edoardo Gorini
Cristian Raimondi
Pierre Regonesi
Alessandro Budel
Marco Amelia
Brian Carroll
Daniele Portanova
Salvatore Aronica
Andrea Barzagli
Franco Brienza
Salvatore Bruno
Walter Bressan
Paolo Bianco
Matteo Centurioni
Pasquale Foggia
Francesco Parravicini
Gianluca Grava
Massimo Paci
Domenico Giamp
Houssine Kharja
Dominik Reinhardt
Stefan Kieling
Ricardo Clark
Paul Boertien
Mike Magee
Eddie Gaven
Shalrie Joseph
Pat Noonan
Lionel Cappone
John Terry
Arnaud Maire
David Sauget
ric Mouloungui
Daniel Baier
Christophe Lepoint
Giampaolo Pazzini
Jiayi Shao
Biagio Pagano
Massimo Gobbi
Alessandro Gazzi
Mattia Cassani
Alan Smith
Papa Waigo
Daniele Gastaldello
Luca Antonini
Matteo Paro
Steven Gerrard
Thomas Job
Maurizio Lanzaro
Giulio Migliaccio
Jan-Ingwer Callsen-Bracker
Souleymane Diamoutene
Alessandro Rosina
Jrgen Gjasula
Oliver Schrder
Erminio Rullo
Simone Loria
Obafemi Martins
Brian Wilson
Goran Pandev
Chris Iwelumo
Arnold Kruiswijk
Alexander Huber
Michele Pazienza
Torsten Mattuschka
Danko Lazovi
Georgios Samaras
Boy Waterman
Christian Eigler
Goitia
Stephen McPhail
Gary Teale
Dario Kresic
Alexander Bugera
Jan Glinker
Peter Odemwingie
Michel Vorm
Bas van den Brink
Anouar Hadouir
Jeroen Verhoeven
Karim Bridji
Martin Stoll
Florian Dick
Necat Aygn
Francesco Benussi
Simone Rizzato
Kossi Agassa
Domenico Maietta
Glen Johnson
Robert Huth
Valerio Di Cesare
Marcos
Vgner Love
Thiago Gentil
Elson
Lcio
Diego Cavalieri
Marco Storari
Landry Bonnefoi
Alessandro Parisi
Christian Stuff
Yann Jouffre
Marcel Eger
Jordan Lotis
Gennaro Bracigliano
Thomas Burgstaller
Roman Kienast
Nat Borchers
Ludovic Obraniak
Shavar Thomas
Pape Malikou Diakhat
Nicky Hunt
Jesper Jrgensen
Taylor Graham
Jack Jewsbury
Bruno Alves
Esteban Cambiasso
Gyrgy Garics
Krzysztof Bk
John Welsh
Darren Potter
Jon Otsemobor
Zak Whitbread
Herculez Gomez
Jamal Campbell-Ryce
Michael Turner
Stacy Long
Lloyd Sam
Joey Barton
Russell Anderson
Darren Mackie
Chris Clark
Kevin Rutkiewicz
Ryan Esson
Zander Diamond
Richard Foster
Lloyd Dyer
Tamika Mkandawire
Arron Davies
Chris Baird
Josh Saunders
Roger Levesque
Todd Dunivant
Brian Ching
Arturo Alvarez
Mounir El Hamdaoui
Brett Holman
Gino Coutinho
Patrick McCarthy
Nadjim Abdou
Kees Kwakman
Sebastian Olszar
Christian Thonhofer
Marc Janko
David Fox
James Milner
Matthew Kilgallon
Arnaud Bhler
Andy Whing
Gary McSheffrey
Chris Kirkland
Jonathan Walters
Diego Lugano
Kak
Ricardinho
Souza
Gabriel
Diego Tardelli
Klber
Roman Hubnk
Gonalo Brando
Ruben Amorim
David Rozehnal
Joo Paulo
Amaya
Vladan Kujovic
Roel Brouwers
Ken Leemans
Ahmed Ammi
David van Zanten
Babacar Guye
Niels Wellenberg
Demy de Zeeuw
Danny Buijs
Alberto Aguilar
Perico
Paco Esteban
Jos Luis Acciari
Guirane N'Daw
Jean-Pascal Mignot
Benjani
Hassan Yebda
James McEveley
Leandre Griffit
Yoann Folly
Almen Abdi
Blerim Demaili
Andrs D'Alessandro
Diego
Stphen Drouin
Emerse Fa
Chris O'Grady
Billy Jones
Joleon Lescott
Kasper Risgrd
Stphane Dumont
Darren Fletcher
Daniel Nardiello
Kieran Richardson
Ben Williams
Fernando Cavenaghi
Rickie Lambert
Germn Lux
Maxi Lpez
Alejandro Domnguez
Dean Brill
Danny Whitaker
Dean Lewington
Nigel Reo-Coker
Lino
Davide Moscardelli
Pietro Accardi
Matteo Contini
Daniele Di Donato
Michele Ferri
Evans Soligo
Titus Bramble
Christian Terlizzi
Luca Rigoni
Roberto Vitiello
Matteo Abbate
Cristian Bertani
Ayodele Stephen Makinwa
Davide Succi
Bryan Bergougnoux
Julien Viale
Antoln Alcaraz
Giorgio Chiellini
Maurizio Ciaramitaro
Tomas Danilevicius
Nicola Pavarini
Marc Pfertzel
Pvel Pardo
Sebastin Abreu
lvaro Ortz
Oswaldo Snchez
Manuel de la Torre
Israel Lpez
Israel Castro
Ismael iguez
Luke Oliver
Sebastin Battaglia
Nicols Burdisso
Rolando Schiavi
Clemente Rodrguez
Wilfredo Caballero
Leonardo Ponzio
Nani
Manuel Jos
Joo Toms
Kwak Hee Ju
Helton
Paulo Assuno
Paul Robinson
Fabrizio Zambrella
Anthony Favre
Juan de Dios Ibarra
Walter Erviti
Luis Prez
Brian Howard
Hctor Reynoso
Luis Michel
Rafael Medina
Clinton Morrison
Alberto Medina
Omar Bravo
Isaac Romo
Miguel Sabah
Carlos Salcido
Fabin Vargas
Andr Amougou
Lucien Aubey
Davide Call
Botjan Cesar
David Nugent
Erik Nevland
Terry Dunfield
Tom Kennedy
Markus Bcskr
Christian Fuchs
Ricky Ravenhill
Jonathan Stead
Kevin Foley
Neil Austin
Rory Fallon
Antony Kay
Gary Jones
Robbie Williams
Jason Shackell
No Byung Jun
Anderson Polga
Hong Soon Hak
Park Jong Jin
Kim Jung Woo
Chung Kyung Ho
Park Jae Hong
Kim Sang Sik
Oh Seung Bum
Park Ho Jin
Ian Evatt
Caleb Folan
Alan Connell
Matt Harrold
Pat Baldwin
Greg Halford
Dean Gerken
Gareth Ainsworth
Marcus Bean
Dennis Oli
Francisco Torres
Jin Kyung Sun
Choi Eun Sung
Kevin McKenna
Patrick Kisnorbo
Alan Hutton
Jason Scotland
Graeme Smith
Gary McDonald
Jamie McAllister
Jon-Paul McGovern
James McPake
Cdric Berthelin
Alessandro Cordaro
Javi Guerra
Craig Conway
David Proctor
John Sutton
John Rankin
Federico Marchetti
Giovanni Marchese
Jos Hooiveld
Dmitriy Sychev
Evgeniy Aldonin
Vincent Kompany
Goran Lovre
Frank Boeckx
Tom Van Imschoot
Mohamed Messoudi
Mark Paston
David Clarkson
Emmerik De Vriese
Bolvar
Kenny Thompson
Sherjill MacDonald
Sean St. Ledger
Neil Mellor
Karim Djellabi
Carl Medjani
Andreas Johansson
Michel Bastos
Jrmy Morel
Joris Marveaux
Zbigniew Makowski
Glenn Loovens
Wesley Sneijder
Mark-Jan Fledderus
Felipe Baloy
Vincent Enyeama
Ibra Kb
Morais
scar Prez
Melvin Brown
Ricardo Osorio
Juan Pablo Rodrguez
Gary Mason
Du Ri Cha
Michael Nelson
Bruno Moraes
Kevin Thomson
Aldo De Nigris
Sinha
Vicente Snchez
Amaury Ponce
Miguel Almazn
Marvin Cabrera
Juan Carlos Cacho
Aarn Galindo
Yosgart Gutirrez
Mario Ortiz
Daisuke Matsui
Neill Collins
Paulo Da Silva
Duilio Davino
Guillermo Ochoa
Jaime Lozano
Francisco Fonseca
Daro Vern
Alejandro Palacios
David Toledo
Daniel Daz
Csar Delgado
Antonio Mirante
Peter Cherrie
J
Waldo Ponce
Leon Britton
Andy Robinson
Richard Duffy
Brian Murphy
Alex Baptiste
Jake Buxton
Chris Beardsley
Cliff Byrne
Andy Butler
Steven MacLean
Michael Kightly
Paddy McCourt
Luca Mazzoni
Damiano Ferronetti
Michelangelo Minieri
Ross Wallace
David Marshall
Paul Quinn
Chris
Demal Berberovi
Moritz Volz
Albin Ebondo
Nenad Djordjevi
Milan Dudi
Nemanja Vidi
Ivica Iliev
Ragnar Klavan
Joel Lindpere
Daniel Bogdanovic
Stanislav Ivanov
David Siradze
Georgi Peev
Erjon Bogdani
Michael Duff
Tal Ben-Haim
Ross Tokely
Karol Kisel
Radoslav Zabavnk
Adam Birchall
Matej Mavri
Zlatko Dedi
Ryan Nelsen
Emir Spahi
Mato Neretljak
Zdenk Pospch
Roland Juhsz
Krisztin Vadcz
Giourkas Seitaridis
Konstantinos Chalkias
Eric Abidal
Cludio Maldonado
Freddy Adu
Boris Httenbrenner
Sammy Bossut
Glenn Cronin
Gavin Williams
Stuart Drummond
Reynald Lematre
Cristian Ral Ledesma
Tobias Rathgeb
Giorgos Fotakis
Alexandros Tziolis
Elyaniv Barda
Alessandro Lucarelli
Aleksander Kwiek
Daniel Niculae
Alexandr Makarov
lvaro Antn
Verza
Iigo Caldern
Boban Grnarov
Daniel Luduea
Jorge Andrs Martnez
Lisandro Lpez
Diego Milito
Franco Costanzo
Lucho Gonzlez
Lucas Mareque
Javier Mascherano
Walter Montillo
Claudio Morel Rodrguez
Agustn Orin
Gonzalo Rodrguez
Sebastin Saja
Pablo Zabaleta
Jons Gutirrez
Leandro Somoza
Germn Denis
Javier Gandolfi
Mariano Barbosa
Jess Dtolo
Jos Mara Calvo
Carlos Tvez
Germn Herrera
Jair Bentez
Ismael Blanco
Martn Romagnoli
Alejandro Gmez
Diego Rivero
Marcos Gelabert
Lucas Lobos
Emiliano Dudar
Damin Manso
Emanuel Rivas
Mauricio Romero
Karel D'Haene
Gkdeniz Karadeniz
Sergey Omelyanchuk
Alessandro
Badr El Kaddouri
Andrs Mendoza
Fernando Belluschi
Leandro Fernndez
Mauro Rosales
Tuncay
Milan Jovanovi
Stipe Pletikosa
Faryd Mondragn
Ovidiu Petre
Arda Turan
Dniel Tzsr
Marco Zanchi
Yassin Mikari
Christian Schwegler
David Zibung
Albert Bunjaku
Marcel Herzog
Christian Schlauri
Yacine Abdessadki
Oscar Wendt
Leandro Greco
Paulo Menezes
Cristian Ianu
Muhamed Demiri
Alessandro Iandoli
Raffael
Jrme Schneider
Gabriel Wthrich
Sutil
David Prieto
Cifu
Sergio Torres
Mairata
Steve Simonsen
Pepe Daz
Francis
Mikael Dorsin
David Valle
Edu Navarro
Bruno
Isaac Jov
Albert Meyong Z
Dorca
Gerard Bordas
Manolo Martnez
Jaime
Pedro Ros
Jos Vega
Cabrero
Chema
Miguel Llera
Mantecn
Dealbert
Rodri
Mora
Matamala
Capdevila
Carlos Caballero
Barber
Ikechukwu Uche
Stphane Pignol
Momo
David Garca
Paul Thirlwell
Lopez Garai
Mikel Rico
David Barral
Vitolo
Andrs Fernndez
Ricardo
Atiba Harris
Cejudo
Marqus
Negredo
Ral Cmara
Roberto
Sal
Javi Fuego
Jorge
Migue
Gorka Larrea
Xabi Prieto
Susaeta
Zubiaurre
scar Snchez
Corona
Lafita
Longs
Ripa
Esteban
Dani Alves
Jess Navas
Crcoles
Csar Arzo
Santi Cazorla
Ivn Alonso
Rubn Prez
Mario Bermejo
Dani Gimnez
Gustavo Muna
Hrita Ilunga
Hctor Simn
igo Vlez
Tuni
David Corts
Nen
Leo Franco
Ramis
Rafita
Guillermo Vallori
Javi Guerrero
Sergio Ortega
Arbeloa
Ral Bravo
Codina
Corrales
Diego Lpez
Toni Moral
Paredes
Soldado
Riki
Juanfran
Bustos
Mchel
Daz de Cerio
Andrey Dikan
lvaro Rubio
Ustaritz
Goiria
Lafuente
Ivn Cullar
Manu Del Moral
Gabi
Ariel Ibagaza
Javier Pinola
Carlos Cullar
Unai Expsito
Miguel Flao
Cristian
Pea
Rubn
Rodri
Verd
Diego Castro
Gaviln
Pavel Pogrebnyak
Alexey Ivanov
Vitaliy Kaleshin
Denis Kovba
Petr Nemov
Andrey Tikhonov
Diniyar Bilyaletdinov
Jlio Csar
Marat Izmailov
Dmitriy Loskov
Roman Sharonov
Sergey Pareiko
Stephen Pearson
Roman Adamov
Vladimir Gabulov
Roman Pavlyuchenko
Szabolcs Sfr
Alexandr Samedov
Alexandr Sheshukov
Dmitriy Torbinskiy
Petr Bystrov
Alexey Medvedev
Samir Muratovi
Sergey Ryzhikov
Dmitriy Borodin
Igor Lebedenko
Igor Semshov
Konstantin Zyryanov
Hctor Bracamonte
Ruslan Adzhindzhal
Denis Kolodin
Andrei Arshavin
Vladimir Bystrov
Igor Denisov
Alexey Igonin
Vyacheslav Malafeev
Shamil Lakhiyalov
Sebastian Schindzielorz
Ciprian Marica
Jon McKain
Vasili Khamutowski
George Ogararu
Igor Akinfeev
Vasiliy Berezutskiy
Alexey Berezutskiy
Ruslan Nakhushev
Ivica Oli
Elvir Rahimi
Sergey Semak
Deividas Semberas
Oleg Kuzmin
Dmitry Bulykin
Alexandr Anyukov
Anton Bober
Ral Meireles
Renat Yanbaev
Ivan Cherenchikov
Liedson
Andrei Cristea
Dimitar Makriev
Adrian Sikora
Sebastian Mila
Andrzej Niedzielan
Sebastian Przyrowski
Radosaw Sobolewski
Grzegorz Fonfara
Rafa Grzelak
ukasz Madej
Bartosz lusarski
Baej Telichowski
Wojciech Grzyb
Dariusz Kus
Pawe Kieszek
Patryk Rachwa
Ireneusz Jele
Sawomir Peszko
Marcin Wasilewski
Adrian Mrowiec
Danny Koevermans
Evgeniy Levchenko
David Mendes da Silva
Brian Vandenbussche
Davy De Fauw
Tom Hgli
Ali Al-Habsi
Espen Ruud
Seyi Olofinjana
Luiso
Joo Pereira
Henning Hauger
Raio Piiroja
Kjetil Whler
Jarosaw Bieniuk
Dariusz Dudka
Szymon Sawala
Marek Zieczuk
Klaas Jan Huntelaar
Marcel Meeuwis
Darl Douglas
Tim Gilissen
Mark Looms
Yuri Rose
Brian van Loo
Paul Verhaegh
Ruben Schaken
Paul Beekmans
Berry Powel
Koen van de Laak
Erik Heijblok
Sergio van Dijk
Cristian Molinaro
Samuele Olivi
Armando Perna
Albano Bizzarri
Gianluca Comotto
Reginaldo
Jeda
Nicols Crdova
Gennaro Delvecchio
Guglielmo Stendardo
Paul Codrea
Juan Pablo ngel
Marco Biagianti
Luis Helguera
Christian Maggio
Francesco Magnanelli
Massimiliano Scaglia
Andrea Soncin
Angelo Iorio
Giuseppe Mascara
Marco Rossi
Emanuele Calai
Taddei
Massimo Loviso
Abderrazzak Jadid
Matuzalm
Antonio Busc
Alex Cordaz
Isah Abdulahi Eliakwu
Luciano
Alessandro Potenza
Carl Valeri
Francesco Scardina
Valeri Bojinov
Antonio Rosati
John Pantsil
Gil Vermouth
Daniele Corvia
Amauri
Marcos de Paula
Sergio Pellissier
Paolo Sammarco
Simone Dallamano
Alfonso De Lucia
Sasa Bjelanovic
Guly
Gnter Friesenbichler
Matthew Gregg
Colin Hawkins
Jason McGuinness
Ken Oman
Alan Bennett
Kevin Doyle
Dan Murray
Kevin Deery
Eddie McCallion
Mark McChrystal
Gareth McGlynn
Danny O'Connor
Gary Rogers
Patrick Sullivan
Alan Kirby
Mark O'Brien
Chris Bennion
Jason Byrne
Ollie Cahill
Owen Heary
Wesley Hoolahan
Keith Fahey
David Mulcahy
Daryl Murphy
Gary O'Neill
Shlomi Arbitman
Dekel Keinan
Konstantinos Katsouranis
Nikos Liberopoulos
Avraam Papadopoulos
Panagiotis Lagos
Marcin Miciel
Miroslaw Sznaucner
Theofanis Gekas
Iosif Daskalakis
Roei Dayan
Dimitrios Papadopoulos
Alexandros Tzorvas
Jaroslav Drobn
Grigoris Makos
Dimitris Salpingidis
Thomas Paulus
David Solga
Tams Hajnal
Christian Pander
Charles Takyi
Ren Klingbeil
