Jefferson
Julio Cesar
Leroy Fer
Memphis Depay
Nigel de Jong
Wesley Sneijder
Dirk Kuyt
Jeremain Lens
Klaas-Jan Huntelaar
Robin van Persie (c)
Camilo Vargas
David Ospina
Faryd Mondragon
Carlos Valdes
Cristian Zapata
Eder Alvarez Balanta
Juan Camilo Zuniga
Mario Yepes (c)
Pablo Armero
Santiago Arias
Abel Aguilar
Carlos Carbonero
Alexander Mejia
Carlos Sanchez
Fredy Guarin
James Rodriguez
Juan Fernando Quintero
Juan Guillermo Cuadrado
Victor Ibarbo
Adrian Ramos
Carlos Bacca
Jackson Martinez
Teofilo Gutierrez
Boubacar Barry
Sayouba Mande
Sylvain Gbohouo
Arthur Boka
Constant Djakpa
Didier Zokora
Jean-Daniel Akpa-Akpro
Kolo Toure
Ousmane Viera
Serge Aurier
Sol Bamba
Cheick Tiote
Didier Ya Konan
Ismael Diomande
Serey Die
Yaya Toure
Didier Drogba (c)
Gervinho
Giovanni Sio
Mathis Bolly
Max Gradel
Salomon Kalou
Wilfried Bony
Orestis Karnezis
Panagiotis Glykos
Stefanos Kapino
Giannis Maniatis
Giorgos Tzavellas
Jose Holebas
Kostas Manolas
Loukas Vyntra
Sokratis Papastathopoulos
Vangelis Moras
Vasilis Torosidis
Alexandros Tziolis
Andreas Samaris
Giannis Fetfatzidis
Giorgos Karagounis (c)
Kostas Katsouranis
Lazaros Christodoulopoulos
Panagiotis Kone
Panagiotis Tachtsidis
Dimitris Salpingidis
Giorgos Samaras
Kostas Mitroglou
Theofanis Gekas
Eiji Kawashima
Shichi Gonda
Shusaku Nishikawa
Atsuto Uchida
Gtoku Sakai
Hiroki Sakai
Masahiko Inoha
Masato Morishige
Maya Yoshida
Yasuyuki Konno
Yuto Nagatomo
Hiroshi Kiyotake
Hotaru Yamaguchi
Keisuke Honda
Makoto Hasebe (c)
Shinji Kagawa
Toshihiro Aoyama
Yasuhito End
Manabu Sait
Shinji Okazaki
Yoichiro Kakitani
Yoshito kubo
Yuya Osako
Ben Foster
Fraser Forster
Joe Hart
Chris Smalling
Gary Cahill
Glen Johnson
Leighton Baines
Luke Shaw
Phil Jagielka
Phil Jones
Adam Lallana
Alex Oxlade-Chamberlain
Frank Lampard
Jack Wilshere
James Milner
Jordan Henderson
Raheem Sterling
Ross Barkley
Steven Gerrard (c)
Daniel Sturridge
Danny Welbeck
Rickie Lambert
Wayne Rooney
Daniel Cambronero
Keylor Navas
Patrick Pemberton
Cristian Gamboa
Giancarlo Gonzalez
Heiner Mora
Johnny Acosta
Junior Diaz
Michael Umana
Oscar Duarte
Roy Miller
Waylon Francis
Celso Borges
Christian Bolanos
Diego Calvo
Esteban Granados
Jose Miguel Cubero
Michael Barrantes
Yeltsin Tejeda
Bryan Ruiz (c)
Joel Campbell
Marco Urena
Randall Brenes
Gianluigi Buffon (c)
Mattia Perin
Salvatore Sirigu
Andrea Barzagli
Gabriel Paletta
Giorgio Chiellini
Ignazio Abate
Leonardo Bonucci
Matteo Darmian
Mattia De Sciglio
Alberto Aquilani
Andrea Pirlo
Antonio Candreva
Claudio Marchisio
Daniele De Rossi
Marco Parolo
Marco Verratti
Thiago Motta
Alessio Cerci
Antonio Cassano
Ciro Immobile
Lorenzo Insigne
Mario Balotelli
Fernando Muslera
Martin Silva
Rodrigo Munoz
Diego Godin
Diego Lugano (c)
Jorge Fucile
Jose Maria Gimenez
Martin Caceres
Maxi Pereira
Sebastian Coates
alvaro Gonzalez
alvaro Pereira
Cristian Rodriguez
Diego Perez
Egidio Arevalo Rios
Gaston Ramirez
Nicolas Lodeiro
Walter Gargano
Abel Hernandez
Christian Stuani
Diego Forlan
Edinson Cavani
Luis Suarez
Adrian Bone
Alexander Dominguez
Maximo Banguera
Frickson Erazo
Gabriel Achilier
Jorge Guagua
Juan Carlos Paredes
oscar Bagi
Walter Ayovi
Antonio Valencia (c)
Carlos Gruezo
Christian Noboa
Edison Mendez
Fidel Martinez
Jefferson Montero
Joao Rojas
Luis Saritama
Michael Arroyo
Renato Ibarra
Segundo Castillo
Enner Valencia
Felipe Caicedo
Jaime Ayovi
Hugo Lloris (c)
Mickael Landreau
Stephane Ruffier
Bacary Sagna
Eliaquim Mangala
Laurent Koscielny
Lucas Digne
Mamadou Sakho
Mathieu Debuchy
Patrice Evra
Raphael Varane
Antoine Griezmann
Blaise Matuidi
Morgan Schneiderlin
Remy Cabella
Mathieu Valbuena
Moussa Sissoko
Paul Pogba
Rio Mavuba
Yohan Cabaye
Karim Benzema
Loec Remy
Olivier Giroud
Donis Escober
Luis Lopez
Noel Valladares (c)
Brayan Beckeles
Emilio Izaguirre
Juan Carlos Garcia
Juan Pablo Montes
Maynor Figueroa
Osman Chavez
Victor Bernardez
Andy Najar
Edder Delgado
Jorge Claros
Luis Garrido
Mario Martinez
Marvin Chavez
oscar Garcia
Roger Espinoza
Wilson Palacios
Carlo Costly
Jerry Bengtson
Jerry Palacios
Rony Martinez
Diego Benaglio
Roman Brki
Yann Sommer
Fabian Schr
Johan Djourou
Michael Lang
Philippe Senderos
Reto Ziegler
Ricardo Rodriguez
Stephan Lichtsteiner
Steve von Bergen
Blerim Dzemaili
Gelson Fernandes
Gkhan Inler (c)
Granit Xhaka
Tranquillo Barnetta
Valentin Stocker
Valon Behrami
Xherdan Shaqiri
Admir Mehmedi
Haris Seferovic
Josip Drmic
Mario Gavranovic
Agustin Orion
Mariano Andujar
Sergio Romero
Ezequiel Garay
Federico Fernandez
Hugo Campagnaro
Jose Maria Basanta
Marcos Rojo
Martin Demichelis
Pablo Zabaleta
angel di Maria
Augusto Fernandez
Enzo Perez
Fernando Gago
Javier Mascherano
Lucas Biglia
Maxi Rodriguez
Ricardo alvarez
Ezequiel Lavezzi
Gonzalo Higuain
Lionel Messi (c)
Rodrigo Palacio
Sergio Agero
Asmir Avdukic
Asmir Begovic
Jasmin Fejzic
Avdija Vrsajevic
Emir Spahic (c)
Ermin Bicakcic
Mensur Mujdza
Muhamed Besic
Ognjen Vranjes
Sead Kolasinac
Toni sunjic
Anel Hadzic
Haris Medunjanin
Izet Hajrovic
Miralem Pjanic
Sejad Salihovic
Senad Lulic
Senijad Ibricic
Tino-Sven Susic
Zvjezdan Misimovic
Edin Dzeko
Edin Visca
Vedad Ibisevic
Alireza Haghighi
Daniel Davari
Rahman Ahmadi
Ahmad Alnameh
Amir Hossein Sadeghi
Hashem Beikzadeh
Hossein Mahini
Jalal Hosseini
Mehrdad Pouladi
Pejman Montazeri
Steven Beitashour
Andranik Teymourian
Ashkan Dejagah
Bakhtiar Rahmani
Ehsan Hajsafi
Ghasem Haddadifar
Javad Nekounam (c)
Khosro Heydari
Masoud Shojaei
Reza Haghighi
Alireza Jahanbakhsh
Karim Ansarifard
Reza Ghoochannejhad
Austin Ejide
Chigozie Agbim
Vincent Enyeama (c)
Azubuike Egwuekwe
Efe Ambrose
Go2. Defenseurrey Oboabona
Joseph Yobo
Juwon Oshaniwa
Kenneth Omeruo
Kunle Odunlami
Uwa Elderson Echiejile
John Obi Mikel
Michael Babatunde
Ogenyi Onazi
Ramon Azeez
Reuben Gabriel
Victor Moses
Ahmed Musa
Emmanuel Emenike
Michael Uchebo
Peter Odemwingie
Shola Ameobi
Uche Nwofor
Manuel Neuer
Roman Weidenfeller
Ron-Robert Zieler
Benedikt Hwedes
Erik Durm
Jerme Boateng
Kevin Grokreutz
Mats Hummels
Per Mertesacker
Philipp Lahm (c)
Andre Schrrle
Bastian Schweinsteiger
Christoph Kramer
Julian Draxler
Mario Gtze
Matthias Ginter
Mesut zil
Sami Khedira
Thomas Mller
Toni Kroos
Lukas Podolski
Miroslav Klose
Shkodran Mustafi
Brad Guzan
Nick Rimando
Tim Howard
DaMarcus Beasley
DeAndre Yedlin
Fabian Johnson
Geoff Cameron
John Brooks
Matt Besler
Omar Gonzalez
Timothy Chandler
Alejandro Bedoya
Brad Davis
Graham Zusi
Jermaine Jones
Julian Green
Kyle Beckerman
Michael Bradley
Mikkel Diskerud
Aron Johannsson
Chris Wondolowski
Clint Dempsey (c)
Jozy Altidore
Adam Kwarasey
Fatau Dauda
Steven Adams
Daniel Opare
Harrison Afful
John Boye
Jonathan Mensah
Rashid Sumaila
Samuel Inkoom
Acquah Afriyie
Albert Adomah
Andre Ayew
Christian Atsu
Emmanuel Agyemang-Badu
Kwadwo Asamoah
Michael Essien
Mohammed Rabiu
Sulley Muntari
Wakaso Mubarak
Asamoah Gyan (c)
Jordan Ayew
Kevin-Prince Boateng
Majeed Waris
Beto
Eduardo
Rui Patricio
Andre Almeida
Bruno Alves
Fabio Coentro
Joo Pereira
Luis Neto
Pepe
Ricardo Costa
Joo Moutinho
Miguel Veloso
Nani
Rafa Silva
Raul Meireles
Ruben Amorim
Silvestre Varela
Vieirinha
William Carvalho
Cristiano Ronaldo (c)
eder
Helder Postiga
Hugo Almeida
Cedric Si Mohamed
Mohamed Zemmamouche
Raes M'Bolhi
Aissa Mandi
Carl Medjani
Djamel Mesbah
Essaed Belkalem
Faouzi Ghoulam
Liassine Cadamuro-Bentaeba
Madjid Bougherra (c)
Rafik Halliche
Abdelmoumene Djabou
Hassan Yebda
Medhi Lacen
Mehdi Mostefa
Nabil Bentaleb
Riyad Mahrez
Saphir Taeder
Sofiane Feghouli
Yacine Brahimi
El Arbi Hillel Soudani
Islam Slimani
Nabil Ghilas
Sammy Bossut
Simon Mignolet
Thibaut Courtois
Anthony Vanden Borre
Daniel Van Buyten
Jan Vertonghen
Laurent Ciman
Nicolas Lombaerts
Thomas Vermaelen
Toby Alderweireld
Vincent Kompany (c)
Adnan Januzaj
Axel Witsel
Eden Hazard
Kevin De Bruyne
Kevin Mirallas
Marouane Fellaini
Mousa Dembele
Nacer Chadli
Steven Defour
Divock Origi
Dries Mertens
Romelu Lukaku
Jung Sung-Ryong
Kim Seung-Gyu
Lee Bum-Young
Hong Jeong-Ho
Hwang Seok-Ho
Kim Chang-Soo
Kim Young-Gwon
Kwak Tae-Hwi
Lee Yong
Park Joo-Ho
Yun Suk-Young
Ha Dae-Sung
Han Kook-Young
Ki Sung-Yueng
Kim Bo-Kyung
Koo Ja-Cheol (c)
Lee Chung-Yong
Park Jong-Woo
Ji Dong-Won
Kim Shin-Wook
Lee Keun-Ho
Park Chu-Young
Son Heung-Min
Igor Akinfeev
Sergey Ryzhikov
Yuri Lodygin
Aleksei Kozlov
Andrei Semyonov
Andrey Yeshchenko
Dmitri Kombarov
Georgi Shchennikov
Sergei Ignashevich
Vasili Berezutski
Vladimir Granat
Alan Dzagoev
Denis Glushakov
Igor Denisov
Oleg Shatov
Pavel Mogilevets
Viktor Fayzulin
Aleksandr Kerzhakov
Aleksandr Kokorin
Aleksandr Samedov
Aleksei Ionov
Maksim Kanunnikov
Yuri Zhirkov
