Lounes GAOUAOUI
Chris WOOD
Jeremy CHRISTIE
Jeremy BROCKIE
James BANNATYNE
Vincent ENYEAMA
Joseph YOBO
Taye TAIWO
Nwankwo KANU
Rabiu AFOLABI
Danny SHITTU
John UTAKA
Yakubu AIYEGBENI
Obafemi MARTINS
John Obi MIKEL
Peter ODEMWINGIE
Kalu UCHE
Yussuf AYILA
Sani KAITA
Lukman HARUNA
Austin EJIDE
Chidi ODIAH
Victor OBINNA
Chinedu OGBUKE OBASI
Dickson ETUHU
Uwa ECHIEJILE
Dele ADELEYE
Dele AIYENUGBA
Justo VILLAR
Dario VERON
Claudio MOREL
Denis CANIZA
Julio Cesar CACERES
Carlos BONET
Oscar CARDOZO
Edgar BARRETO
Roque SANTA CRUZ
Edgar BENITEZ
Jonathan SANTANA
Diego BARRETO
Enrique VERA
Paulo DA SILVA
Victor CACERES
Cristian RIVEROS
Aureliano TORRES
Nelson VALDEZ
Lucas BARRIOS
Nestor ORTIGOZA
Antolin ALCARAZ
Aldo BOBADILLA
Rodolfo GAMARRA
EDUARDO
BRUNO ALVES
PAULO FERREIRA
ROLANDO
DUDA
RICARDO CARVALHO
CRISTIANO RONALDO
PEDRO MENDES
LIEDSON
DANNY
SIMAO
BETO
MIGUEL
MIGUEL VELOSO
PEPE
RAUL MEIRELES
NANI
HUGO ALMEIDA
TIAGO
DECO
RICARDO COSTA
DANIEL FERNANDES
FABIO COENTRAO
Vladimir STOJKOVIC
Antonio RUKAVINA
Aleksandar KOLAROV
Gojko KACAR
Nemanja VIDIC
Branislav IVANOVIC
Zoran TOSIC
Danko LAZOVIC
Marko PANTELIC
Dejan STANKOVIC
Nenad MILIJAS
Bojan ISAILOVIC
Aleksandar LUKOVIC
Milan JOVANOVIC
Nikola ZIGIC
Ivan OBRADOVIC
Milos KRASIC
Milos NINKOVIC
Radosav PETROVIC
Neven SUBOTIC
Dragan MRDJA
Zdravko KUZMANOVIC
Andjelko DJURICIC
Jan MUCHA
Peter PEKARIK
Martin SKRTEL
Marek CECH
Radoslav ZABAVNIK
Zdenko STRBA
Vladimir WEISS
Jan KOZAK
Stanislav SESTAK
Marek SAPARA
Robert VITTEK
Dusan PERNIS
Filip HOLOSKO
Martin JAKUBKO
Miroslav STOCH
Jan DURICA
Marek HAMSIK
Erik JENDRISEK
Juraj KUCKA
Kamil KOPUNEK
Kornel SALATA
Martin PETRAS
Dusan KUCIAK
Samir HANDANOVIC
Miso BRECKO
Elvedin DZINIC
Marko SULER
Bostjan CESAR
Branko ILIC
Nejc PECNIK
Robert KOREN
Zlatan LJUBIJANKIC
Valter BIRSA
Milivoje NOVAKOVIC
Jasmin HANDANOVIC
Bojan JOKIC
Zlatko DEDIC
Rene KRHIN
Aleksander SELIGA
Andraz KIRM
Aleksandar RADOSAVLJEVIC
Suad FILEKOVIC
Andrej KOMAC
Dalibor STEVANOVIC
Matej MAVRIC
Tim MATAVZ
Moneeb JOSEPHS
Siboniso GAXA
Tsepo MASILELA
Aaron MOKOENA
Anele NGCONGCA
MacBeth SIBAYA
Lance DAVIDS
Siphiwe TSHABALALA
Katlego MPHELA
Steven PIENAAR
Teko MODISE
Reneilwe LETSHOLONYANE
Kagisho DIKGACOI
Matthew BOOTH
Lucas THWALA
Itumeleng KHUNE
Bernard PARKER
Siyabonga NOMVETHE
Surprise MORIRI
Bongani KHUMALO
Siyabonga SANGWENI
Shu-Aib WALTERS
Thanduyise KHUBONI
Iker CASILLAS
Raul ALBIOL
Gerard PIQUE
Carlos MARCHENA
Carles PUYOL
Andres INIESTA
David VILLA
XAVI
Fernando TORRES
Cesc FABREGAS
Joan CAPDEVILA
Victor VALDES
Juan Manuel MATA
XABI ALONSO
SERGIO RAMOS
Sergio BUSQUETS
Alvaro ARBELOA
PEDRO
Fernando LLORENTE
Javier MARTINEZ
DAVID SILVA
Jesus NAVAS
Pepe REINA
Diego BENAGLIO
Stephan LICHTSTEINER
Ludovic MAGNIN
Philippe SENDEROS
Steve VON BERGEN
Benjamin HUGGEL
Tranquillo BARNETTA
Gokhan INLER
Alexander FREI
Blaise NKUFO
Valon BEHRAMI
Marco WOELFLI
Stephane GRICHTING
Marco PADALINO
Hakan YAKIN
Gelson FERNANDES
Reto ZIEGLER
Albert BUNJAKU
Eren DERDIYOK
Pirmin SCHWEGLER
Johnny LEONI
Mario EGGIMANN
Xherdan SHAQIRI
Fernando MUSLERA
Diego LUGANO
Diego GODIN
Jorge FUCILE
Walter GARGANO
Mauricio VICTORINO
Edinson CAVANI
Sebastian EGUREN
Luis SUAREZ
Diego FORLAN
Alvaro PEREIRA
Juan CASTILLO
Sebastian ABREU
Nicolas LODEIRO
Diego PEREZ
Maximiliano PEREIRA
Egidio AREVALO
Ignacio GONZALEZ
Andres SCOTTI
Alvaro FERNANDEZ
Sebastian FERNANDEZ
Martin CACERES
Martin SILVA
Tim HOWARD
Jonathan SPECTOR
Carlos BOCANEGRA
Michael BRADLEY
Oguchi ONYEWU
Steve CHERUNDOLO
DaMarcus BEASLEY
Clint DEMPSEY
Herculez GOMEZ
Landon DONOVAN
Stuart HOLDEN
Jonathan BORNSTEIN
Ricardo CLARK
Edson BUDDLE
Jay DeMERIT
Francisco TORRES
Jozy ALTIDORE
Brad GUZAN
Maurice EDU
Robbie FINDLEY
Clarence GOODSON
Benny FEILHABER
Marcus HAHNEMANN
