Fabrice OLINGA
Konstantinos MANOLAS
Luis GARRIDO
Mario BALOTELLI
Lorenzo INSIGNE
Mathis BOLLY
Gotoku SAKAI
Hotaru YAMAGUCHI
Alan PULIDO
Raul JIMENEZ
Isaac BRIZUELA
Georginio WIJNALDUM
Victor MOSES
Godfrey OBOABONA
Ebenezer ODUNLAMI
Ruben GABRIEL
Juwon OSHANIWA
ANDRE ALMEIDA
Oleg SHATOV
Alexander KOKORIN
Georgy SHCHENNIKOV
JI Dongwon
KIM Seunggyu
David DE GEA
Michael LANG
Admir MEHMEDI
Roman BUERKI
Abel HERNANDEZ
Sebastian COATES
Gaston RAMIREZ
Aron JOHANNSSON
Mix DISKERUD
Nabil GHILAS
Sofiane FEGHOULI
Yacine BRAHIMI
Marcos ROJO
Ryan McGOWAN
Nacer CHADLI
Miralem PJANIC
Ermin BICAKCIC
Ognjen VRANJES
Anel HADZIC
Edin VISCA
Nicolas NKOULOU
Sammy NDJOCK
Eduardo VARGAS
Victor IBARBO
Marcos URENA
Cristian GAMBOA
Dejan LOVREN
Enner VALENCIA
Fidel MARTINEZ
Jefferson MONTERO
Daniel STURRIDGE
Chris SMALLING
Jordan HENDERSON
Mamadou SAKHO
Moussa SISSOKO
Thomas MUELLER
Toni KROOS
Andre AYEW
Mohammed RABIU
Stephen ADAMS
Mario MARTINEZ
Karim ANSARI FARD
Ehsan HAJI SAFI
Ciro IMMOBILE
Matteo DARMIAN
Yoichiro KAKITANI
Yuya OSAKO
Manabu SAITO
Hiroshi KIYOTAKE
Hiroki SAKAI
Marco FABIAN
Carlos PENA
Hector HERRERA
Javier AQUINO
Leroy FER
Daryl JANMAAT
Daley BLIND
Okechukwu UCHEBO
Azubuike EGWUEKWE
Alan DZAGOEV
Yury LODYGIN
KIM Bokyung
KIM Younggwon
HONG Jeongho
HAN Kookyoung
YUN Sukyoung
HWANG Seokho
Cesar AZPILICUETA
Mario GAVRANOVIC
Jozy ALTIDORE
Timmy CHANDLER
Esseid BELKALEM
Federico FERNANDEZ
James TROISI
Mitch LANGERAK
Matthew SPIRANOVIC
James HOLLAND
Oliver BOZANIC
Axel WITSEL
Toby ALDERWEIRELD
Toni SUNJIC
WILLIAN
PAULINHO
Eric CHOUPO MOTING
Benjamin MOUKANDJO
Alexis SANCHEZ
Eugenio MENA
Charles ARANGUIZ
David OSPINA
Alexander MEJIA
Camilo VARGAS
Oscar DUARTE
Ivan PERISIC
Domagoj VIDA
Felipe CAICEDO
Joao ROJAS
Adrian BONE
Marco REUS
Mesut OEZIL
Mats HUMMELS
Jerome BOATENG
Ron-Robert ZIELER
Kevin GROSSKREUTZ
Kwadwo ASAMOAH
Samuel INKOOM
Andreas SAMARIS
Reza HAGHIGHI
Wilfried BONY
Sylvain GBOHOUO
Giovanni SIO
Shinji KAGAWA
Maya YOSHIDA
Shuichi GONDA
Giovani DOS SANTOS
Miguel LAYUN
Miguel PONCE
Jasper CILLESSEN
Efe AMBROSE
Andrey SEMENOV
Alexey IONOV
KOO Jacheol
LEE Chungyong
KI Sungyueng
PARK Jongwoo
LEE Bumyoung
Jordi ALBA
Javi MARTINEZ
Sergio BUSQUETS
Diego COSTA
Valentin STOCKER
Yann SOMMER
Nicolas LODEIRO
Omar GONZALEZ
Islam SLIMANI
El Arabi SOUDANI
Liassine CADAMURO
Gonzalo HIGUAIN
Lionel MESSI
Sergio AGUERO
Angel DI MARIA
Ricardo ALVAREZ
Ivan FRANJIC
Kevin MIRALLAS
Marouane FELLAINI
Moussa DEMBELE
Steven DEFOUR
Anthony VANDEN BORRE
Simon MIGNOLET
Asmir BEGOVIC
MARCELO
LUIZ GUSTAVO
Alexandre SONG
Allan NYOM
Gary MEDEL
Mauricio ISLA
Cristopher TOSELLI
Juan CUADRADO
Celso BORGES
Giancarlo GONZALEZ
Ivan RAKITIC
Jaimen AYOVI
Frickson ERAZO
Juan PAREDES
Fraser FORSTER
Adam LALLANA
Karim BENZEMA
Benedikt HOEWEDES
Albert ADOMAH
Adam KWARASEY
Konstantinos MITROGLOU
Sokratis PAPASTATHOPOULOS
Panagiotis KONE
Georgios TZAVELAS
Rony MARTINEZ
Juan Carlos GARCIA
Reza GHOOCHANNEJAD
Alireza HAGHIGHI
Daniel DAVARI
Alessio CERCI
Max GRADEL
Atsuto UCHIDA
Javier HERNANDEZ
Hector MORENO
Jose VAZQUEZ
Jeremain LENS
Tim KRUL
Jonathan DE GUZMAN
Uwa ECHIEJILE
FABIO COENTRAO
EDER
RUI PATRICIO
LUIS NETO
KIM Shinwook
Pedro RODRIGUEZ
Juan MATA
Michael BRADLEY
Fabian JOHNSON
Abdelmoumene DJABOU
Rafik HALLICHE
Sergio ROMERO
Ezequiel GARAY
Dario VIDOSIC
Dries MERTENS
Jan VERTONGHEN
JO
HULK
RAMIRES
DAVID LUIZ
HENRIQUE
Arturo VIDAL
Marcelo DIAZ
Carlos CARMONA
Carlos BACCA
Jackson MARTINEZ
Fredy GUARIN
Pablo ARMERO
Cristian ZAPATA
Jose CUBERO
Keylor NAVAS
SAMMIR
Michael ARROYO
Alexander DOMINGUEZ
Joe HART
Olivier GIROUD
Loic REMY
Blaise MATUIDI
Stephane RUFFIER
Hugo LLORIS
Sami KHEDIRA
Kevin Prince BOATENG
John BOYE
Harrison AFFUL
Lazaros CHRISTODOULOPOULOS
Panagiotis GLYKOS
Ioannis MANIATIS
Jerry BENGTSON
Roger ESPINOZA
Edder DELGADO
Ashkan DEJAGAH
Hossein MAHINI
Mehrdad POOLADI
Steven BEITASHOUR
Leonardo BONUCCI
Ignazio ABATE
Salvatore SIRIGU
Antonio CANDREVA
GERVINHO
Ismael TIOTE
Ousmane DIARRASSOUBA
Constant DJAKPA
Masato MORISHIGE
Yuto NAGATOMO
Andres GUARDADO
Emmanuel EMENIKE
John Obi MIKEL
NANI
JOAO MOUTINHO
Denis GLUSHAKOV
Dmitry KOMBAROV
Aleksei KOZLOV
Vladimir GRANAT
LEE Yong
PARK Jooho
Cesc FABREGAS
Gerard PIQUE
Gelson FERNANDES
Johan DJOUROU
Luis SUAREZ
Cristhian STUANI
Edinson CAVANI
Martin CACERES
Graham ZUSI
Alejandro BEDOYA
Matt BESLER
Rais MBOLHI
Enzo PEREZ
Augusto FERNANDEZ
Fernando GAGO
Lucas BIGLIA
Mark MILLIGAN
Vincent KOMPANY
Thomas VERMAELEN
Laurent CIMAN
Sammy BOSSUT
Edin DZEKO
Senijad IBRICIC
Senad LULIC
Avdija VRSAJEVIC
Jasmin FEJZIC
Stephane MBIA
Enoh EYONG
Landry NGUEMO
Aurelien CHEDJOU
Dany NOUNKEU
Fabian ORELLANA
Gonzalo JARA
Francisco SILVA
Adrian RAMOS
Juan ZUNIGA
Carlos SANCHEZ
Bryan RUIZ
Oscar GRANADOS
Daniel CAMBRONERO
Mario MANDZUKIC
Nikica JELAVIC
Luka MODRIC
Vedran CORLUKA
Antonio VALENCIA
Maximo BANGUERA
Wayne ROONEY
Gary CAHILL
James MILNER
Mathieu DEBUCHY
Yohan CABAYE
Laurent KOSCIELNY
Manuel NEUER
Asamoah GYAN
Orestis KARNEZIS
Juan MONTES
Jorge CLAROS
Brayan BECKELES
Emilio IZAGUIRRE
Claudio MARCHISIO
Gabriel PALETTA
Salomon KALOU
Shinji OKAZAKI
Keisuke HONDA
Masahiko INOHA
Shusaku NISHIKAWA
Toshihiro AOYAMA
Paul AGUILAR
Guillermo OCHOA
MIGUEL VELOSO
VIEIRINHA
Victor FAYZULIN
Igor AKINFEEV
PARK Chuyoung
KIM Changsoo
David SILVA
Sergio RAMOS
Raul ALBIOL
Blerim DZEMAILI
Reto ZIEGLER
Cristian RODRIGUEZ
Alvaro PEREIRA
Diego GODIN
Fernando MUSLERA
Geoff CAMERON
Carl MEDJANI
Mohamed ZEMMAMOUCHE
Cedric SI MOHAMMED
Djamel MESBAH
Ezequiel LAVEZZI
Pablo ZABALETA
Mile JEDINAK
Alex WILKINSON
Nicolas LOMBAERTS
Vedad IBISEVIC
Haris MEDUNJANIN
Sejad SALIHOVIC
FERNANDINHO
HERNANES
THIAGO SILVA
Jose FUENZALIDA
Teofilo GUTIERREZ
Carlos VALDES
Abel AGUILAR
Heiner MORA
Roy MILLER
Gordon SCHILDENFELD
Danijel SUBASIC
Cristhian NOBOA
Gabriel ACHILIER
Leighton BAINES
Glen JOHNSON
Mathieu VALBUENA
Lukas PODOLSKI
Bastian SCHWEINSTEIGER
Per MERTESACKER
Sulley MUNTARI
Fatawu DAUDA
Georgios SAMARAS
Vasileios TOROSIDIS
Jose CHOLEVAS
Alexandros TZIOLIS
Wilson PALACIOS
Boniek GARCIA
Osman CHAVEZ
Alberto AQUILANI
Giorgio CHIELLINI
Marco PAROLO
Souleymane BAMBA
Die SEREY
Ron VLAAR
Nigel DE JONG
Chigozie AGBIM
CRISTIANO RONALDO
VARELA
RUBEN AMORIM
Alexander SAMEDOV
LEE Keunho
JUNG Sungryong
HA Daesung
Santi CAZORLA
JUANFRAN
Tranquillo BARNETTA
Philippe SENDEROS
Gokhan INLER
Valon BEHRAMI
Alvaro GONZALEZ
Walter GARGANO
Jorge FUCILE
Brad GUZAN
Hassan YEBDA
Mehdi MOSTEFA
Medhi LACEN
Javier MASCHERANO
Mariano ANDUJAR
Jose Maria BASANTA
Mensur MUJDZA
FRED
DANTE
Benoit ASSOU EKOTTO
Henri BEDIMO
Mauricio PINILLA
Jean BEAUSEJOUR
Jorge VALDIVIA
Jose ROJAS
Randall BRENES
Michael BARRANTES
Johnny ACOSTA
Christian BOLANOS
Junior DIAZ
Ognjen VUKOJEVIC
Luis SARITAMA
Rio MAVUBA
Philipp LAHM
Marvin CHAVEZ
Masoud SHOJAEI
Hashem BEIKZADEH
Pejman MONTAZERI
Ghasem HADADIFAR
Khosro HEYDARI
Daniele DE ROSSI
Konan YA
Makoto HASEBE
Oribe PERALTA
Klaas Jan HUNTELAAR
Robin VAN PERSIE
Arjen ROBBEN
Wesley SNEIJDER
Michel VORM
Paul VERHAEGH
Austine EJIDE
HUGO ALMEIDA
JOAO PEREIRA
Yury ZHIRKOV
Andrey ESHCHENKO
Igor DENISOV
Fernando TORRES
Andres INIESTA
Stephan LICHTSTEINER
Diego BENAGLIO
Maximiliano PEREIRA
Madjid BOUGUERRA
Matt McKAY
DANI ALVES
VICTOR
JEFFERSON
Jean MAKOUN
Charles ITANDJE
Claudio BRAVO
Michael UMANA
EDUARDO
Oscar BAGUI
Phil JAGIELKA
Ben FOSTER
Franck RIBERY
Bacary SAGNA
Michael ESSIEN
Carlo COSTLY
Maynor FIGUEROA
Ahmad ALNAMEH
Andranik TIMOTIAN
Antonio CASSANO
THIAGO MOTTA
Yaya TOURE
Arthur BOKA
Yasuyuki KONNO
Eiji KAWASHIMA
Alfredo TALAVERA
Vincent ENYEAMA
HELDER POSTIGA
RAUL MEIRELES
PEPE
EDUARDO
Aleksandr KERZHAKOV
Pepe REINA
Steve VON BERGEN
Martin SILVA
Chris WONDOLOWSKI
Clint DEMPSEY
Rodrigo PALACIO
Agustin ORION
Zvjezdan MISIMOVIC
MAICON
MAXWELL
Pierre WEBO
Patrick PEMBERTON
Darijo SRNA
Danijel PRANJIC
Segundo CASTILLO
Jorge GUAGUA
Rickie LAMBERT
Dimitrios SALPINGIDIS
Vangelis MORAS
Jerry PALACIOS
Victor BERNARDEZ
Jalal HOSSEINI
Amirhossein SADEGHI
Yoshito OKUBO
Francisco RODRIGUEZ
Shola AMEOBI
Peter ODEMWINGIE
BRUNO ALVES
BETO
Roman SHIROKOV
Vasily BEREZUTSKIY
KWAK Taehwi
David VILLA
Xabi ALONSO
Egidio AREVALO
Rodrigo MUNOZ
DaMarcus BEASLEY
Jermaine JONES
Kyle BECKERMAN
Brad DAVIS
Maxi RODRIGUEZ
Martin DEMICHELIS
Hugo CAMPAGNARO
Eugene GALEKOVIC
Emir SPAHIC
Asmir AVDUKIC
Samuel ETOO
Esteban PAREDES
Johnny HERRERA
Aldo RAMIREZ
Patrice EVRA
Roman WEIDENFELLER
Loukas VYNTRA
Donis ESCOBER
Javad NEKOUNAM
Rahman AHMADI
Andrea BARZAGLI
Kolo TOURE
Didier ZOKORA
Jose CORONA
Dirk KUYT
Joseph YOBO
RICARDO COSTA
Sergey RYZHIKOV
Iker CASILLAS
Diego LUGANO
Tim CAHILL
Mark BRESCIANO
JULIO CESAR
Ivica OLIC
Walter AYOVI
Steven GERRARD
Theofanis GEKAS
Boubacar BARRY
Yasuhito ENDO
Carlos SALCIDO
Sergey IGNASHEVICH
Xavi HERNANDEZ
Diego PEREZ
Stipe PLETIKOSA
Edison MENDEZ
Mickael LANDREAU
Konstantinos KATSOURANIS
Andrea PIRLO
Rafael MARQUEZ
Diego FORLAN
Tim HOWARD
Nick RIMANDO
Daniel VAN BUYTEN
Frank LAMPARD
Miroslav KLOSE
Gianluigi BUFFON
Didier DROGBA
Georgios KARAGOUNIS
Noel VALLADARES
Mario YEPES
Faryd MONDRAGON
